ɪ n mː ɔ l a t j oː n ɛ m	ɪ mː ɔ l aː t j oː n ɛ m
a kː uː s a t oː r ɛ	a kː uː s aː t oː r ɛ m
ɪ m p ɛ lː ɛ r ɛ	ɪ m p ɛ lː ɛ r ɛ
k a b ɛ t ʊ m	k a p ɪ t j ʊ m
a r k a ŋ g ɛ l ʊ m	a r kʰ a ŋ g ɛ l ʊ m
ɛ k s p ɛ d ɪ r ɛ	ɛ k s p ɛ d iː r ɛ
ɛ k s ɪ g ɛ r ɛ	ɛ k s ɪ g ɛ r ɛ
l ʊ t ʊ m	l ʊ t ʊ m
s t r ɪ g a m	s t r iː g a m
s ʊ w ɛ n ɪ r ɛ	s ʊ b w ɛ n iː r ɛ
r ɛ g aː r ɛ	r ɪ g aː r ɛ
d ɛ s t ɪ n aː t j oː n	d eː s t ɪ n aː t j oː n ɛ m
m aː k l aː r ɛ	m a k ʊ l aː r ɛ
b ɔ t ʊ l ɪ n ʊ m	b ɔ t ʊ l ʊ m
b ɛ n ɪ ŋ n ʊ m	b ɛ n ɪ ŋ n ʊ m
b ɛ n ɛ f ɪ k ʊ m	b ɛ n ɛ f ɪ k j ʊ m
p r ɛ w j ʊ m	p r aɪ w j ʊ m
n w a t aː r ɛ	n a t aː r ɛ
a n ɛ l ʊ m	a nː ɪ k ʊ l ʊ m
ɔ b s t aː r ɛ	ɔ b s t aː r ɛ
k ʊ p r ɛ m h	k uː p r ʊ m
aː n t a m	a n t aː s
b a p t ɪ s t a m	b a p t ɪ s t a m
a b n ɪ r ɛ	a b n ʊ ɛ r ɛ
r ɪ p a m	r iː p a m
aː w ʊ m g aː r ɛ	a d w ɔ k aː r ɛ
p a l uː d oː s ʊ m	p a l uː d oː s ʊ m
ʊ s ʊ m	uː s ʊ m
w ɛ lː ɛ r ɛ	w ɛ lː ɛ r ɛ
s ʊ b j ʊ k g aː r ɛ	s ʊ b j ʊ g aː r ɛ
d a m nː aː r ɛ	d a m n aː r ɛ
s ɪ l w ɛ s t r ɛ m	s ɪ l w ɛ s t r ɛ m
d ɪ k t aː m ɛ n	d ɪ k t aː m ɛ n
t ɛ rː ɛ n ʊ m	t ɛ rː eː n ʊ m
n aʊ s	n aʊ s j a m
d ʊ l t ɪ s ɔ n ʊ m	d ʊ l k ɪ s ɔ n ʊ m
s t aː n j ʊ m	s t a nː ʊ m
n ɛ r w oː s ʊ m	n ɛ r w oː s ʊ m
k aː m n ʊ t ʊ m	k aː n uː t ʊ m
d ɪ s p aː r ɪ m r ɛ	d ɪ s p a r eː r ɛ
d ɛ k ɪ m aː r ɛ	d ɛ k ɪ m aː r ɛ
d ɛ s k r ɪ p t j oː n ɛ m	d eː s k r iː p t j oː n ɛ m
t r ɪ b ʊ l ʊ m	t r ɪ b ʊ l ʊ m
w ɪ p ɛ r ɪ n ʊ m	w ɪ p ɛ r iː n ʊ m
ɔ r t ʊ m	h ɔ r d ɛu m
p l a m aː r ɛ	p l a s m aː r ɛ
a k ʊ m ɪ n aː r ɛ	a k uː m ɪ n aː r ɛ
ɛ s ɛ kʷ j ɛ m s	ɛ k sː ɛ kʷ j a m
k aː rː ʊ k j a m	k a rː uː k a m
l oː t a m	l uː t ɛu m
k ɔ m uː n ɛ	k ɔ mː uː n ɛ m
d ɛ l ɪ n kʷ ɛ r ɛ	d eː l ɪ ŋ kʷ ɛ r ɛ
a sː ɔ k j aː r ɛ	a sː ɔ k j aː r ɛ
s ʊ s p ɛ n d ɛ r ɛ	s ʊ s p ɛ n d ɛ r ɛ
s a l ʊ t aː r ɛ	s a l uː t aː r ɛ
p ɔ r k a m	p ɔ r k a m
k uː r aː t uː r a m	k uː r aː t uː r a m
d ɔ l oː s ʊ m	d ɔ l oː s ʊ m
r ɛ t r a k t j oː n ɛ m	r ɛ t r a k t j oː n ɛ m
f aː k t oː r ɛ	f a k t oː r ɛ m
k ʊ r t aː r ɛ	k ʊ r t aː r ɛ
