kʰ w i ⁵⁵	kʰ w i ⁵⁵
pʰ ou ⁵⁵	pʰ ou ⁵⁵
ˀd ei ⁵⁵	ˀd ei ⁵⁵
s ə m ⁵⁵	s ə m ⁵⁵
n e ¹¹	n e ¹¹
tʰ ə ŋ ⁵⁵	tʰ ə ɴ ⁵⁵
ə au ¹¹	j ə ⁰
c i m ¹¹	ɟ i m ¹¹
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
t a ⁰	t ə ʔ̚ ⁰
w a ⁵⁵	g w a ⁵⁵
m a ¹¹	m̥ a ¹¹
kʰ j a ʔ̚ ⁵¹	k j a ʔ̚ ⁵¹
h a t̚ ⁵¹	h a t̚ ⁵¹
d ə ⁰	t ə ʔ̚ ⁰
n i ⁵⁵	n̥ i ⁵⁵
ʔ ɛ m ¹¹	ʔ ɛ ɴ ¹¹
k ə ʔ̚ ⁰	k ə ʔ ⁰
ɴ j e ⁵⁵	ŋ j ai ⁵⁵
pʰ w i ⁵⁵	pʰ w i ⁵⁵
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
ˀb u ŋ ¹¹	ˀb l u ŋ ¹¹
kʰ u ¹¹	kʰ u ¹¹
m̥ a ¹¹	m̥ a ¹¹
tʰ o ¹¹	tʰ o ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
g a ŋ ⁵⁵	g a ŋ ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
m a ⁵⁵	m̥ a ⁵⁵
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
b l a ¹¹	b l a ¹¹
ˀd ə n ⁵⁵	ˀd w ɨ ɴ ⁵⁵
b r u ⁵⁵	p r u ⁵⁵
p j a ¹¹	p j a ¹¹
g o ¹¹	g o ¹¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
