pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
b l a ¹¹	b l a ¹¹
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
d o ¹¹	d o ¹¹
w i ⁵⁵	w i ⁵⁵
r̥ ɔ ⁵⁵	r ɔ ⁵⁵
m̥ ei ⁵⁵	m̥ ei ⁵⁵
kʰ u ¹¹	kʰ u ¹¹
m u ¹¹	m u ¹¹
n ɔ ʔ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
k o ¹¹	k ə ⁰
k w a n ¹¹	g l a m ¹¹
s w i ¹¹	s w i ¹¹
ɲ̊ ə ⁵⁵	ɲ̊ a ¹¹
m̥ a ¹¹	m̥ a ¹¹
c ɔ ¹¹	c ɔ ¹¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
tʰ u ⁵⁵	tʰ u ⁵⁵
p ə ⁵⁵	l a ʔ̚ ³³
l̥ ei ⁵⁵	l ei ⁵⁵
r e ʔ̚ ⁵¹	r e ʔ̚ ⁵¹
ˀb e ŋ ¹¹	ˀb e ŋ ¹¹
n a ¹¹	n̥ a ¹¹
k ə ɴ ⁵⁵	g a ŋ ⁵⁵
ʔ e ŋ ⁵⁵	ʔ e ŋ ⁵⁵
s r e ⁵¹	s r e ³³
cʰ w ɛ ¹¹	cʰ w ɛ ¹¹
l w i ⁵¹	l̥ w i t̚ ⁵⁵
p l a ¹¹	p l a ¹¹
l̥ ei ʔ ¹¹	l̥ i ¹¹
l ɛ ¹¹	l ɛ ¹¹
b ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
w a ⁵⁵	g w a ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
k ə ʔ̚ ⁰	k ə ⁰
p l ɔ ŋ ¹¹	p l ɔ ŋ ¹¹
