x a ŋ ¹	ˀx o̠ ¹
l a ²	l a ²
dʒ a ŋ ¹	dʒ a ŋ ¹
a ¹	a ¹
kʰ e̠ ¹	kʰ e̠ ¹
ɣ i ³	ɣ i ¹
s a ²	s a ²
n̩ ²	n i ²
t i ¹	t i ¹
l o̠ ²	l y ²
a ¹	a ¹
ˀm e̠ ³	ˀm j e̠ ¹
tʃʰ i ³	tʃʰ i̠ ³
t e̠ ¹	t e̠ ¹
g i̠ ¹	tsʰ i̠ ³
m a ŋ ²	m o̠ ³
ʃ o̠ ¹	ʃ o̠ ¹
b i ²	b j o ²
b a ŋ ²	v a ŋ ²
ˀm y ²	ˀm y ²
m a ³	m a ³
l u ¹	l u ¹
l e̠ ³	l e̠ ¹
b a ²	b a ²
z e̠ ³	z e̠ ³
g u ³	g o ŋ ³
d u ¹	t u ¹
g a ³	g j a ³
m a ²	m a ŋ ²
ʒ u ²	ʒ i̠ ³
p ɛ ²	p e ³
v e̠ ¹	v e̠ ³
l u ²	l u ²
m u ²	ˀm u ¹
tʰ y ³	tʰ y ³
s y ²	s y ²
pʰ j a ¹	pʰ j a ¹
u a ¹	ŋ w a ¹
l a ²	l a ²
p y ¹	p y ¹
a ¹	a ¹
a ¹	a ¹
g a ³	g a ³
ˀl y ¹	ˀl y ¹
x e ¹	x e̠ ³
pʰ ɛ ²	pʰ ɛ ²
g o ¹	kʰ y ¹
p a ¹	p a ¹
z i ³	z i̠ ³
ɣ y ³	ɣ y̠ ³
p a̠ ³	p a̠ ³
kʰ ɨ ²	kʰ ɨ ²
b e̠ ¹	b e̠ ¹
ˀx ɛ ¹	kʰ a ²
t e ³	t i̠ ³
a ¹	a ¹
ˀn e̠ ¹	ˀn e̠ ¹
l o̠ ³	l o̠ ³
tsʰ y ¹	tsʰ y ¹
z a ²	z a ²
ˀn a ²	ˀn a ²
ʃ a̠ ³	ʃ a̠ ³
p a̠ ³	p a̠ ³
dʒ a ¹	dʒ a ¹
h e ¹	h e ¹
ɣ i ¹	ɣ ɨ ¹
tsʰ a ¹	tsʰ a ¹
pʰ u ¹	pʰ u ³
x e̠ ¹	ˀx y ¹
k a ²	dʒ ɛ ²
k a ¹	k o̠ ³
tsʰ a ²	tsʰ a ²
p a ³	p a̠ ³
k o̠ ³	k o̠ ¹
ˀl a ŋ ²	ˀl u ²
g u ³	g u̠ ³
tʃʰ e̠ ¹	tʃʰ e̠ ¹
ɣ o̠ ¹	ʒ o̠ ¹
l a ²	l a ²
ts i̠ ³	ts i̠ ³
ɣ i ¹	ɣ i ¹
d e̠ ³	d ɛ̠ ³
m a ³	m a ³
ʃ o ¹	ɣ u ²
¹ e ¹	h e ¹
ɣ i ¹	ʒ e ¹
x a ²	x a ²
k a ³	k a ¹
m a ²	ˀm u ¹
dz i ²	dʒ i ²
l y ¹	l y ¹
ɣ a ¹	s e ¹
s o ¹	s i ³
ˀm ɛ ¹	ˀm ɛ̠ ¹
m ɛ ²	m ɛ ²
m ɛ ²	m ɛ ²
tsʰ u ¹	tsʰ e̠ ¹
k i ¹	k i ¹
g o̠ ³	g o̠ ³
pʰ ɛ ³	f ɛ ³
m y ¹	m y ¹
l e ³	l e̠ ³
s ɛ ²	s ɛ ²
ˀn a ³	ɲ a̠ ¹
s i̠ ²	dz i ²
k e ¹	k ɛ ³
ʃ a ¹	ʃ a ¹
ˀm j i ¹	ˀm i ¹
t e ²	t e ²
ts ɛ ¹	ts ɛ ¹
m u ²	m ɨ ²
d y ¹	d y ¹
d y ²	d y ²
¹ a ¹	tʃ a ¹
kʰ ɛ ³	g a ³
ˀn a ¹	ˀn a ¹
dz a ³	tʰ e̠ ³
k i ²	dʒ i ²
pʰ ɛ ²	pʰ e ²
dz e ²	dz e ²
ˀn i ³	ˀn i ³
tʰ e̠ ³	tʰ e̠ ³
m ²	m ɨ ²
pʰ o ²	pʰ i ²
k o ³	k o ³
