tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
n o ŋ ⁵⁵	n o ŋ ⁵⁵
j a m ¹¹	j a m ¹¹
d ou ¹¹	d ou ¹¹
k ə ⁰	k ə ⁰
ɟ w i ʔ̚ ⁵¹	c w i k̚ ⁵¹
s ei ¹¹	s ei ¹¹
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
ˀb a ŋ ⁵⁵	ˀb a ⁵⁵
ˀb l a ⁵⁵	p l a ⁵⁵
d ə ŋ ¹¹	d ə ŋ ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
n u ŋ ¹¹	n u ¹¹
r w i ʔ̚ ³³	r̥ w i ʔ̚ ⁵¹
kʰ l ə ¹¹	kʰ l o ¹¹
cʰ a ʔ̚ ⁵¹	cʰ a ʔ̚ ⁵¹
r e ŋ ⁵⁵	r̥ e ŋ ⁵⁵
p l a ¹¹	p l a ¹¹
d ɨ ⁰	d ə ŋ ⁵⁵
ˀb a ¹¹	ˀb a ¹¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
ˀd w ɨ ɴ ⁵⁵	ˀd w ɨ ɴ ⁵⁵
w a ⁵⁵	g w a ⁵⁵
tʰ u ¹¹	tʰ u ¹¹
s w w a ¹¹	s w w a ¹¹
s ɔ ʔ̚ ⁵¹	s ɔ ʔ̚ ⁵¹
b e ŋ ⁵⁵	b e ŋ ⁵⁵
l w i ¹¹	l w i ¹¹
m ɨ ¹¹	m̥ ɨ ¹¹
j ɨ m ¹¹	j ɨ m ¹¹
tʰ a ʔ̚ ⁵¹	tʰ a ʔ̚ ⁵¹
kʰ i ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
g ə ⁰	g ə ⁰
ɟ i ¹¹	ɟ i ¹¹
