ts o ⁴	ts o ⁴
b u ²	t u ²
x e n ¹	x e n ¹
k w ɛ ¹	k w ɛ ¹
b e ¹	b e ¹
d i ⁴	d i ⁴
sʰ w a ŋ ³	sʰ w a ŋ ³
k a ŋ ¹	k a ŋ ¹
sʰ w a ŋ ¹	sʰ w a ŋ ¹
l o ŋ ¹	l o ŋ ¹
n j o ŋ ⁴	ŋ j o ŋ ⁴
m ɛ ²	m ɛ ²
n ɔ ³	n ɔ ³
ts r e ŋ ¹	ts r e ŋ ¹
k u ²	k u ²
ɣ ¹ ¹	w u ⁴
tsʰ j e n ¹	tsʲʰ e n ¹
m ɛ ¹	m ɛ ¹
d o ŋ ¹	d o ŋ ¹
ɣ o ⁴	ɕ a
d o ŋ ²	d j o ŋ ²
ts r ɯ ²	ʈ ɯ ²
b j o ⁴	b j o ⁴
sʰ o ⁴	sʰ o ⁴
χ ɯ ²	χ ɯ̃ ²
tɕʰ i ¹	tɕʰ i ¹
ʈ o ⁴	d r o ⁴
sʰ r ɯ ²	sʰ r ɯ ²
kʰ o ŋ ¹	kʰ o ŋ ¹
kʰ r o ²	kʰ r o ²
g ɯ ¹	g ɯ ¹
j o ²	ŋ j o ²
m i ²	m i ²
q o ⁴	q ɔ ⁴
qʰ w ɔ ²	kʰ w ɛ ²
b r u ³	p u ³
n j o ¹	b j o ²
d r ɯ ²	d r ɯ ²
p u ²	p ɯ ²
ts i ⁴	ts j i ⁴
s j e n ¹	s j e n ¹
qʰ ɔ ²	qʰ ɔ ²
p w a ¹	ɕ w i ²
tʰ r e ⁴	tʰ j e ⁴
sʰ o ŋ ¹	s o ŋ ¹
x w i ²	x w i ²
