p j o ⁴	p j u ⁴
p i ¹	b r i ²
k o ŋ ²	k o ŋ ²
sʰ o ⁴	sʰ o ⁴
tsʰ u ŋ ¹	tsʰ u ŋ ¹
ts o ⁴	ts o ⁴
d æ n ¹	d r æ n ¹
s u ¹	ʂ u ¹
j ɯ ⁴	j ɯ ⁴
ɣ o ⁴	ɣ u ⁴
ŋ w a ⁴	ŋ w a ⁴
tʰ r o ⁴	tʰ r o ⁴
ɣ o ³	g o ŋ ³
qʰ w i ²	kʰ w ɛ ²
dʑ j i ²	dʑ i ²
m ɛ ¹	m ɛ ¹
p i ²	b r i ²
tɕ i ¹	tɕ i ¹
tɕ ɯ ¹	tɕ u ¹
j o ŋ ²	ŋ j o ²
b ɯ ²	p u ²
ɣ ɛ ⁴	tsʰ w a ⁴
tʰ o ŋ ¹	tʰ r o ŋ ¹
p j æ ⁴	p r æ ⁴
m æ ŋ ²	m æ ²
dʑ i ³	d i ³
j e n ¹	j e n ¹
d ɯ ²	dʑ ɯ ²
qʰ ɔ ²	qʰ ɔ ²
z e n ¹	z e n ¹
pʰ e ¹	pʰ e ¹
ŋ w a ⁴	ŋ w a ⁴
n ɛ ¹	n ɛ ¹
b j ɛ ⁴	b j ɛ ⁴
pʰ æ ¹	pʰ æ ¹
tʰ u ³	tʰ r u ³
s i ²	s i ²
q ɯ ¹	q ɯ ¹
d a ¹	d ɔ ¹
tɕ i ¹	tɕ i ¹
ts w ɛ ⁴	ts w ɛ ⁴
k w a ¹	k w a ⁴
p i ³	b r i ³
b u ²	b ɯ ²
tʰ r o ⁴	tʰ r o ⁴
ɣ ɔ ¹	ɣ ɔ ¹
q æ ¹	q æ n ¹
