kʰ l ɛ ɴ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
k ə ⁰	k ə ⁰
k ə ʔ ⁰	k ə ʔ̚ ⁰
l̥ ei ⁵⁵	l ei ⁵⁵
p l e ŋ ⁵⁵	p l e ŋ ⁵⁵
cʰ ei ⁵⁵	cʰ ei ⁵⁵
l e ¹¹	l e ¹¹
n̥ ei ⁵⁵	n ei ⁵⁵
n ɔ ¹¹	n̥ ɔ ɴ ¹¹
s a ¹¹	s a ¹¹
cʰ a ¹¹	cʰ a ¹¹
d o ¹¹	d o ¹¹
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
ˀd ɛ ⁵⁵	ˀd ɛ ⁵⁵
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
m ɨ ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
w i ⁵⁵	w i ⁵⁵
p l ɔ ŋ ¹¹	p l ɔ ŋ ¹¹
g w a t̚ ⁵¹	k w a t̚ ⁵¹
g o ¹¹	g o ¹¹
kʰ ei ⁵⁵	kʰ ei ⁵⁵
s w w a ¹¹	s w w a ¹¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
b r u ⁵⁵	p r u ⁵⁵
kʰ w au ⁵⁵	kʰ w au ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
kʰ i ⁵⁵	kʰ ə ⁰
b l a ¹¹	b l a ¹¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
cʰ j a n ⁵⁵	cʰ j a ɴ ⁵⁵
pʰ a ʔ̚ ⁵¹	p a ʔ̚ ⁵¹
c e ¹¹	c e ¹¹
ˀd ə ⁵⁵	ˀd ə ⁵⁵
d o ŋ ¹¹	d o ŋ ¹¹
l̥ i ⁵⁵	l ei ⁵⁵
