t e̠ ¹	t u ¹
n ɛ̠ ³	n ɛ ³
s a ³	ʃ a̠ ³
l o̠ ³	l o̠ ³
a ¹	a ¹
x y ¹	x y ¹
x i ¹	x e ¹
v e̠ ³	v e̠ ³
a ¹	a ¹
dʒ a ²	dz a ¹
tsʰ ɛ̠ ¹	tʃʰ ɛ̠ ¹
kʰ i ²	kʰ ɨ ²
m y̠ ³	m ɨ ²
v i̠ ³	v e̠ ³
g j o̠ ³	g j o̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
ts e ¹	ts e ¹
pʰ y ²	pʰ j y ²
h e ¹	h e ¹
kʰ j i ²	tsʰ ɿ ²
dʒ a ¹	dʒ a ¹
tʰ o ³	ts u ¹
k a̠ ³	k o̠ ³
m ɛ ²	m ɛ ²
ˀm ɛ ²	ˀm ɛ ¹
ʃ ɛ ¹	ʃ ɛ ¹
pʰ e̠ ¹	pʰ e̠ ¹
ˀl a ²	ˀl a ²
dʒ a ¹	k a ²
a ¹	a ¹
m a ³	m a ³
ˀl o̠ ³	l o̠ ¹
b ɨ̠ ¹	b ɨ̠ ¹
m e̠ ¹	m e̠ ³
v e̠ ³	v e ³
a ¹	a ¹
ˀn i ¹	ˀn i ¹
ˀn y̠ ³	ˀn y̠ ³
tsʰ i ³	tsʰ i̠ ¹
ˀv ɛ̠ ¹	ˀv e̠ ¹
m ɨ ¹	m ɨ ¹
a ¹	a ²
t u̠ ¹	t i̠ ¹
ˀm e̠ ³	ˀm e̠ ¹
v ɛ ¹	v ɛ ¹
tʃʰ i̠ ²	tʃʰ i ²
t a ⁵⁵	t a ⁵⁵
ˀn e ²	n e ²
z ɛ ¹	z ɛ ¹
t i ²	t i ²
b o ²	b o ²
x a̠ ²	ʃ a ²
s i ¹	s i ²
ɣ i ¹	ɣ i ¹
s y ²	ʃ y ¹
a ¹	a ¹
ɣ ɨ ¹	ɣ y ¹
b u ³	pʰ u ²
ʃ ɛ ¹	ʃ ɛ ¹
kʰ ɨ ¹	kʰ i ¹
x a ¹	x a ¹
p ɛ̠ ²	p a̠ ³
d e̠ ³	d ɛ̠ ³
k a ŋ ³	k u ³³
a ³	a ¹
tsʰ y ¹	tsʰ y ¹
p o̠ ³	p o̠ ¹
s ɛ ²	s ɛ ²
tsʰ o̠ ¹	tsʰ o̠ ¹
tsʰ i ³	tsʰ i̠ ³
p a̠ ³	p a̠ ³
s a ¹	k a ¹
a ¹	a ¹
dz a ¹	dz a ²
ʃ o̠ ¹	ʃ o̠ ¹
dz i ¹	dz i ¹
k e ³	k o̠ ¹
t u ³	t j ɛ ³³
ɣ ŋ ¹	v u ¹
m j a ²	m j y ²
ɣ ɛ ²	ɣ ɛ ²
pʰ j a ²	b a ²
d ɛ ²	t e̠ ³
ŋ v a ³	v a ³
m e ²	m j a ²
j a ³	j a ŋ ²
n y ¹	n y ¹
s e ¹	s e ¹
p o ²	p a̠ ³
tʃʰ ɨ ²	tsʰ ɿ ²
ɣ ɨ ¹	ɣ ɨ ¹
l o̠ ³	ˀl o̠ ³
m i̠ ¹	m i̠ ¹
pʰ ɛ ³	p ɛ ³
k i ¹	k i ¹
m o ²	m o ²
ˀv a ¹	ˀv a ¹
kʰ o ²	kʰ ɨ ²
n j a̠ ²	ɲ a̠ ³
ʃ a̠ ³	ʃ a̠ ³
h e ¹	h e ¹
v o ŋ ¹	v u ¹
l e̠ ³	l e̠ ³
z a ²	z a ²
ɣ ɨ ¹	ɣ i ¹
k a ³	k a ¹
t o̠ ³	t u ³
a ¹	a ¹
tsʰ e̠ ²	tʃʰ e̠ ¹
s i ¹	s i̠ ¹
m a ŋ ³	m o ¹
a ²	a ²
pʰ ɛ̠ ³	pʰ e̠ ³
n a ¹	n a ¹
p a̠ ³	p a̠ ³
p a̠ ³	p a̠ ³
b y ³	b y ³
g j a ¹	g j a ¹
z a ²	z a ²
a ¹	a ¹
s i̠ ³	s i̠ ³
kʰ ɛ̠ ¹	kʰ a̠ ¹
a ²	a ¹
n y ²	n y ²
