f aː b ɛ lː a m	f aː b ɛ lː a m
n ɛ m ɔ r aː l ɛ	n ɛ m ɔ r aː l ɛ m
p r ɔ p ʊ ŋ n aː r ɛ	p r oː p ʊ ŋ n aː r ɛ
a b j ɛ k t aː r ɛ	a b ɪ k ɛ r ɛ
k ɪ r k ʊ n f l uː ɪ r ɛ	k ɪ r k ʊ m f l ʊ ɛ r ɛ
l ɪ m ɪ n ɛ	l iː m ɛ n
ɪ nː ɔ k ʊ m	ɪ nː ɔ k ʊː m
k ɔ n f ɛ sː oː r ɛ	k oː n f ɛ sː oː r ɛ m
t r a n s k r ɪ w ɛ r ɛ	t r aː n s k r iː b ɛ r ɛ
k ɔ nː ɛ k t ɛ r ɛ	k oː n ɛ k t ɛ r ɛ
ɪ n t r ɪ n t ɛ k ʊ m	ɪ n t r iː n s ɛ k ʊ m
ɛ gʷ aː l t aː t ɛ m	aɪ kʷ aː l ɪ t aː t ɛ m
ʊ l t ɔ r ɛ	ʊ l t oː r ɛ m
p aː sː aː r ɛ	p a n d ɛ r ɛ
l ɔ k uː t j ʊ m n ɛ m	l ɔ k uː t j oː n ɛ m
ɪ f ɪ m a m r ɛ	ɪ f ɪ k aː r ɛ
k ɛ l aː r ɛ	k eː l aː r ɛ
k ɔ n s ɪ s t ɛ r ɛ	k oː n s ɪ s t ɛ r ɛ
a b ɛ rː aː r ɛ	a b ɛ rː aː r ɛ
ɪ m p ʊ t ɛ n t ɛ m	ɪ m p ʊ d ɛ n t ɛ m
r ɛ p l ɪ k aː t j oː n ɛ	r ɛ p l ɪ k aː t j oː n ɛ m
l ɔ n g ɪ t uː d ɪ n ɛ m	l ɔ ŋ g ɪ t uː d ɪ n ɛ m
p aː r t ɪ k ʊ l a m	p a r t ɪ k ʊ l a m
s ɔ nː ʊ m	s ɔ m n ʊ m
d ɪ w ɪ n aː r ɛ	d iː w iː n aː r ɛ
m eː n s a m	m eː n s a m
ɛ n s ɛ m	eː n s ɛ m
a w ɛ n a m	a w eː n a m
ɛ s t ɪ w ʊ m m	aɪ s t iː w ʊ m
a m b aː g ɛ s	a m b aː g ɛ m
ɔ r ɪ g ɪ n aː r j ʊ m	ɔ r iː g ɪ n aː r j ʊ m
s aː r k ɪ n a m	s a r k ɪ n a m
s t ʊ l t ʊ m	s t ʊ l t ʊ m
n ɔ s	n oː s
g ʊ r t ʊ m	g ʊ r d ʊ m
r ɛ k aː t aː r	r ɛ k a p t j aː r ɛ
d ɪ k t aː m ɛ n	d ɪ k t aː m ɛ n
n ʊ m ɛ r ɔ s ɪ t aː t ɛ m	n ʊ m ɛ r oː s ɪ t aː t ɛ m
d ɛ s ɪ d ɛ aː r ɛ	d eː s iː d ɛ r aː r ɛ
p aː r ɪ r ɛ	p a r ɛ r ɛ
l aː t ɪ f ʊ n d j ʊ m	l aː t ɪ f ʊ n d j ʊ m
l aː t r ɪ l ʊ m	l a t ɛ r k ʊ l ʊ m
a b ɪ g j ɛ aː t ʊ m	a b ɪ g ɛ aː t ʊ m
ɔ s aː r ɛ	aʊ d eː r ɛ
f aː s t ʊ m	f aː s t ʊ m
m ɔ d ɛ r ɛ	m ɔ l ɛ r ɛ
aʊ d ɪ t oː r ɛ	aʊ d iː t oː r ɛ m
k ɔ r t ɛ m	k oː r t ɛ m
g r aː t aː g ɪ t ʊ m	g r aː t ʊ iː t ʊ m
ɛ k l ɛ s a m	ɛ kː l eː s j a m
k ɛ r t aː m ɛ n	k ɛ r t aː m ɛ n
r ɛ s ɛ r w aː t j oː n ɛ m	r ɛ s ɛ r w aː t j oː n ɛ m
f ɪ n ɛ m	f iː n ɛ m
p l aː n t ʊ m	p l a ŋ k t ʊ m
s t r ɛ ʊ ɛ n ɛ t ʊ m	t ɔ n ɪ t r ʊ m
ɪ n s uː l aː r ɛ	iː n s ʊ l aː r ɛ m
s aː p oː r ɛ	s a p oː r ɛ m
