n e ⁵⁵	n̥ e ⁵⁵
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
kʰ ei ¹¹	kʰ ei ¹¹
m ə ŋ ¹¹	m ə ŋ ¹¹
c a ¹¹	ɟ a ¹¹
j ou ¹¹	j ou ¹¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
m ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
tʰ u ¹¹	tʰ u ¹¹
ˀd w ɨ m ⁵⁵	ˀd w ɨ ɴ ⁵⁵
k ɨ ⁵⁵	k ɨ ⁵⁵
ɲ̊ a ⁵⁵	ɲ̊ au ⁵⁵
b ə ⁰	p ə ⁰
cʰ u ɴ ¹¹	cʰ u ɴ ¹¹
k i ¹¹	k i ¹¹
l ei ¹¹	l̥ i ¹¹
l a ⁵⁵	l a ʔ̚ ³³
kʰ ei ⁵⁵	kʰ ei ⁵⁵
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
d ɛ ʔ̚ ⁵¹	d ɛ ʔ̚ ⁵¹
kʰ j o ʔ̚ ⁵¹	kʰ r o ʔ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
s a ¹¹	s a ¹¹
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
cʰ ei ⁵⁵	cʰ ei ⁵⁵
n w i ⁵⁵	ˀn w e t̚ ⁵¹
m a ⁵⁵	m a ⁵⁵
m ɛ ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
tʰ o ¹¹	tʰ o ¹¹
k ə ⁰	k ə ⁰
ɲ̊ a ¹¹	ɲ̊ a ¹¹
m w u ɴ ⁵⁵	m w ɨ ɴ ⁵⁵
cʰ a ⁵⁵	c a ⁵⁵
m ei ⁵⁵	m̥ ei ⁵⁵
m u ¹¹	m u ¹¹
