ɪ fː ʊ n d ɪ r ɛ	ɛ fː ʊ n d ɛ r ɛ
f ʊ l g ʊ r aː r ɛ	f ʊ l g ʊ r aː r ɛ
k r ɪ b m ʊ m	k r iː b r ʊ m
s t ɔ r a m	s t ɔ r ɛ a m
m ɛ d ɪ j ʊ k r ɛ m	m ɛ d ɪ ɔ k r ɛ m
n a t uː r a m	n aː t uː r a m
a b aɪ t ʊ m	a b ɪ eː t ɛ m
d ɪ fː ɪ aː m aː r ɛ	d ɪ fː aː m aː r ɛ
r aː p ʊ m	r aː p ʊ m
f aː s k ɛ m	f a s k ɛ m
p j ɛ ɪ k a m	p ɛ d ɪ k a m
a d m ɔ n ɪ s eː r ɛ	a d m ɔ n eː r ɛ
aʊ g uː r ɛ m	aʊ g ʊ r ɛ m
m ɪ g r aː r ɛ	m ɪ g r aː r ɛ
t r a d ɪ t oː r ɛ	t r aː d ɪ t oː r ɛ m
m ɛ l ɔ r aː r ɛ	m ɛ l j oː r aː r ɛ
a kː ɔ rː ɛ r ɛ	a kː ʊ rː ɛ r ɛ
s ʊ b ɪ t aː n ɛ ʊ m	s ʊ b ɪ t aː n ɛu m
f ʊ d a m	f iː d uː k j a m
b ɛ r ɪ lː ʊ m	b eː r y lː ʊ m
a n ɔ m a l ʊ m	a n oː m a l ɔ n
k ɔ ŋ n ɔ m ɛ m	k oː ŋ n oː m ɛ n
a n eː k aː r ɛ	n ɛ k aː r ɛ
n iː n f a m	n y m pʰ a m
s k a b j a m	s k a b ɪ ɛ m
a r aː t r ʊ m	a r aː t r ʊ m
s ʊ b s t ɪ t uː t j ʊ n ɛ m	s ʊ b s t ɪ t uː t j oː n ɛ m
r ɪ n	r eː n ɛ m
m aː l f aː t oː r ɛ	m a l ɛ f a k t oː r ɛ m
s a l w aː t ɪ ʊ m	s ɪ l w aː t ɪ k ʊ m
f ɪ k t j oː n ɛ m	f ɪ k t j oː n ɛ m
a b aː k uː l ʊ m	a b a k ʊ l ʊ m
a b ɪ l ɛ m	aː b ɪ l ɛ m
p a r j ɪ ɛ t aː l ɛ	p a r ɪ ɛ t aː l ɛ m
ɔ m ɪ k ɪ d j ʊ m	h ɔ m ɪ k iː d j ʊ m
f ʊ r ʊ n k ʊ l ʊ m	f uː r ʊ ŋ k ʊ l ʊ m
ɪ m f ɔ r t uː n j ʊ m	iː n f ɔ r t uː n j ʊ m
a n t ɪ s t ɛ r ɛ m	a n t ɪ s t ɪ t ɛ m
s ʊ b m ɛ r s j oː n ɛ	s ʊ mː ɛ r s j oː n ɛ m
k ɔ d ɪ k ɪ lː ʊ m	k oː d ɪ k ɪ lː ʊ m
w ɔ m ɛ r ɛ	w ɔ m ɛ r ɛ
s uː pː l ɪ r	s ʊ pː l eː r ɛ
k a m b j aː r ɛ	k a m b iː r ɛ
p ɛ s aː r ɛ	p eː n s aː r ɛ
uː m ɪ d ʊ m	uː m ɪ d ʊ m
d eː m ɛ n t ɪ k a r ɛ	d eː m ɛ n t aː r ɛ
f ɔ r t ɪ f ɪ k aː r ɛ	f ɔ r t ɪ f ɪ k aː r ɛ
n ɔ t aː r ɛ	n ɔ t aː r ɛ
l ɪ n ɛ aː n ɛ n t ʊ m	l iː n ɛ aː m ɛ n t ʊ m
k ɔ n s uː l t a t j ʊ n ɛ m	k oː n s ʊ l t aː t j oː n ɛ m
eː l ɪ d ɛ r ɛ	eː l iː d ɛ r ɛ
k a l eː r ɛ	k a l eː r ɛ
d j ɛ k s t r ʊ m	d ɛ k s t r ʊ m
ɪ g aː l d aː d ɛ m	aɪ kʷ aː l ɪ t aː t ɛ m
b l a n d ɪ r ɛ	b l a n d iː r iː
k ɔ n s l ʊ d ɛ m	k oː n s ɔ l ɪ d a m
a m p l ʊ m	a m p l ʊ m
ɪ n s ɔ n ɛ m	iː n s ɔ m n ɛ m
a t ɛ m ɛ r a p ɛ	a tː ɛ m p ɛ r aː r ɛ
kʷ j ɪ t a n t ɛ m	kʷ ɪ eː t a n t j a m
ɛ k s a m ɪ n aː r ɛ	ɛ k s aː m ɪ n aː r ɛ
eː k s p lː a n aː r ɛ	ɛ k s p l aː n aː r ɛ
m aː r t ɛ r ɛ	m a r t y r ɛ m
n ʊ s ʊ k ɔ m j ʊ m	n ɔ s ɔ k ɔ m iː ʊ m
a r b uː s t ɪ w ʊ m	a r b ʊ s t iː w ʊ m
t r ɪ k ɛ	t r iː k ɛ m
d ɛ f l uː ɪ r ɛ	d eː f l ʊ ɛ r ɛ
p ɛ g oː r ɛ	p ɛ j oː r ɛ m
k ɔ lː ɪ r j ʊ m	k ɔ lː y r j ʊ m
p r ɛ w ɛ r ɛ	p r aɪ w ɪ d eː r ɛ
b ɪ s t a m	b eː s t j a m
k ɛ n s oː r ɛ	k eː n s oː r ɛ m
a n ɪ m ʊ m	a n ɪ m ʊ m
b a s ɪ l ɪ k ʊ m	b a s ɪ l ɪ k ʊ m
s p a r g ɛ r ɛ	s p a r g ɛ r ɛ
a fː l uː ɛ r ɛ	a fː l ʊ ɛ r ɛ
d ɛ t ɛ r g ɛ r ɛ	d eː t ɛ r g eː r ɛ
h ɛ lː ʊ m	ɛ lː ʊ m
a lː ɔ k uː t j ʊ n ɛ m	a lː ɔ k uː t j oː n ɛ m
s ʊ m ɪ t aː t ɛ m	s ʊ mː ɪ t aː t ɛ m
p r ɛ w ɛ n ɪ r ɛ	p r aɪ w ɛ n iː r ɛ
