s r ɔ ¹	z ɔ ¹
m ø ²	m ø ²
? ɔ ³	h ɔ ³
p j o ²	p j ɛ ²
qʰ o ⁴	qʰ ɔ ⁴
p j ɔ ²	p j o ²
ŋ w a ⁴	ŋ w a ⁴
d o ⁴	ɖʐ o ⁴
j e n ¹	j e n ¹
sʰ w a ⁴	s w a ⁴
d j æ n ¹	d r æ n ¹
p j o ¹	p r ɔ ¹
ɕ j e n ¹	s j e n ¹
d r ɯ ³	d r ɯ ³
n o ³	n o ŋ ³
pʰ æ ¹	pʰ æ ¹
b ɛ ²	p ɛ ²
q w a ⁴	ɣ w a ⁴
p ɯ ²	p u ²
ɣ o ⁵	ɣ o ⁴
d o ³	ɖʐ o ³
tsʰ o ŋ ¹	tsʰ o ŋ ¹
q ɔ ¹	ɣ ɔ ¹
ɣ æ ⁴	ɣ æ ⁴
tɕ i ²	dʑ i ²
ts u ²	ts u ²
q æ ⁴	q æ ⁴
tʰ r ɯ ⁴	ʈ ɯ ⁴
n j o ŋ ¹	n j o ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
m ɛ ¹	m ɛ ¹
s w a ŋ ¹	s w a ŋ ²¹
b ɯ ¹	b ɯ ¹
qʰ r u ²	qʰ u ²
n j o ⁴	b j o ⁴
m r æ n ¹	m j æ ¹
s r i ²	s r ɯ ²
g r o ŋ ¹	ɣ o ŋ ¹
ɯ ²	ɯ̃ ²
χ æ n ¹	χ æ n ¹
ɕ j e n ¹	s j e n ¹
m ɯ ³	m ɯ ⁵
m a ⁴	m a ⁴
b i ⁴	p r i ⁴
t a ⁴	d a ⁴
b æ ¹	b æ ŋ ¹
