s k r ʊ t aː r	s k r uː t aː r iː
a r b oː r ɛ ʊ m	a r b ɔ r ɛu m
d ɔ k t oː r ɛ	d ɔ k t oː r ɛ m
w eː n aː r ɛ	w eː n aː r iː
f ɛ s aː r ɛ	f a t eː r iː
ɔ pː r ɔ b j ʊ m	ɔ pː r ɔ b r j ʊ m
m a t aː s a m	m a t a k s a m
h eː k ɪ	kʷ ɛ m
m ɛ d ɪ k ɪ n aː l ɛ	m ɛ d ɪ k iː n aː l ɛ m
a r m aː r ɛ	a r m aː r ɛ
j uː s t ɪ f ɪ k aː t j oː n ɛ m	j uː s t ɪ f ɪ k aː t j oː n ɛ m
r ɛ g ʊ l a m	r eː g ʊ l a m
p a w ɪ d ʊ m	p a w ɪ d ʊ m
d ɪ s k r ɪ m ɪ n aː t j oː n ɛ m	d ɪ s k r iː m ɪ n aː t j oː n ɛ m
g a n ʊ n	g a l b ɪ n ʊ m
a k k ɛ k ʊ m	a kː ɛ sː ʊ m
a n ʊ m	aː n ʊ m
ɔ b ɛ d ɛ t ɛ r	ɔ b ɔ ɪ d iː r ɛ
k ɔ m a n d aː r ɛ	k ɔ mː ɛ n d aː r ɛ
s kʰ oː n ɛ m	t j oː n ɛ m
k ɛ r t ɛ w aː r	k ɪ r k ɪ n aː r ɛ
ʊ k ʊ l	a w ʊ ŋ k ʊ l ʊ m
ɛ k s p ʊ r g aː t j oː n ɛ m	ɛ k s p ʊ r g aː t j oː n ɛ m
t r ɛ b ʊ l ʊ m	t r ɪ b ʊ l ʊ m
k a n d ɛ l aː b r ʊ m	k a n d eː l aː b r ʊ m
a b j ʊ r aː r ɛ	a b ɪ uː r aː r ɛ
m ɛ s ɛ m	m ɛ sː ɛ m
ɛ sː ɛ m k ɔ p t j ʊ m	s k a l p r ʊ m
w ɛ n t ɪ l aː t j oː n ɛ	w ɛ n t ɪ l aː t j oː n ɛ m
s t r ɪ g ɛ m	s t r ɪ g ɛ m
g r aː lː ʊ m	g r aː k ʊ l ʊ m
d ɪ t ʊ m	d ɪ k t ʊ m
m a n k ɪ p m j ʊ m	m a ŋ k ɪ p j ʊ m
ɪ l ɛ g aː l ɛ	ɪ lː eː g aː l ɛ m
s uː p ɛ r b aː k a g ɪ ʊ m	s ʊ p ɛ r w a k ʊː m
r ɛ k ɪ t aː t j oː n ɛ m	r ɛ k ɪ t aː t j oː n ɛ m
a ŋ g ʊ s t aː r ɛ	a ŋ g ʊ s t aː r ɛ
k r eː s p aː r ɛ	k r ɪ s p aː r ɛ
n ɔ d j a	n uː p t j aː s
m a g ʊ m	m a g ʊ m
a tː ɪ ŋ g ɛ r ɛ	a tː ɪ ŋ g ɛ r ɛ
