b æ ¹	b æ ŋ ¹
m i n ¹	m j i ¹
tɕ i ¹	tɕ i ¹
x ɔ ³	h ɔ ³
sʰ r ɯ ²	sʰ r ɯ ²
sʰ w a ⁴	sʰ w a ⁴
ɕ j i ⁴	ɕ i ⁴
tsʰ j j ¹	tsʰ j i ¹
b r u ²	b ɯ ²
ts i ⁴	ts j i ⁴
g ɔ ¹	g ɔ ¹
p r e n ¹	p r e n ¹
ts i ²	ts r i ²
tʰ r o ŋ ¹	tʰ r o ŋ ¹
q w a ⁴	ɣ w a ⁴
s j o ŋ ²	ɕ w i ²
s o ³	sʰ ɔ ³
j o ⁴	j ɔ ⁵
χ ɯ ²	χ ɯ̃ ²
kʰ r o ŋ ²	ɣ ɯ̃ ²
d r ɯ ¹	ʈ ɯ ⁴
dʑ æ n ³	dʑ æ n ³
s w a ¹	ɕ w i ²
ŋ r o ŋ ⁴	ŋ j o ŋ ⁴
p r æ ¹	b æ ¹
o ⁴	ɔ ⁴
q ɯ ¹	q ɯ ¹
kʰ r o ²	kʰ r o ²
s r i ⁴	s r i ⁴
ɣ ɔ ⁴	ɣ u ⁴
q æ ⁴	q æ ⁴
b r i ¹	b r i ²
tʰ u ŋ ²	tʰ u ²
b æ n ²	b æ n ³
p j ɛ ³	pʰ j ɛ ³
ŋ w e ŋ ¹	ʁ w e n ¹
g r ɯ̃ ²	ɣ ɯ ²
x e n ¹	x e n ¹
n o ŋ ²	n o ŋ ³
h a ŋ ⁵	h a ŋ ⁵
ɖʐ o ¹	ɖʐ u ŋ ¹
d ɛ ⁴	d ɛ ⁴
ɣ ɔ ¹	ɣ ɔ ¹
ɣ ɔ ¹	ɣ ɔ ¹
tsʰ j w e n ¹	tsʰ w e n ¹
n j e n ¹	n j e n ¹
tɕ ɯ ²	tɕ ɯ ²
