n o ²	n o ²
pʰ ɯ ¹	pʰ ɯ ¹
b j ɛ ⁴	b j ɛ ⁴
pʰ r a ⁴	pʰ r a ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
d r ɯ ³	d r ɯ ³
m æ ¹	m æ ¹
ɕ w a ⁴	s w a ⁴
m a ⁴	m a ⁴
ʈ r ɯ ²	ʈ ɯ ²
ts r i ²	ts r i ²
ts o ⁴	ts o ⁴
dʑ j i ²	dʑ i ²
b e ¹	b e ¹
ts r e ²	ts r e n ²
tɕʰ j æ n ¹	tɕʰ æ ¹
tsʰ j i ⁴	tsʰ j i ⁴
dʑ i ⁴	d i ⁴
p j æ ⁴	p r æ ⁴
ɖʐ u ¹	ɖʐ u ŋ ¹
x e n ¹	x e n ¹
p u ²	p ɯ ²
tɕ a ³	tɕ a ³
tsʰ r e ¹	tsʰ r e ŋ ¹
g ɯ̃ ŋ ³	g ɯ̃ ³
tsʰ ɯ ³	tsʰ ɯ ³
kʰ r o ²	kʰ r o ³
b o ŋ ²	b o ŋ ²
tsʰ w e n ¹	tsʰ w e n ¹
j a ⁴	j a ⁴
g o ¹	g o ¹
ts i ⁴	ts j i ⁴
ŋ o ¹	ŋ o ¹
k o ⁵	k o ⁵
m ɛ ⁵	m i ¹
x e n ¹	x e n ¹
m ɯ ⁴	m ɯ ⁴
d r o ŋ ¹	d r o ŋ ¹
q o ⁴	q ɔ ⁴
ɖʐ i ²	ɖʐ i ²
tʰ u ¹	tʰ r u ¹
tɕʰ i ¹	tɕʰ i ¹
s o ŋ ³	s u ŋ ³
g ɯ ¹	g ɯ ¹
d r ɯ ²	d r ɯ ²
q ɯ ¹	q ɯ ¹
ɕ r a ⁴	ɕ a ⁴
