ɖʐ o ⁴	ɖʐ o ³
j e n ¹	j e n ¹
m æ ¹	m æ ¹
ts r o ²	ts r ɔ ²
kʰ r o ²	kʰ r o ²
k o ⁵	k o ⁵
tɕ j e n ¹	tɕ e n ¹
m æ ŋ ²	m æ ²
j ɯ ¹	j ɯ ¹
q a ŋ ¹	q a ŋ ¹
q w ɛ ⁵	q w ɛ ³
k o ⁴	qʰ ɔ ⁴
ɣ ɯ ¹	ɣ ɯ ²
s r r æ ŋ ²	s r e ŋ ²
n ɛ ¹	n ɛ ¹
b r i ¹	b r i ²
tsʰ i ⁴	tsʰ j i ⁴
s j e n ¹	s j e n ¹
x ɔ ³	h ɔ ³
n o ²	n o ²
ts o ⁴	ts o ⁴
x e n ¹	x e n ¹
b ɯ ¹	b ɯ ¹
d o ⁴	d r o ⁴
sʰ ɔ ¹	sʰ r ɔ ¹
ɖʐ a ⁴	dʑ a ⁴
p u ²	p ɯ ²
m e ¹	m e ¹
d r ɯ ¹	d j ɯ ¹
q a ŋ ¹	q a ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
tsʰ r e ŋ ¹	tsʰ r e ŋ ¹
n o ŋ ¹	n o ŋ ¹
ŋ j e n ¹	n j e n ¹
m i ²	m i ²
g ɯ̃ n ³	g ɯ̃ ³
ɕ i ²	ɕ w i ²
tʰ e ⁴	tʰ r e ⁴
n i o ²	n j o ²
n ɛ ¹	n ɛ ¹
ɣ æ ¹	ɣ æ ¹
kʰ o ⁴	kʰ o ⁴
n j o ŋ ⁴	ŋ j o ŋ ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
ts w ɛ ⁴	ts w ɛ ⁴
m r a ŋ ¹	m j æ ¹
d ɔ ⁵	d ɔ ⁵
