b aː a t ʊ m	b ɔ aː t ʊ m
m eː s t m ɪ t ʊ m	m ɪ k s t iː k j ʊ m
a m b ɪ t ʊ m	a m b iː t ʊ m
t a m ɛ ʊ	t a m ɪ s j ʊ m
s ʊ b g ʊ k g aː r ɛ	s ʊ b j ʊ g aː r ɛ
ɛ k s p uː r g a t j oː n ɛ m	ɛ k s p ʊ r g aː t j oː n ɛ m
p ɛ r t uː r b a t j oː n ɛ m	p ɛ r t ʊ r b aː t j oː n ɛ m
a b j ɛ k k j oː n	a b ɪ ɛ k t j oː n ɛ m
k ɔ m ɔ n j ʊ n ɛ m	k ɔ mː uː n iː r ɛ
t ɛ l a m m	t eː g ʊ l a m
m a t ɛ r n ɪ t aː	m aː t ɛ r n ɪ t aː t ɛ m
w ɪ p t ʊ m	w iː k t ʊ m
k ʊ k ɪ n aː r ɛ	k ɔ kʷ iː n aː r ɛ
m m w ɛ r ʊ m	w eː r ʊ m
a b d uː k ɛ r	a b d uː k ɛ r ɛ
n ʊ m ɛ r aː r ɛ	n ʊ m ɛ r aː r ɛ
ɪ rː ɛ g ʊ l aː r ɛ	ɪ rː eː g ʊ l aː r ɛ m
m a t ɛ r n ʊ m m	m aː t ɛ r n ʊ m
p r ɔ r ʊ m p ɛ r ɛ m	p r oː r ʊ m p ɛ r ɛ
r uː g ɪ n ɛ m	aɪ r uː g ɪ n ɛ m
p ɔ n t ɪ f ɪ k aː t ʊ m	p ɔ n t ɪ f ɪ k aː t ʊ m
g l aʊ k ʊ m	g l aʊ k ʊ m
g r a n aː r j ʊ m	g r aː n aː r j ʊ m
a m p l ʊ m	a m p l ʊ m
k ɔ n s ɛ ʊ m	k oː n s k j ʊ m
a r m ɪ lː a m	a r m ɪ lː a m
ɪ d ʊ n ɛ ɛ m ʊ m	ɪ d oː n ɛ ɪ t aː t ɛ m
r ɛ uː m	r h ɛu m a
r ɪ d iː r ɛ	r iː d eː r ɛ
m ɪ	m eː n s ɛ m
l ɛ g	l eː g ɛ m
aː m s k ʊ s ʊ m	a b s k ɔ n s ʊ m
ɛ m ɛ r g ɛ r ɛ	eː m ɛ r g ɛ r ɛ
s ɪ r iː k ʊ m	s eː r ɪ k ʊ m
s p uː t ʊ m	s p uː t ʊ m
k ɔ n t r ɔ w ɛ r s j a m	k ɔ n t r oː w ɛ r s j a m
t ʊ r t ʊ r ɛ	t ɔ r t oː r ɛ m
s ɛ n ɛ m	s ɛ n ɛ m
s t uː d j ʊ m	s t ʊ d j ʊ m
ɛ d ɪ k ʊ l a m	aɪ d ɪ k ʊ l a m
r aː p t ʊ m	r a p t ʊ m
a b ɪ t w aː l ɛ	h a b ɪ t w aː l ɛ m
m a r g aː r ɪ t a m	m a r g a r iː t a m
ɪ n t ɛ lː ɛ k t ʊ m	ɪ n t ɛ lː eː k t ʊ m
w ɪ k ɪ n a m	w iː k iː n a m
d eː f ɛ n s j oː n ɛ m	d eː f eː n s j oː n ɛ m
a gː l ʊ m ɛ r aː r ɛ	a gː l ɔ m ɛ r aː r ɛ
a s ɪ s t ɛ r ɛ	a sː ɪ s t ɛ r ɛ
l ɪ b ɪ d ʊ m	l ɪ b iː d ɪ n ɛ m
k ʊ l uː m ɛ lː a m	k ɔ l ʊ m ɛ lː a m
k ɛ r w a m	k ɛ r w a m
r ɛ w ɔ k a t j ʊ n ɛ m	r ɛ w ɔ k aː t j oː n ɛ m
b a j ɛ l ɛ m	b aː j ʊ l ʊ m
n aʊ s a m	n aʊ s j a m
a n t ɛ k ɛ d ɛ r ɛ	a n t ɛ k eː d ɛ r ɛ
t r aː k j ʊ m	tʰ r aː k j ʊ m
n ɪ d ʊ m	n iː d ʊ m
s t ɪ r p ɛ m	s t ɪ r p ɛ m
r ɛ n aː r ɛ	r eː ŋ n aː r ɛ
l a k r ɪ m a t j ʊ n ɛ	l a k r ɪ m aː t j oː n ɛ m
m uː s a r a n ɛ m	m uː s a r aː n ɛu m
m ɔ d ɪ r	m ɔ l ɛ r ɛ
s iː m j a m	s iː m j a m
p r ɛ t ɪ p ɪ t j ʊ m	p r aɪ k ɪ p ɪ t j ʊ m
kʷ ɛ s t j ɪ ɔ n aː r j ʊ m	kʷ aɪ s t j oː n aː r j ʊ m
f ɪ n ɪ t j ʊ n ɛ m	f iː n iː t j oː n ɛ m
f a r ɛ t r a m	pʰ a r ɛ t r a m
r aː s t r ʊ m	r aː s t r ʊ m
a b l a k t a s w ɛ m	a b l a k t aː t j oː n ɛ m
a m ɪ k a l ɛ	a m iː k aː l ɛ m
w oː t ʊ m	w oː t ʊ m
k ʊ lː oː w r a m	k ɔ l ʊ b r a m
n ɛ f a s	n ɛ f aː s
iː n t r ɔ d uː k t j oː n ɛ m	ɪ n t r oː d ʊ k t j oː n ɛ m
ɪ s t a m	ɪ s t a m
s a l ɪ n a m	s a l iː n a m
s ʊ m ɪ n ɪ s t r a r ɛ	s ʊ b m ɪ n ɪ s t r aː r ɛ
ɔ rː m d ʊ m	h ɔ rː ɪ d ʊ m
a n t ɛ k ɛ s oː r ɛ	a n t ɛ k ɛ sː oː r ɛ m
g a lː ɛ m	g a l b ɪ n ʊ m
m uː k oː s ʊ m	m uː k oː s ʊ m
ɔ s t ɪ l ɛ	h ɔ s t iː l ɛ m
iː n t ɛ r k ɛ d ɛ r ɛ	ɪ n t ɛ r k eː d ɛ r ɛ
d ɛ r ɪ s j ʊ n ɛ m	d eː r iː s j oː n ɛ m
a m p l ɪ f iː k aː r ɛ	a m p l ɪ f ɪ k aː r ɛ
ɛ k s t ɛ n s ɪ w ʊ m	ɛ k s t eː n s iː w ʊ m
d ɪ s p ɔ n ɛ m	d ɪ s p oː n ɛ r ɛ
k ɔ m p a r eː t r ɛ	k ɔ m p aː r eː r ɛ
k ɔ nː ʊ m	k ʊ nː ʊ m
p a r s ɪ m ɔ n j a m	p a r k ɪ m oː n j a m
eː k s t ɛ n d ɛ r ɛ	ɛ k s t ɛ n d ɛ r ɛ
ɪ n w ɪ t aː r ɛ	ɪ n w iː t aː r ɛ
ɪ n s ɔ m n ɛ m	iː n s ɔ m n ɛ m
b ɛ n ɛ f a t r ɛ	b ɛ n ɛ f a k ɛ r ɛ
t r ɛ p ɪ d a t j ʊ n ɛ m	t r ɛ p ɪ d aː t j oː n ɛ m
ɪ lː ɛ s ʊ m	ɪ lː aɪ s ʊ m
kʷ a l ɪ f iː k aː r ɛ	kʷ aː l ɪ f ɪ k aː r ɛ
p ɛ r t uː r b aː r ɛ	p ɛ r t ʊ r b aː r ɛ
k ɔ n k a m	k ɔ ŋ kʰ a m
f ʊ l ɪ g ɪ n ɛ m	f uː l iː g ɪ n ɛ m
s k ʊ d ɛ lː a m	s k ʊ t ɛ lː a m
f r ɛ m ɪ r ɛ	f r ɛ m ɛ r ɛ
r a d ɪ m ɪ n ɛ m	r aː d iː k ɛ m
f uː r ɛ m	f uː r ɛ m
f a k ʊ m d j a m	f aː k ʊ n d j a m
p ɔ r k ɛ lː ʊ	p ɔ r k ɛ lː ʊ m
iː m p ɛ r j oː s ʊ m	ɪ m p ɛ r j oː s ʊ m
k ɔ n g j ʊ m	k ɔ ŋ g j ʊ m
m ɔ d ɛ r aː r ɛ	m ɔ d ɛ r aː r iː
w ɛ r ɪ f iː k aː r ɛ	w eː r ɪ f ɪ k aː r ɛ
s p ɛ k t aː k ʊ l ʊ m	s p ɛ k t aː k ʊ l ʊ m
s k ɔ l a s t ɪ k ʊ m	s kʰ ɔ l a s t ɪ k ʊ m
a k k ɛ p t aː r ɛ	a kː ɪ p ɛ r ɛ
ɪ n f ɛ l ɪ k ɛ	iː n f eː l iː k ɛ m
l uː k s uː r j a m	l ʊ k s ʊ r j a m
t ɪ n ɪ r m ʊ m	t ɛ n ɛ r ʊ m
d ɛ k ɪ m a t j ʊ n ɛ m	d ɛ k ɪ m aː t j oː n ɛ m
t ʊ r k oː n	t ɔ r t j oː n ɛ m
p aʊ s a m	p aʊ s a m
m ɪ t ɪ g a t j ʊ n ɛ m	m iː t ɪ g aː t j oː n ɛ m
k ʊ w r ɛ	k ʊ b aː r ɛ
k r eː m ɪ r ɛ	t r ɛ m ɛ r ɛ
k a p r ʊ m m	k a p r ʊ m
p ʊ lː aː r ʊ m	p ʊ lː aː r j ʊ m
l ɛ p r a m	l ɛ p r a m
m a ŋ n ɪ t uː d ɛ m	m a ŋ n ɪ t uː d ɪ n ɛ m
k a lː ɪ d ʊ m	k a lː ɪ d ʊ m
k ɛ s a t j oː n ɛ m	k ɛ sː aː t j oː n ɛ m
r uː k j ʊ m	r oː s k ɪ d ʊ m
k ɔ n w ɛ n j ɛ n t j a m	k ɔ n w ɛ n ɪ ɛ n t j a m
b aː j a m	b aː k a m
r ɛ l ɛ m w aː r ɛ	r ɛ l ɛ w aː r ɛ
p a r ɔ n ɔ m aː s j a m	p a r ɔ n ɔ m a s j a m
p ɛ n uː r j a m	p eː n uː r j a m
ɔ k ʊ rː ɛ r ɛ	ɔ kː ʊ rː ɛ r ɛ
s ʊ lː ɛ w aː r ɛ	s ʊ b l ɛ w aː r ɛ
m ɛ j ʊ m	m ɛ d j ʊ m
g ʊ g ʊ l a m	z iː z y pʰ ʊ m
m a r ɪ t ʊ m	m a r iː t ʊ m
w eː d ʊ	w ɔ k ɪ t ʊ m
n ɔ m ɪ n m a r ɛ	n oː m ɪ n aː r ɛ
a k ɔ rː ɛ r ɛ	a kː ʊ rː ɛ r ɛ
ɛ k l ɪ p s ɪ	ɛ k l iː p s ɛ m
iː n d ɪ s k r ɛ t j ʊ n ɛ m	ɪ n d ɪ s k r eː t j oː n ɛ m
l ɪ m aː r ɛ	l iː m aː r ɛ
a f ɪ r ɛ r	aʊ f ɛ rː ɛ
d ɛ f l uː ɪ r ɛ	d eː f l ʊ ɛ r ɛ
d ɪ s t r ɛ ɛ r ɛ	d ɪ s t r a h ɛ r ɛ
a ŋ g ɔ s t aː r ɛ	a ŋ g ʊ s t aː r ɛ
k r ɔ k ʊ m	k r ɔ k ʊ m
p a r s ɪ m ɔ n j a m	p a r s ɪ m oː n j a m
t uː	t uː
p ɛ n ɛ t r a r	p ɛ n ɛ t r aː r ɛ
s a k r ɪ l ɛ g ʊ m	s a k r ɪ l ɛ g ʊ m
iː m w ɛ s t ɪ g aː r ɛ	ɪ n w ɛ s t iː g aː r ɛ
p ɪ m t aː r ɛ	p ɪ ŋ g ɛ r ɛ
a b d ɔ m ɛ n	a b d oː m ɛ n
k a r ɛ k ɛ r	k a r eː r ɛ
ɪ rː ɪ g aː r ɛ	ɪ rː ɪ g aː r ɛ
iː n f ɛ k t j oː n ɛ m	ɪ n f ɛ k t j oː n ɛ m
f aː k ɛ m	f a k ɪ ɛ m
k ɔ m s t ɪ t uː t j ʊ n ɛ m	k oː n s t ɪ t uː t j oː n ɛ m
a r g ɪ lː a m	a r g ɪ lː a m
l uː s t r aː r ɛ	l ʊ s t r aː r ɛ
s k a l p ɛ lː ʊ m	s k a l p ɛ lː ʊ m
s uː p ɛ r j oː r ɛ	s ʊ p ɛ r j oː r ɛ m
s ɛ n s w a l ɪ t aː t ɛ m	s ɛ n s w aː l ɪ t aː t ɛ m
s a l s a m	s a l s a m
a p a r a t ʊ m	a pː a r aː t ʊ m
s ʊ m ɪ t aː t ɛ m	s ʊ mː ɪ t aː t ɛ m
n ɛ n j a m	n eː n j a m
k oː n ɔ p ɛ ʊ m	k oː n oː p eː ʊ m
a l aː	aː l ɛ a m
s k ɔ r j a m	s k oː r j a m
s p ɛ k ʊ j ʊ m	s p ɛ k l ʊ m
r uː g iː r ɛ	r uː g iː r ɛ
m ɛ r ɛ t r ɪ k ɛ	m ɛ r ɛ t r iː k ɛ m
k ʊ n t uː m aː k ɛ	k ɔ n t ʊ m aː k ɛ m
aː b ɪ l ɛ	h a b ɪ l ɛ m
ɛ s k uː r a m	s k ʊ rː a m
n a t aː l ɛ	n aː t aː l ɛ m
ɪ m p ɛ r j ʊ m	ɪ m p ɛ r j ʊ m
s ɛ n s a t j ʊ n ɛ m	s eː n s aː t j oː n ɛ m
ɪ n t m ɛ rː ʊ m p ɛ r ɛ m	ɪ n t ɛ rː ʊ m p ɛ r ɛ
t r a m s m ɪ s j ʊ n ɛ m	t r aː n s m ɪ sː j oː n ɛ m
a b ɪ t a t j ʊ n ɛ m	h a b ɪ t aː t j oː n ɛ m
n ɔ m ɪ n a t j oː n ɛ	n oː m ɪ n aː t j oː n ɛ m
ɛ k s a l aː r ɛ	ɛ k s h aː l aː r ɛ
p a l p ɪ t aː r ɛ	p a l p ɪ t aː r ɛ
p a p aː r ɛ	p a pː aː r ɛ
ɪ m b ʊ ɪ r	ɪ m b ʊ ɛ r ɛ
ɪ n f ɛ r m ʊ m	iː n f ɪ r m ʊ m
k ɔ m p aː t r ɛ m	k ɔ m p a t r ɛ m
iː n d iː t j ʊ m	ɪ n d ɪ k j ʊ m
s uː p l ɪ k a t j ʊ n ɛ m	s ʊ pː l ɪ k aː t j oː n ɛ m
j uː g a r ʊ	j uː g ɛ r ʊ m
w ɪ g ɔ r aː r ɛ	w ɪ g oː r aː r ɛ
ɛ k ɪ k ɔ r j ɛ	k ɪ kʰ ɔ r j ʊ m
f ʊ l g ʊ r ɛ	f ʊ l g oː r ɛ m
f ɔ r n ɪ k a t oː r ɛ	f ɔ r n ɪ k aː t oː r ɛ m
r ɛ s ɔ n aː r ɛ	r ɛ s ɔ n aː r ɛ
r ɛ m uː n ɛ r aː r ɛ	r ɛ m uː n ɛ r aː r ɛ
d ɪ s ɪ m uː l a t j ʊ n ɛ m	d ɪ sː ɪ m ʊ l aː t j oː n ɛ m
g ɔ n f r ɛ	k oː n f l aː r ɛ
a d ʊ ŋ t j oː n ɛ m	a d j ʊ ŋ k t j oː n ɛ m
ɪ ŋ n ɛ ʊ m	ɪ ŋ n ɛu m
ɛ k s k r ɛ m ɛ n t ʊ m	ɛ k s k r eː m ɛ n t ʊ m
d ɛ k l a m aː r ɛ	d eː k l aː m aː r ɛ
w ɛ r n aː k ʊ l ʊ m m	w ɛ r n aː k ʊ l ʊ m
t r ɪ f oː l ʊ	t r ɪ f ɔ l j ʊ m
m a t r ɪ t ɪ d a m	m aː t r ɪ k iː d a m
k a l ɪ g a m	k a l ɪ g a m
ɛ g r ɛ g ʊ m	eː g r ɛ g j ʊ m
l oː k aː r ɛ	l ɔ k aː r ɛ
p uː lː uː l aː r ɛ	p ʊ lː ʊ l aː r ɛ
r eː m ʊ m	r eː m ʊ m
w ɔ m ɪ t aː r ɛ	w ɔ m ɪ t aː r ɛ
t r a d ɪ t oː r ɛ	t r aː d ɪ t oː r ɛ m
b ɛ l ʊ w a r j	b eː l w a m
a t r a r ɛ	a tː r a h ɛ r ɛ
ɛ k s t r a ɔ r d ɪ n aː r j ʊ m	ɛ k s t r aː ɔ r d ɪ n aː r j ʊ m
s ʊ l aː r ɪ j oː m	s oː l aː r j ʊ m
g ʊ n ɛ s t ɛ	g ɛ n ɛ s t a m
s ɪ n ɔ p s ɛ m	s y n ɔ p s ɛ m
ʊ m ɪ k ɪ d j ʊ m	h ɔ m ɪ k iː d j ʊ m
b ʊ m b aː r d a m	b ɔ m b a r d a m
p ɛ s aː r ɛ	p eː n s aː r ɛ
w ɪ d uː ɪ t ɛ m	w ɪ d ʊ ɪ t aː t ɛ m
ɛ s k ʊ l ʊ m	aɪ s k ʊ l ʊ m
r ɛ p r ɛ h ɛ n s ɪ b ɪ l ɛ	r ɛ p r ɛ h ɛ n s ɪ b ɪ l ɛ m
r ɔ g ʊ m	r ɔ g ʊ m
ɛ k s ɛ kʷ ʊ ɛ r	ɛ k sː ɛ kʷ iː
aː d ɪ t ʊ m	a d ɪ t ʊ m
m eː m ɪ s t ɪ ɛ r ɛ	m ɪ n ɪ s t ɛ r j ʊ m
s ɔ l ɛ r ɛ	s ɔ l eː r ɛ
p l aː k ɪ d ʊ m	p l a k ɪ d ʊ m
m ɔ t ʊ lː ɛ m	m uː t ʊ l ʊ m
d ɛ s ɔ l aː r ɛ	d eː s oː l aː r ɛ
m a n t ɪ p m j ʊ m	m a ŋ k ɪ p j ʊ m
l a k s ʊ	l a k s ʊ m
p r ɔ m ɪ s j oː n ɛ m	p r ɔ m ɪ sː j oː n ɛ m
b ʊ rː aː aː n ɛ	b ɔ r aː g ɪ n ɛ m
d ʊ m aː r ɛ	d ɔ m aː r ɛ
ɔ r ɛ ʊ m	h ɔ rː ɛu m
d ɛ p uː r aː r ɛ	d eː p uː r aː r ɛ
p ɛ r ɪ t aː r t ɛ	p ɪ g r ɪ t aː r iː
w ɪ k ɪ s ɪ t uː d ɪ m ɛ	w ɪ k ɪ sː ɪ t uː d ɪ n ɛ m
a p a r ɛ n t ɛ m	a pː a r ɛ n t ɛ m
ɔ r t ɔ g r a f j a m	ɔ r tʰ ɔ g r a pʰ j a m
