l o ⁵⁵	l̥ o ⁵⁵
cʰ a ⁵⁵	cʰ a ⁵⁵
b r a ⁵⁵	b r a ⁵⁵
k u ¹¹	k u ⁵⁵
c i ¹¹	ɟ i m ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
kʰ l ə ¹¹	kʰ l o ¹¹
b l e ⁵⁵	b l e ⁵⁵
d e ⁰	d ə ŋ ⁵⁵
c j u ⁵⁵	c u ⁵⁵
ɟ ə ⁰	p ə ⁰
ˀd e ¹¹	ˀd e ¹¹
m ə ¹¹	m ə ¹¹
k ə ʔ̚ ⁰	k ə ʔ ⁰
kʰ l i ʔ̚ ⁵¹	kʰ l i ʔ̚ ⁵¹
s ə ⁵⁵	s ə ⁰
s o ⁰	s o ⁵⁵
pʰ ə ¹¹	pʰ ə ¹¹
kʰ e ⁵⁵	kʰ e ⁵⁵
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
pʰ j u ⁵⁵	pʰ r u ɴ ⁵⁵
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
m u ¹¹	m u ¹¹
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
kʰ a ⁵⁵	kʰ a ɴ ⁵⁵
ɲ̊ ə ⁵⁵	ɲ̊ au ⁵⁵
l a ¹¹	l̥ a ¹¹
c i ¹¹	ɟ i ¹¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
g o ¹¹	g o ¹¹
ˀb a ¹¹	ˀb a ¹¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
kʰ ei ⁵⁵	kʰ ei ⁵⁵
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
pʰ ɔ ʔ̚ ⁵¹	pʰ ɔ ʔ ⁵¹
