s i ²	s i ²
d r o ŋ ¹	d r o ŋ ¹
d r o ¹	d r o ŋ ¹
pʰ ɔ ³	pʰ ɔ ³
b j ɛ ⁴	b j ɛ ⁴
s j e n ¹	sʰ j e n ¹
d ɔ ⁴	d r o ⁴
j a ⁴	j a ⁴
q o ⁴	q ɔ ⁴
dz o ⁴	dz o ⁴
p ɯ ²	p u ²
q a ŋ ¹	q a ŋ ¹
n j ŋ ¹	n j e ŋ ¹
d r o ⁴	d r o ⁴
ts j j e n ⁵	ts j e n ⁵
j e n ¹	j e n ¹
d r æ ⁴	ʈ æ ⁴
tsʰ o ŋ ¹	tsʰ o ŋ ¹
m ɯ ⁴	m ɯ ⁴
sʰ w ɛ ⁴	sʰ w ɛ ⁴
ʈ r o ŋ ¹	ʈ o ŋ ¹
t w i ⁵	d w ɛ ⁵
tʰ r æ n ¹	tʰ æ n ¹
d ɔ ¹	d r ɔ ¹
b o ²	b o ŋ ²
n j o ²	ŋ j o ²
ŋ w a ⁴	ŋ w a ⁴
k w e ¹	k w ɛ ¹
k o ⁵	k o ⁵
qʰ ɯ̃ ¹	qʰ ɯ̃ ¹
ɕ o ŋ ¹	ɕ o ŋ ¹
b j æ ⁴	b j o ⁴
ts r u ²	ts u ²
tɕ i ¹	tɕ i ¹
ɕ j e n ²	dʑ e n ¹
t w e n ¹	t w e n ¹
qʰ ɔ ¹	qʰ ɔ ¹
j o ŋ ²	ŋ j o ²
b r i ²	b r i ²
tɕ r ɯ ¹	tɕ ɯ ¹
ɣ ɯ ¹	ɣ ɯ ²
tɕ a ³	tɕ a ³
ɖʐ i ¹	ɖʐ i ¹
n ɛ ¹	n ɛ ¹
dʑ i ⁴	d i ⁴
t w e n ¹	t w e n ¹
p j e n ⁵	p r e n ⁵
