cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
tʰ ə ¹¹	tʰ u ¹¹
t ə ⁰	d ə ŋ ⁵⁵
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
w ɛ ⁵⁵	w ɛi ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
cʰ r ʔ̚ ⁰ t̚ ⁵¹	kʰ r w i t ⁵¹
l o ⁵⁵	l̥ o ⁵⁵
ˀd ou ¹¹	ˀd ə ŋ ¹¹
r ɔ ⁵⁵	r ɔ ⁵⁵
s i ʔ̚ ⁵¹	s i ʔ ⁵¹
k o ⁰ ⁵⁵	k o t ⁵⁵
r u ŋ ⁵⁵	r̥ u n ⁵⁵
k l o ŋ ¹¹	k l ə ŋ ¹¹
s w i ¹¹	s w i ¹¹
s o ⁵⁵	s o ⁵⁵
s w a ¹¹	s w w a ¹¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
ˀb w a ⁵⁵	ˀb w w a ⁵⁵
l e ¹¹	l e ¹¹
ˀb ɔ ⁵⁵	ˀb ɔ ɴ ⁵⁵
pʰ w i ⁵⁵	pʰ w i ⁵⁵
pʰ l ɨ ɴ ⁵⁵	pʰ r ɨ ɴ ⁵⁵
m a ¹¹	m̥ a ¹¹
ʔ ɛ m ¹¹	ʔ ɛ ɴ ¹¹
c i m ¹¹	ɟ i m ¹¹
n ɔ ¹¹	n̥ ɔ ɴ ¹¹
l a ŋ ¹¹	l̥ a ŋ ¹¹
n e ŋ ¹¹	n̥ e ŋ ¹¹
l ei ⁵⁵	l ei ⁵⁵
ŋ w i ¹¹	ŋ w i ¹¹
kʰ ei ¹¹	kʰ ei ¹¹
d e ɴ ⁵⁵	d e ɴ ⁵⁵
j ɔ ʔ̚ ⁵¹	j ɔ ʔ ⁵¹
cʰ a ¹¹	cʰ a ¹¹
kʰ w i t̚ ⁵¹	kʰ w i t ⁵¹
