b i ¹	b i ¹
p ɛ ³	p ɛ ¹
a ¹	a ¹
tʰ u ³	tʰ u ³
ˀl a ¹	l a ŋ ¹
g o̠ ³	g j o̠ ¹
k ɛ ²	k j e ²
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
kʰ o̠ ¹	k o̠ ¹
x u ²	x ɛ ²
ʃ i ³	ʃ i̠ ¹
tsʰ u ¹	tsʰ u ¹
k ɛ ³	k u ²
k a ¹	k j i ³
b y ¹	b y ¹
s i̠ ¹	s i̠ ¹
n a ¹	n a ¹
k a ³	k a̠ ³
v e̠ ³	v e̠ ³
k u ²	d u ¹
b i ²	b o ²
s i̠ ¹	s i̠ ¹
ʃ u ²	ʃ u ²
m u ²	ˀm u ¹
n e̠ ²	ˀn e̠ ³
b a ³	b a ŋ ³
d e̠ ¹	d e̠ ¹
ʒ i̠ ³	x i̠ ³
ˀl i ²	ˀl i ²
v i̠ ³	v i̠ ³
d e̠ ³	d ɛ̠ ³
a ¹	a ¹
l a ²	l a ²
tʃʰ i̠ ³	tʃʰ i̠ ³
l a ²	l a ²
tsʰ i ²	tsʰ i ²
v ɛ ¹	v ɛ ¹
ʃ ɛ ¹	ʃ ɛ ¹
tʰ i ³	tʰ u ³
k i ¹	k i ¹
ŋ o ¹	ŋ o ¹
tʰ a ŋ ²	dz a ŋ ²
ˀl a ³	l e̠ ³
ʒ i̠ ³	ʒ i̠ ³
ʃ a ¹	ʃ a ³
pʰ i ³	pʰ e ¹
pʰ e̠ ¹	pʰ e̠ ¹
a ¹	a ¹
t ɛ ¹	t ɛ ¹
k o̠ ³	k o̠ ¹
l e̠ ³	l e̠ ³
s e̠ ³	s e̠ ³
s i̠ ¹	s i̠ ¹
g o̠ ³	g o̠ ³
kʰ ɛ ³	kʰ ɛ ²
z a ²	z a ²
ɣ a ²	ɣ a ŋ ²
n e̠ ³	n e̠ ³
m ɛ ²	m ɛ ²
ˀm ɛ ¹	ˀm ɛ̠ ¹
kʰ ɛ ²	kʰ j ɛ ²
z a ²	z a ²
d u ¹	d u ¹
dz i ²	dʒ e ¹
dʒ a̠ ¹	dʒ e̠ ¹
d a ¹	d a ŋ ¹
a ¹	a ¹
pʰ a ²	pʰ a ²
b u ²	pʰ u ¹
h e̠ ³	h e̠ ³
ts ɛ̠ ³	ts ɛ̠ ³
n i ¹	n i ¹
t ɛ ³	t e̠ ³
n i̠ ¹	n i̠ ¹
tsʰ i ²	tsʰ ɨ ²¹
k i ¹	k i ¹
ɣ a ¹	ʒ a ŋ ¹
ɣ ²	a ²
ʃ u ¹	ʃ u ³
v a ²	v a ²
a ²	a ²
ɣ a ³	ɣ a ³
p i ²	p i ²
ʃ u ²	ɣ u ²
ɣ i ³	ɣ i ¹
i ²	i ²
m i ¹	m i ¹
tsʰ ɛ ¹	tʃʰ i̠ ³
n a̠ ³	ɲ a̠ ³
d o̠ ³	d a ²
tʰ u ¹	tʰ u ¹
ɲ ɛ ¹	ɲ e ¹
ɣ u ¹	ˀŋ y ¹
l y ¹	l y ¹
m ɛ ²	m ɛ ²
f u ³	pʰ u ²
ˀm e̠ ¹	ˀm j e̠ ¹
tʰ u ¹	tʰ u ¹
t a ŋ ¹	t o̠ ³
p i ²	p y̠ ¹
g u ³	g a̠ ³
ʃ i ¹	ʃ i̠ ¹
h u ¹	h y̠ ³
ˀn ɛ̠ ³	ˀn ɛ̠ ³
ʒ o̠ ³	ʒ o̠ ³
s a ²	s a ²
m ²	m u ²
x a̠ ³	x a̠ ³
b j a ²	b j a ²
x i̠ ³	x ɨ̠ ³
ɣ i ¹	ɣ i ¹
a ¹	a ¹
l ɛ ¹	l ɛ ¹
d e̠ ³	d ɛ̠ ³
ˀl i ¹	l i ¹
d a ŋ ²	d u ²
ɣ i ¹	ɣ ɨ ¹
tʃ u ¹	tʃ ɛ ¹
h a ²	h ɛ ²
g u ³	g u ³
ˀn a ¹	ˀn a ¹
ɣ y ¹	ˀx a ¹
g i ¹	g i ¹
b o ²	b o ²
dz u ¹	dz ɿ ³
