q w ɛ ⁵	q w ɛ ³
ɣ ɛ ⁴	tsʰ w a ⁴
tʰ o ŋ ¹	tʰ r o ŋ ¹
p i ³	b r i ³
d r o ¹	d r o ŋ ¹
n ŋ j ⁴	n j i ⁴
d ɯ ³	d ɯ ⁵
tʰ ɯ̃ ⁴	tʰ ɯ̃ ⁴
dʑ i ³	d i ³
ts o ⁴	ts o ⁴
qʰ w æ ³	qʰ w æ ³
s r e ŋ ¹	s r e ŋ ¹
sʰ r ɯ ²	sʰ r ɯ ²
ts o ⁵	ts o ⁵
q w a ⁴	q w a ⁴
d j w a ⁴	d w a ⁴
m e ¹	m e ¹
ts r o ŋ ⁴	ts u ŋ ¹
b r i ²	b r i ²
tʰ r r æ ⁴	tʰ r æ ⁴
d w ɛ ⁵	d w ɛ ⁵
ts w ɛ ⁴	ts w ɛ ⁴
ʈ r ɯ ²	ʈ ɯ ²
m e ²	m ə ²
q a ŋ ¹	q a ŋ ¹
s r e ŋ ¹	s r e ŋ ¹
x w i ²	x w i ²
d r ɯ ²	d r ɯ ²
q ɛ ¹	q ɛ ¹
tsʰ ɯ ³	tsʰ ɯ ³
ɕ r e n ²	p r e n ¹
ts u ŋ ²	ts u ŋ ²
s e n ⁵	s e n ⁵
sʰ a ŋ ¹	sʰ a ŋ ¹
ɕ w i ⁴	s w a ⁴
q æ ¹	q æ n ¹
l ɔ ¹	l a ¹
t ɛ ⁴	t ɛ ⁴
b j ɛ ⁴	b j ɛ ⁴
ts i ²	ts i ²
t w e n ¹	t w e n ¹
s r u ¹	s r u ¹
ɣ ɯ ²	ɣ ɯ ²
m æ ²	m æ ²
tsʰ e ²	tsʰ r e n ²
w j æ ¹	pʰ r æ ¹
w u ŋ ¹	ts u ŋ ¹
