ts i ²	ts u ²
qʰ w æ ¹	qʰ w æ ¹
p ɯ ²	p ɯ ²
t ɯ ⁴	d j ɯ ²
tsʰ j æ n ¹	tsʰ j æ n ¹
qʰ ɛ n ¹	qʰ e n ¹
m ɯ ¹	m ɯ ²
tsʰ j e ⁴	tsʰ j e n ¹
d i ²	dʑ i ²
pʰ e ¹	pʰ e ¹
qʰ o ¹	qʰ ɔ ¹
t w e n ¹	t w e n ¹
ts o ⁴	ts o ⁴
ŋ w e n ¹	ŋ w e n ¹
n ɛ ⁴	n e ⁴
p u ²	p ɯ ²
ɕ r i ²	ɕ w i ²
ŋ w a ŋ ⁴	ŋ w a ⁴
ts r i ²	ts r i ²
s ɔ ²	s u ŋ ²
s o ²	s r o ²
m ɔ ¹	m ɔ ¹
χ w a ⁴	h w a ⁴
t i ¹	tʲ ɯ ¹
d ɯ ⁴	tʲ ɯ ⁵
ɣ a ŋ ¹	ɣ æ ¹
ʔ w e n ¹	ʔ w e n ¹
ɣ ɯ ²	ɣ ɯ ²
s o ¹	s r o ¹
ɕ o ⁴	ʔ o ⁴
sʰ w a ŋ ¹	sʰ w a ŋ ¹
ŋ u ŋ ¹	z r o ŋ ¹
pʰ r a ⁴	pʰ r a ⁴
tʰ r æ ⁴	tʰ j æ ⁴
tʰ ɯ ⁴	tʰ ɯ̃ ⁴
tɕʰ i ⁴	tɕʰ i ⁴
ɖʐ i ⁴	ɖʐ i ⁴
ts i ⁴	ts j i ⁴
d ɔ ⁵	d ɔ ⁵
z ɔ ¹	z ɔ ¹
qʰ w ɔ ²	kʰ w ɛ ²
ɕ o ⁴	ɕ a
m e ²	m ə ²
qʰ a ⁴	qʰ a ⁴
m ɯ ⁴	m ɔ ⁴
q o ŋ ¹	q o ŋ ¹
