ʈ r o ⁴	d r o ⁴
tʰ r u ²	tʰ r u ²
s r ɔ ¹	sʰ r ɔ ¹
m o ²	m o ²
pʰ ɔ ³	pʰ ɔ ³
s w a n ¹	s w a ŋ ¹
x e n ¹	x e n ¹
qʰ o ⁴	qʰ ɔ ⁴
ɕ j e n ¹	s j e n ¹
ŋ w ɛ ²	ŋ w e n ²
n u ¹	n j o ŋ ¹
ts j a ⁴	dʑ a ⁴
d o ŋ ²	d j o ŋ ²
tɕ r i ¹	tɕ ɯ ¹
m æ ¹	m æ ¹
q o ŋ ¹	q o ŋ ¹
s o ²	s u ŋ ²
tɕ r ɯ ²	tɕ ɯ ²
q ɔ ¹	ɣ ɔ ¹
p r e n ¹	p r e n ¹
ɕ i ²	s j i ²
pʰ a ⁴	pʰ a ¹
j ɯ ⁴	j ɯ ⁴
ɖʐ i ²	ts r i ²
ts æ ŋ ¹	ts u ŋ ¹
ɖʐ r ɯ ¹	ts r e ŋ ¹
tsʰ i ⁴	tsʰ j i ⁴
m e ¹	m e ¹
b p j o ⁴	b j o ⁴
s r o ²	s r o ²
n j e n ¹	z e n ¹
m i ¹	m j i ¹
sʰ w a ⁴	sʰ w a ⁴
d ɯ ²	dʑ ɯ ²
k o ⁵	k o ⁵
x w i ²	x w i ²
k w a ⁴	k w a ⁴
sʰ w a ¹	ɕ w i ²
m o ²	m ø ²
ɕ r æ n ¹	s j æ n ¹
b æ ⁴	b æ ⁴
kʰ o ŋ ¹	kʰ o ŋ ¹
g ɯ ŋ ³	g ɯ̃ ³
m ɛ ⁵	m ɛ ⁵
m æ ⁵	m æ ⁵
tʰ æ n ¹	tʰ æ n ¹
