j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
ɴ r a ⁵⁵	t r e ⁵⁵
j a ¹¹	j ə ⁰
ʔ ɔ ¹¹	ʔ ɔ ¹¹
tʰ u ⁵⁵	tʰ u ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
b l e ⁵⁵	b l e ⁵⁵
l a ɴ ⁵⁵	l a m ⁵⁵
j o ⁵⁵	j o ⁵⁵
r e ¹¹	r e ¹¹
b ə ¹¹	p ə ¹¹
r ou ¹¹	r ou ¹¹
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
k w w a n ¹¹	g l a m ¹¹
kʰ a ŋ ⁵⁵	kʰ a ŋ ⁵⁵
k ə ⁰	k ə ⁰
pʰ a ¹¹	pʰ a ¹¹
s ə ⁵¹	s ə ⁰
t a ʔ ⁵¹	t a ʔ̚ ⁵¹
s r e ⁵⁵	s r e ³³
m ə ¹¹	m ə ¹¹
n w e ⁵⁵	ˀn w e t̚ ⁵¹
ʔ o ¹¹	ʔ o ¹¹
pʰ a ⁵⁵	pʰ a ⁵⁵
kʰ l ei ¹¹	kʰ l ei ¹¹
kʰ a ⁵⁵	kʰ a ɴ ⁵⁵
b au ¹¹	b o ¹¹
g o ¹¹	g o ¹¹
s r ei ¹¹	s r ei ¹¹
l o ŋ ¹¹	l̥ o ŋ ¹¹
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
kʰ w i ⁵⁵	kʰ w i ⁵⁵
ʔ̚ w a ɴ ⁵⁵	ʔ w a ɴ ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
d a ʔ̚ ⁵¹	d a ʔ̚ ⁵¹
