t ɯ ⁴	d j ɯ ²
j o ŋ ²	n j o ŋ ²
q æ n ²	q æ n ²
m o ¹	m ɔ ¹
tʰ e ²	tʰ j e ²
ʈ s r u ŋ ¹	ts u ŋ ¹
j ɯ ⁴	j ɯ ⁴
l ɔ ¹	l ɔ ¹
j e n ¹	j e n ¹
b r ɯ ³	p u ³
d a ⁴	d a ⁴
d r ɯ ²	d r ɯ ²
ɖʐ i ¹	ɖʐ i ¹
z ɔ ¹	z ɔ ¹
tsʰ o ⁴	tsʰ o ⁴
j ɔ ⁴	j ɔ ⁴
qʰ a ⁴	qʰ a ⁴
b ɔ ³	b ɔ ³
q ɯ ¹	q ɯ ¹
ts r i ¹	ts r i ¹
m e ¹	m e ¹
k o ŋ ¹	ɣ o ŋ ¹
dʑ i ³	d i ³
k ɯ ¹	k ɯ ¹
d o ŋ ¹	d o ŋ ¹
ts w i ²	ts u ²
t ɛ ⁴	t ɛ ⁴
kʰ o ⁴	kʰ o ⁴
n o ŋ ¹	n o ŋ ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
w a ¹	ɕ w i ²
q ɯ ¹	q ɯ ¹
p j ɛ ³	pʰ j ɛ ³
ɖʐ o ¹	ɖʐ o ¹
sʰ w ɛ ⁴	sʰ w ɛ ⁴
sʰ r ɯ ²	sʰ r ɯ ²
tɕ i ¹	tɕ i ¹
qʰ w æ ¹	qʰ w æ ¹
o ⁵	j ɔ ⁵
ɣ ɯ̃ ²	ɣ ɯ ²
j a ⁴	j a ⁴
w ⁴ ¹	w u ⁴
q w a ⁴	q w a ⁴
ɣ o ⁴	ɣ o ⁴
ts j æ n ¹	tɕ æ ŋ ¹
s j i ²	s j i ²
