m a ⁵⁵	m̥ a ⁵⁵
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
pʰ ou ⁵⁵	pʰ ou ⁵⁵
cʰ a ¹¹	cʰ a ¹¹
ŋ w i ¹¹	ŋ w i ¹¹
j o ʔ̚ ⁵¹	j o ʔ̚ ⁵¹
g w a m ¹¹	g l a m ¹¹
s ə ⁵⁵	s ə ⁰
s a ¹¹	s a ¹¹
w ɛ ⁵⁵	w ɛi ⁵⁵
kʰ o ʔ̚ ⁵¹	kʰ o ʔ̚ ⁵¹
k ə ⁰	k ə ⁰
n u ¹¹	n u ¹¹
m u ¹¹	m u ¹¹
b ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
s ə ŋ ⁵⁵	s ə ŋ ⁵⁵
p ə ³³	p ə ⁰
ˀb a ɴ ⁵⁵	ˀb a ŋ ⁵⁵
ʔ u ⁵⁵	ʔ u ⁵⁵
r̥ e ¹¹	r e ¹¹
p au ⁵⁵	j ə ⁰
pʰ r u ⁵⁵	pʰ r u ɴ ⁵⁵
r w i ¹¹	r w i ¹¹
pʰ ɔ ⁵⁵	pʰ ɔ ⁵⁵
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
p l e ⁵⁵	p l e ⁵⁵
p l ɔ ŋ ¹¹	p l ɔ ŋ ¹¹
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
tʰ o ¹¹	tʰ o ¹¹
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
l u ¹¹	l u ɴ ¹¹
m e ¹¹	m̥ e ¹¹
n a ¹¹	n̥ a ¹¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
k l̥ ɛ ⁵⁵	k l ɛ ⁵⁵
l a ŋ ⁵⁵	l a ŋ ⁵⁵
