ts u ³	ts a ŋ ³
ˀn i ¹	ˀn i ¹
ʃ a ¹	ʃ a ³
s ɛ ²	s ɛ ²
k j a ¹	k a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
tʃʰ e̠ ²	d u ¹
s ɛ ¹	s a ¹
z i̠ ³	z i ³
tʃʰ ɨ ²	tʃʰ u ²
g j y o ³	g y ²
kʰ ɨ ³	kʰ ɨ ³
l e̠ ³	l e̠ ¹
t a ŋ ¹	t a ŋ ¹
s y ¹	s y ¹
h a ¹	h a ¹
b u ²	b e ²
h e ¹	h e ¹
n̩ ²	n u ²
ˀl o̠ ³	l o̠ ¹
p a ¹	v u ¹
g a ŋ ³	g a̠ ³
a ¹	a ¹
ˀl a ŋ ¹	l a ŋ ¹
m a ³	m o ²
v e̠ ³	v e̠ ³
kʰ j e̠ ¹	kʰ e̠ ¹
m a ŋ ²	m o ²
a ¹	a ¹
m i ¹	m i ¹
m a ²	m a ³
ˀn o̠ ³	ˀn u̠ ³
h e ¹	h e ¹
l y ¹	l y ¹
t a ²	t a ⁵⁵
ʃ a ¹	ʃ a ¹
n ɛ̠ ¹	n ɛ ³
t ɛ ³	t j ɛ ³³
s ɛ ²	s ɛ ²
l a ²	l a ²
b e ¹	b j e̠ ³
ts i ²	ts e ²
ɣ a ŋ ²	ɣ a ŋ ¹
z e ²	z i̠ ³
h e ¹	h e ¹
a ¹	a ¹
m i ²	ˀm u ²
ɣ u ¹	h e ¹
ˀv u ²	v y ²
g u ¹	g u ³
ˀm ɛ ²	ˀm ɛ ²
g u ¹	g o̠ ¹
n u ¹	n u̠ ¹
m y ²	m ɨ ²
tsʰ i ³	tsʰ i̠ ¹
z e̠ ³	z e̠ ³
a ¹	a ¹
pʰ i ²	pʰ e ²
x u ³	x i ¹
t e̠ ³	t a ³
ˀl i ³	ˀl i ²
ɣ i ³	ɣ i ¹
s a̠ ³	ʃ a̠ ³
a ¹	a ¹
pʰ i ²	pʰ e ¹
d o ³	d u ²
p ɨ ²	p j ɨ ²
a ¹	a ¹
pʰ o ²	pʰ i ²
ˀl i ¹	ˀl i ¹
ˀn i̠ ²	n e ²
kʰ ɛ ²	kʰ j ɛ ²
s e ²	s e ²
s i ¹	s i̠ ¹
kʰ a ²	kʰ a ²
tʃ e ¹	ts e ¹
a ¹	a ¹
ʒ i ¹	tʃʰ u ¹
l e̠ ³	l e̠ ³
ts i ³	ts i ³
ɣ i ¹	ɣ i ¹
v e̠ ³	v e̠ ³
ʃ a ²	ʃ a ²
tʰ u ¹	tʰ u ¹
n a ³	n a ²
ʃ ɛ ¹	ʃ ɛ ¹
ʃ y ¹	s y ¹
s a ²	s a ²
a ¹	a ¹
a ²	a ²
t ɛ̠ ²	t e ²
m a ³	m a ³
t y ²	t y ²
t a ³	t u ¹
ʃ i ¹	ʃ i̠ ¹
kʰ o̠ ³	kʰ o̠ ³
d a ²	dʒ ɛ ²
x i ¹	x e ¹
g i ²	g ɨ ²
dz i ³	dz i ³
l a ²	l a ²
kʰ i ²	kʰ ɨ ²
s e̠ ²	s ɛ ²
ɣ i ¹	ɣ i ¹
d a ¹	d a ¹
a ¹	a ¹
m a ³	m a ³
b y ³	b y ³
pʰ i ²	pʰ o ²
dʒ ɛ ²	dʒ ɛ ²
p a̠ ¹	p a̠ ³
m ²	m̩ ²
ɣ ɨ ¹	ɣ ɨ ¹
m ɛ ³	m ɛ ²
b a ²	b a ²
h ɛ ¹	h ɛ̠ ¹
tʃ ɨ ¹	tʃ u ¹
b ɛ ²	b o ²
b j a ²	b j a ²
ŋ a ¹	ˀŋ y ¹
ɲ i̠ ³	n i̠ ³
p i ²	p i ²
kʰ a ²	kʰ a ²
dz a ¹	dz a ¹
b a ŋ ³	b a ŋ ³
