p u ²	p ɯ ²
m r æ n ¹	m j æ ¹
t w ɛ ⁵	d w ɛ ⁵
tʰ a ⁴	tʰ a ⁴
ʈ w e ⁴	ts w ɛ ⁴
pʰ r o ⁴	pʰ r æ ¹
qʰ u ²	qʰ u ²
p j o ⁴	p j u ⁴
ɖʐ j o ⁴	ɖʐ o ⁴
ŋ ɯ ¹	ŋ ɯ ¹
m i ¹	m i ¹
m e ¹	m e ¹
pʰ r æ ⁴	pʰ r a ⁴
ŋ o ŋ ²	ŋ u ²
tʲ a ¹	d ɔ ¹
b i ⁴	p r i ⁴
q w a ⁴	ɣ w a ⁴
ɣ ɯ̃ ²	ɣ ɯ ²
sʰ ɔ ³	sʰ ɔ ³
k w a ¹	k w a ⁴
m æ ¹	m æ ¹
p r i ⁵	b a ŋ ⁴
p r e n ⁵	p r e n ⁵
tʰ r æ n ¹	tʰ æ n ¹
q w ɛ ⁵	q w ɛ ³
m r æ ŋ ¹	m j æ ¹
dz o ⁴	dz o ⁴
p j ɛ ³	pʰ j ɛ ³
ts r i ²	ts r i ²
tsʰ o ³	tsʰ u ³
k o ŋ ¹	ɣ o ŋ ¹
m ɯ ²	m ɯ ²
ɕ i ²	ɕ w i ²
z e n ¹	z e n ¹
m ɯ ³	m ɯ ⁵
ɣ æ ⁴	ɣ æ ⁴
d r a n ¹	d r æ n ¹
ɖʐ i ⁴	ɖʐ i ⁴
ts r u ŋ ¹	ts u ŋ ¹
t w e n ²	t w e n ²
s r o n ⁵	s r o ⁴
k o ŋ ¹	k o ŋ ¹
qʰ o ŋ ¹	qʰ o ŋ ¹
n ɛ ⁴	n ɛ ¹
d ø ŋ ²	d j o ŋ ²
tɕʰ ə ⁴	tʰ e ⁴
