a ¹	a ¹
ɣ i ²	ɣ y ¹
d i ¹	d i ¹
g a ŋ ²	g a ŋ ³
n ŋ ¹	n i̠ ¹
g ɛ ²	g j ɛ ²
ˀl i ²	ˀl i ²
kʰ i ¹	kʰ i ¹
n i ²	n̩ ²
a ²	a ¹
l y ³	l y ³
dz y ¹	dz y ¹
d a ²	d a ²
l y ²	l y ²
l y ²	l y ²
z i̠ ³	z i ³
kʰ i ²	kʰ i ²
k a ¹	g ɨ ¹
a ¹	a ¹
d o̠ ¹	d o̠ ¹
ʒ o ¹	ʒ o̠ ¹
k e̠ ²	k j e ²
kʰ i ¹	kʰ ɨ ¹
pʰ ɨ ²	pʰ ɨ ²
h e ¹	h e ¹
l u ²	l u ²
tʃ a ŋ ¹	tʃ ɛ ¹
a ¹	a ¹
p i ¹	p u ¹
b ɨ ²	b o ¹
ts a ²	dz a ¹
kʰ ɨ ³	kʰ ɨ̠ ³
v e̠ ³	v e̠ ³
ˀn a ³	ˀn i ³
kʰ ɨ ¹	kʰ i ¹
s i ¹	s i̠ ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
b a ²	b o ³
s a ¹	s a ¹
e ²	e ²
n e̠ ³	n i̠ ³
a ³	a ²
dʒ o̠ ³	dʒ o̠ ³
b i ²	b i ²
b y ³	b y ³
l a ²	l a ²
d i ²	tʃʰ e ¹
ʒ e̠ ³	ʒ e̠ ³
h a ŋ ²	h a ŋ ²
s i ²	ɣ u ²
t y ¹	t y ¹
z y ²	z y ²
s i ¹	s i ²
f u ³	f u ³
m a ³	m a ³
l ɛ̠ ¹	l a ³
v a ²	v a ŋ ²
n i ²	n̩ ²
z e̠ ³	z e̠ ³
m o ³	m ɨ ²
b i ²	b ɨ ¹
k j o̠ ³	k o̠ ¹
t e ²	dz i ³
dʒ a ¹	dʒ e̠ ¹
l a ²	l a ²
a ¹	a ¹
g y̠ ¹	ɣ o ³
ts a ŋ ²	ts u ²
ˀm a ²	ˀm a ²
ʒ a ŋ ¹	ʒ u ¹
b e̠ ¹	b e̠ ¹
tʃ i ¹	tʃ u ¹
z a ²	z a ²
ŋ a ¹	ŋ a ¹
l o̠ ³	l o̠ ³
ˀl u ³	ˀl u ³
ˀl o̠ ¹	ˀl o̠ ¹
g a ³	g a ³
a ¹	a ¹
d e̠ ³	d ɛ̠ ³
x i ²	x i ¹
tsʰ o̠ ¹	tsʰ o̠ ¹
ts i̠ ²	ts i ²
kʰ u ¹	kʰ u ¹
ŋ a ¹	ŋ a ¹
s ɛ ²	s ɛ ²
pʰ e̠ ³	pʰ e̠ ³
n i ²	n u ²
ɣ ɛ ²	ɣ ɛ ²
tsʰ i̠ ³	tsʰ i̠ ¹
h e̠ ³	h e̠ ³
ŋ a ²	ŋ a ²
ˀn i ¹	ˀn i ¹
m j a ¹	m j a ŋ ¹
x i ¹	x ɨ ¹
z a ²	z a ²
tʃ i ¹	tʃ e ¹
tsʰ a ¹	tsʰ a ¹
k a ²	k a ŋ ¹
tʰ a ²	tʰ a ²
ˀm ɛ̠ ²	m o̠ ³
ts o̠ ²	ts a ŋ ³
s e̠ ²	s ɛ ²
s i ²	s i ²
g a ¹	g a ¹
a ³	a ¹
ŋ a ¹	ŋ a ¹
v a ³	v a ³
ʃ i ¹	ʃ i̠ ¹
ˀm ɛ ²	ˀm ɛ ¹
s i ¹	s i̠ ¹
b ɛ ¹	b ɛ ¹
b e̠ ³	b e̠ ³
dz i ¹	dz i̠ ¹
m a ²	m a ²
p a ¹	v u ¹
d a ²	d y ²
pʰ i ²	pʰ e ¹
s ɛ ²	s ɛ ²
dz a ²	dz a ²
tʰ u ²	tʰ u ³
ɣ i ²	ɣ a ŋ ¹
ˀm a ³	ˀm e̠ ¹
a ²	a ¹
tsʰ u ¹	tsʰ u ¹
