m e ²	m ə ²
s i ²	s r i ²
s j i ⁴	s j i ⁴
kʰ u ¹	qʰ u ¹
d r ɔ ¹	d r ɔ ¹
ɣ o ³	g o ŋ ³
tɕ e n ¹	tɕ e n ¹
dʑ i ³	d i ³
d r ɯ ²	d r ɯ ²
ts r o ⁴	ts r o ⁴
k r u ŋ ²	ɣ u ŋ ²
n w ¹	ɕ w i ²
sʰ o ⁴	sʰ o ⁴
ŋ ɯ ¹	ŋ ɯ ¹
m o ²	m ø ²
ɯ̃ ²	ɯ̃ ²
d r o ¹	d r o ŋ ¹
s i ¹	s r ɯ ²
ts j j e n ⁵	ts j e n ⁵
sʰ o ŋ ¹	s o ŋ ¹
s ɔ ²	s ɔ ²
q æ ⁵	q æ ⁵
tʰ e ⁴	tʰ r e ⁴
n i o ²	n j o ²
b æ ⁴	b æ ⁴
p ɯ ²	p ɯ ²
tɕ a ³	tɕ a ³
ɕ ŋ ¹	z r o ŋ ¹
q o ŋ ¹	q o ŋ ¹
b e ⁴	tʰ e ⁴
z ɔ ¹	z ɔ ¹
q a ŋ ¹	q a ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
b j o ⁴	b j o ⁴
b e ¹	b e ¹
k u ²	k u ²
ɣ ɔ ¹	ɣ ɔ ¹
s w a ⁴	s w a ⁴
ɣ j e n ¹	dʑ e n ¹
tʰ u ²	tʰ r u ²
tʰ o ŋ ¹	tʰ r o ŋ ¹
j ɯ ¹	j ɯ ¹
pʰ j ɛ ²	p j ɛ ²
ɕ j æ n ¹	s j æ n ¹
pʰ r a ⁴	pʰ r a ⁴
j a ⁴	j a ⁴
q æ n ²	q æ n ¹
