b i ³	b r i ³
tsʰ r e ŋ ¹	tsʰ r e ŋ ¹
dʑ j e n ¹	dʑ e n ¹
tɕ i ¹	tɕ i ¹
z ɔ ¹	z ɔ ¹
g r u ²	ɣ u ŋ ²
ŋ w e n ²	ŋ w e n ²
s w a n ¹	s w a ŋ ¹
ɣ æ ⁴	ɣ æ ⁴
m æ ¹	m æ ¹
d a ⁴	d a ⁴
tɕ ɯ ¹	tɕ u ¹
tɕ j æ	tɕ æ ¹
m ɯ ²	m ɯ ²
ɖʐ o ⁴	ɖʐ o ⁴
m r æ ¹	m j æ ¹
x w i ²	x w i ²
sʰ ɛ ⁴	sʰ ɛ ⁴
qʰ o ŋ ¹	ɣ o ŋ ¹
d r ɯ ¹	ʈ ɯ ⁴
qʰ ɯ ¹	k ɯ ¹
k o ⁴	k o ⁴
a ⁵	ʔ a ⁴
ʈ o ⁴	ʈ o ⁴
q a ŋ ¹	q a ŋ ¹
ŋ ɔ ¹	ŋ ɔ ¹
tsʰ j æ n ¹	tsʰ j æ n ¹
n j o ŋ ¹	n j o ¹
p r ɔ ¹	p r ɔ ¹
sʰ ɔ ¹	sʰ r ɔ ¹
tsʰ e ²	tsʰ r e n ²
l ɔ ¹	l a ¹
p æ ⁴	p æ ⁴
ʈ j o ŋ ¹	d r o ŋ ¹
b æ ¹	b æ ¹
s r i ⁴	s r i ⁴
χ w a ⁴	h w a ⁴
n j e n ¹	n j e n ¹
s j i ⁴	s j i ⁴
ts o ⁴	ts o ⁴
ɣ o ⁵	ɣ o ⁴
h ɔ ¹	h ɔ ¹
qʰ ɯ ¹	qʰ ɯ̃ ¹
s r u ¹	s r u ¹
tsʰ i ⁴	tsʰ j i ⁴
ts o ŋ ²	ts u ŋ ²
χ æ n ¹	χ æ n ¹
