k ɛ ³	k e̠ ³
tʰ a ²	tʰ a ŋ ²
ɲ o ³	n u ²
n y ¹	n y ¹
k o ³	k o ¹
m a ³	m o ²
tsʰ o̠ ¹	tsʰ o̠ ¹
m u ¹	ˀm u ¹
pʰ e̠ ¹	pʰ e̠ ¹
b e̠ ¹	b e̠ ¹
z a ²	z a ²
ɣ ɨ ¹	ɣ i ¹
k u ¹	k u ¹
b e̠ ³	b e̠ ³
d a ¹	d a ¹
z a ²	z a ²
l a ¹	l a ¹
dʒ a ²	h a ¹
ʃ i̠ ¹	ʃ i ¹
a ¹	a ¹
ʃ ɛ ¹	s a ¹
dz ɛ̠ ²	dʒ ɛ ²
d a ŋ ¹	t a ŋ ³
kʰ ɛ ²	kʰ j ɛ ²
ɣ i ¹	ɣ i ¹
ʃ a ŋ ¹	ʃ u ³
ˀn i ¹	ˀn i ¹
l u ³	l u̠ ¹
ʒ i ²	z i̠ ³
s ɛ̠ ³	s ɛ̠ ³
l a ¹	l a ¹
tʃ i ³	ts i̠ ³
n e̠ ³	n e̠ ³
p ɨ ¹	p ɨ ¹
dʒ a ²	dz a ŋ ²
p ɨ ²	p j ɨ ²
b a̠ ²	b ɨ ²
kʰ y ¹	kʰ y ¹
ŋ y ¹	ŋ w a ¹
m a ³	m a ³
ɣ i ¹	ɣ i ¹
v e̠ ³	v e̠ ³
x a̠ ³	x a̠ ³
a ²	a ¹
l e̠ ³	l e̠ ¹
h e̠ ³	h e̠ ³
k o̠ ³	k o̠ ³
l a ²	l a ²
d u ³	d u ²
tsʰ a ŋ ¹	tsʰ a ŋ ¹
d a ŋ ³	d u ³
a ²	a ²
g u ²	g o ŋ ¹
pʰ u ³	pʰ u ¹
m i̠ ¹	m i̠ ¹
s i ¹	s i̠ ¹
k a̠ ³	k a̠ ³
a ¹	a ¹
kʰ u ²	kʰ ɨ ²
g u ³	g u ³
kʰ ɛ ¹	kʰ a̠ ¹
p a ¹	p a ¹
ˀn i ³	ˀn i ³
n̩ ²	n u ²
m a ³	m a ³
z a ³	z a ²
m ɛ ²	m ɛ ²
ɣ a ŋ ²	ɣ a ŋ ²
a ¹	a ¹
p ɨ̠ ¹	p y ¹
pʰ ɛ ³	pʰ ɛ ³
dʒ i ²	dz i ²
a ²	a ¹
t o̠ ¹	t ɛ ¹
a ¹	a ¹
b e̠ o	b y ²
p y̠ ¹	p y̠ ¹
ɣ ɨ̠ ¹	ɣ i ¹
ˀl y ¹	l y ¹
h e̠ ³	h e̠ ³
m̩ ²	m̩ ²
b a̠ ¹	b ɛ̠ ¹
ˀn e ³	ˀn i ³
pʰ j u ²	pʰ a ¹
kʰ ɨ̠ ³	kʰ ɨ̠ ³
v i̠ ³	v i̠ ³
m̩ ²	m u ²
d y ²	d y ²
d u ¹	d a ŋ ¹
g ɨ ¹	g i ¹
m ɨ ¹	m ɨ ²
ŋ a ¹	ŋ a ¹
l e̠ ³	l e̠ ³
g j a̠ ¹	g ɛ̠ ¹
ˀn a ¹	ˀn a ¹
ɣ u ²	ɣ u ²
v e̠ ³	v e̠ ³
dz e ¹	dz e ¹
ts ɛ ³	ts ɛ ³
tʃ a̠ ³	tʃ ɛ̠ ³
b y ¹	b y ¹
l i̠ ¹	ˀl u̠ ¹
g a ŋ ³	g a̠ ³
g a ²	g j a ³
p ɛ ¹	pʰ e̠ ¹
tsʰ y ¹	tsʰ y ¹
k e ¹	k ɛ ³
g a ¹	g j a ¹
v a ²	ɣ a ²
m ɛ ²	m u ²
ts i ²	ts e ²
tʰ a ²	tʰ a ²
pʰ ɛ ³	b ɛ ²
s e ¹	s e ¹
g j o ¹	g ɨ ¹
i ³	ʒ i̠ ³
ˀn a ²	ˀn a ²
n i̠ ¹	n i̠ ¹
ɣ ɨ̠ ¹	ɣ i ¹
tʃ ɨ̠ ¹	tʃ ɨ̠ ¹
tsʰ e̠ ²	tʃʰ e̠ ¹
s ɛ ²	s ɛ ²
kʰ i ²	kʰ ɨ ²
h a ¹	h a ¹
