dʒ i ²	dʒ e ³
s u ¹	s u ¹
ts e ²	ts e ²
ʒ u ³	ʒ o̠ ¹
k ɛ ¹	k ɛ ³
a ¹	a ¹
h ɨ ²	s i ¹
l ɛ̠ ³	l e̠ ³
tsʰ y̠ ³	tsʰ y̠ ¹
dz e ²	dz i ³
b e	b y ²
t u ³	t u ¹
x e ³	dʒ i ²
m o̠ ³	m o̠ ¹
ˀn ɛ ³	ˀn i ³
ˀn y ¹	ˀn y ¹
b o̠ ¹	b o̠ ¹
l y ¹	l y ¹
ɣ i ¹	ɣ i ¹
p ɨ̠ ³	p e̠ ³
s e ¹	s e ¹
n i ¹	n i ¹
s ɛ̠ ³	s ɛ̠ ³
p a̠ ³	p a̠ ³
ˀl i ¹	ˀl i ¹
dʒ u ³	dʒ u ³
ˀl a ²	ˀl a ²
kʰ u ³	kʰ a ŋ ²
kʰ a ¹	kʰ a̠ ¹
tʃ a̠ ³	tʃ a̠ ³
t e̠ ³	t a ³
tsʰ a ¹	tsʰ a ¹
l y̠ ³	ˀl y̠ ³
ts e ¹	ts e ¹
p ɨ ŋ ¹	p ɨ ¹
ʃ ɛ ²	ɣ u ²
k a ²	k a ŋ ²
g j ɨ ²	g j o ¹
pʰ u ¹	pʰ u ¹
ʃ ɛ ¹	ʃ ɛ ¹
b a ²	b a ²
ˀv e̠ ¹	ˀv e̠ ¹
k a ³	k a ¹
m a ²	m a ²
kʰ o ¹	kʰ o ¹
l u ¹	l u ¹
x a ¹	k u ³
m j a ²	m j y ²
k a ¹	k a ¹
s ɛ ²	s ɛ ²
s i ¹	ɣ u ²
t ɛ ¹	t ɛ ¹
d u ³	tʃʰ e̠ ¹
tsʰ u ³	tsʰ o̠ ¹
ɛ ²	ɛ ²
s j a ŋ ¹	s y ¹
i ²	i ²
ts i̠ ³	ts i̠ ³
h a ¹	h a ¹
kʰ u ¹	kʰ u ¹
kʰ i ¹	kʰ i ¹
t i ¹	t i ¹
ˀl o̠ ¹	ˀl o̠ ¹
k i ¹	tʰ a ²
n i ²	n u ²
k ɛ ¹	k j ɛ ¹
d e̠ ¹	d e̠ ¹
i ²	i ²
v e̠ ³	ˀv i̠ ³
tsʰ i ²	tsʰ ɿ ²
dz e ²	dʒ ɛ ²
m i ³	m i ¹
dz a ³	dz i̠ ¹
pʰ u ¹	pʰ e̠ ¹
v e̠ ³	v e̠ ³
d e̠ ¹	d e̠ ¹
ˀl ɛ̠ ¹	l a ³
n y ¹	n y ¹
kʰ e ³	kʰ ɛ ²
p o̠ ³	p o̠ ¹
dz a ²	dz a ²
n a ¹	n a ¹
p i ¹	p e ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
ʃ y ¹	s y ¹
ʃ i ³	ʃ i̠ ¹
m a ¹	m a ŋ ²
g j a ²	g ɨ ¹
ʃ a ³	ʃ a̠ ³
z a ³	z ɛ ¹
m o ¹	m u ¹
j a ŋ ³	j a ŋ ²
a ¹	a ¹
tʃʰ ɛ ²	tʃʰ ɛ ²
ʒ e̠ ¹	ɣ e̠ ¹
b a ²	b a ²
z ɛ ²	s u ¹
l e̠ ³	l e̠ ³
a ¹	a ¹
tʰ y ²	tʰ y ¹
kʰ y ²	kʰ y ²
n j ɛ ¹	ɲ e ¹
l a ²	l a ²
m y ŋ ¹	ˀm j y̠ ¹
s y ¹	s y ¹
p a ¹	p a ¹
d a ŋ ¹	d u ¹
dz e ¹	dz e ¹
tʃʰ ɨ ²	tsʰ ɿ ²
s u ¹	ʒ a ¹
v ¹	v u ¹
ɣ i ¹	ɣ a ŋ ¹
v a ²	v a ²
ɣ ɨ ¹	ɣ i ¹
a ¹	a ¹
pʰ j a ²	pʰ a ¹
k i ¹	k i ¹
tʰ u ¹	tʰ u ¹
k a ŋ ¹	k a ŋ ¹
z i̠ ³	z i ³
d i ²	d i ²
x i ³	ʃ i ³
n i̠ ¹	n i̠ ¹
x i ¹	ˀx y ¹
v a ¹	v u ¹
