p r ɛ m ʊ m n ɪ t ʊ m r ɛ m	p r aɪ m ɔ n ɪ t oː r ɛ m
w ɛ r t ɪ g ɪ n oː s ʊ m	w ɛ r t iː g ɪ n oː s ʊ m
s ʊ s p ɪ r j aː r ɛ	s ʊ s p iː r aː r ɛ
a p r ɪ k ʊ m	a p r iː k ʊ m
a n uː l aː r ɛ	aː n ʊ l aː r ɛ m
s t ʊ ɔ r j a m	s t ɔ r ɛ a m
g a lː oː	g a l b ɪ n ʊ m
ɛ s t ɪ ʊ m	aɪ s t aː t ɛ m
a b s t r ɛ r ɛ	a b s t r a h ɛ r ɛ
ɛ k s ɪ b iː r ɛ	ɛ k s h ɪ b eː r ɛ
f ɛ l ɪ k ɪ t aː t ɛ m	f eː l iː k ɪ t aː t ɛ m
m a s k ʊ l ɪ n ʊ m	m a s k ʊ l iː n ʊ m
s a r g ʊ m	s a r g ʊ m
uː s ʊ m	uː s ʊ m
ɛ w ʊ m	aɪ w ʊ m
f uː n ɪ k ʊ l ʊ m	f uː n ɪ k ʊ l ʊ m
f l ʊ m ɛ m	f l uː m ɛ n
n ɛ kʷ ɪ t j a m	n eː kʷ ɪ t j a m
d ʊ k t ʊ m	d ʊ k t ʊ m
m uː s k ʊ l oː s ʊ m	m uː s k ʊ l oː s ʊ m
kʷ ɛ r ɛ lː a m	kʷ ɛ r eː l a m
s ɪ l w a m	s ɪ l w a m
k ɔ r ɛ	k ɔ r
b ɪ k a m	b iː g a m
a d ɪ r	a dː ɛ r ɛ
s ʊ p ɛ r w aː k aː n ɛu ʊ m	s ʊ p ɛ r w a k ʊː m
s ɔ n aː r ɛ	s ɔ m n j aː r ɛ
m ɔ lː ɪ k j ɛ m	m ɔ lː ɪ t ɪ ɛ m
a kː uː s aː t oː r ɛ	a kː uː s aː t oː r ɛ m
f ɛ r a m	f ɛ r a m
r ɛ s p ʊ n s ʊ m	r ɛ s p oː n s ʊ m
s t ɛ r k ʊ m m	s t ɛ r k ʊ s
ɪ m p ʊ l s ʊ m	ɪ m p ʊ l s ʊ m
s ɛ k r ɪ t ʊ m	s k r iː p t ʊ m
p ʊ k ʊ m m	p aʊ k ʊ m
w ɔ l ʊ b ɪ l ɛ	w ɔ l uː b ɪ l ɛ m
r a n k oː r ɛ	r a ŋ k oː r ɛ m
p l uː m a m	p l uː m a m
ɪ n t ɛ l ɪ g ɪ r ɛ	ɪ n t ɛ lː ɛ g ɛ r ɛ
f ʊ l w ʊ m	f ʊ l w ʊ m
m ɛ n d aː k ɛ m	m ɛ n d aː k ɛ m
m ɪ l j aː r j ʊ m	m iː lː j aː r j ʊ m
s ʊ b s t ɪ t uː t j oː n ɛ m	s ʊ b s t ɪ t uː t j oː n ɛ m
s ɪ d ɛ r ɛ ʊ m	s iː d ɛ r ɛu m
s ɛ p ɛ m	s aɪ p ɛ m
r ɛ k ɪ t aː t j oː n ɛ m	r ɛ k ɪ t aː t j oː n ɛ m
r ɛ w ɛ r t a m r ɛ	r ɛ w ɛ r t iː
m uː g ɪ t ʊ m	m uː g iː t ʊ m
a s ɛ lː aː	a s k ɛ lː a m
p r ɛ s t aː t j oː n ɛ m	p r aɪ s t aː t j oː n ɛ m
k ɔ n f ʊ t a m r ɛ	k oː n f uː t aː r ɛ
l a m aː	l aː m a m
g r aː w ɪ d ʊ m	g r a w ɪ d ʊ m
k r ɛ p a m t uː r a m	k r ɛ p aː t uː r a m
ɪ n f ɪ m ʊ m	iː n f ɪ m ʊ m
aʊ d j ɛ n t j a m	aʊ d ɪ ɛ n t j a m
k ɪ b aː t j oː n ɛ m	k ɪ b aː t j oː n ɛ m
k ʊ r s ʊ m	k ʊ r s ʊ m
ɛ k s ɪ g ʊ m	ɛ k s ɪ gʷ ʊ m
ɛ kʷ aː n ɪ m ɪ t aː t ɛ m	aɪ kʷ a n ɪ m ɪ t aː t ɛ m
p r ɔ s t r aː r ɛ	p r oː s t ɛ r n ɛ r ɛ
t ɔ p s ɪ k aː r ɛ	t ɔ k s ɪ k aː r ɛ
n ʊ m ɛ m r ʊ m	n ʊ m ɛ r ʊ m
ɔ k k ɪ d ɛ n t ɛ m	ɔ kː ɪ d ɛ n t ɛ m
r ɛ g aː r ɛ	r ɪ g aː r ɛ
s ʊ b j ʊ g aː r ɛ	s ʊ b j ʊ g aː r ɛ
k ɪ r k ʊ n d aː r ɛ m	k ɪ r k ʊ m d a r ɛ
k ɔ m ɔ d ʊ m	k ɔ mː ɔ d ʊ m
ɪ n k ʊ r w aː r ɛ	ɪ ŋ k ʊ r w aː r ɛ
ɔ p uː l ɛ n t ʊ m	ɔ p ʊ l ɛ n t ʊ m
ʊ r ɪ r	h ɔ rː eː r ɛ
ɪ n s ɛ ɪ r ɛ	iː n s ɛ kʷ iː
k r ʊ s t r ɛ a m	k r ʊ s t a m
r ɛ uː m aː	r h ɛu m a
s ʊ b t r ɛ r ɛ	s ʊ b t r a h ɛ r ɛ
k a w aː r ɛ	k a w aː r ɛ
p r ɔ k ɛ d ɛ r ɛ	p r oː k eː d ɛ r ɛ
ɪ t aː l j aː n ʊ m	iː t a l j aː n ʊ m
p r ɔ k ɛ lː a m	p r ɔ k ɛ lː a m
m ɔ r d ɛ r ɛ	m ɔ r d eː r ɛ
k ɔ p aː s ɪ b l ɛ	k ɔ m p a sː ɪ b ɪ l ɛ m
ɛ d ɪ l ɪ t aː d ɛ m	aɪ d iː l ɪ t aː t ɛ m
ɪ n mː aː t ʊ r ʊ m	ɪ mː aː t uː r ʊ m
ɛ f ɛ k t ɪ w ʊ m	ɛ fː ɛ k t iː w ʊ m
ɔ n ɔ m aː t oː p ɛ j a m	ɔ n ɔ m a t ɔ p ɔ ɪ j a m
a d uː d ɪ k aː r ɛ	a d ɪ uː d ɪ k aː r ɛ
r eː m ʊ m	r eː m ʊ m
m ɪ l aː r j ʊ m	m iː lː j aː r j ʊ m
l ɪ m ɪ n ɛ	l iː m ɛ n
a k l ɔ m ɛ m r aː r ɛ	a gː l ɔ m ɛ r aː r ɛ
d ɛ t ɛ r m ɪ n aː t j ʊ m n ɛ m	d eː t ɛ r m ɪ n aː t j oː n ɛ m
a rː ɔ g aː r ɛ	a rː ɔ g aː r ɛ
p r ɛ d j aː l ɛ	p r aɪ d j aː l ɛ m
s ɪ n k ɛ r ʊ m	s ɪ ŋ k eː r ʊ m
k ɔ lː ɛ g j ʊ m	k ɔ lː eː g j ʊ m
b a s ɪ l ɪ k a m	b a s ɪ l ɪ k a m
p ɪ kː ʊ m	p iː k ʊ m
l a k r ɪ m aː t j ʊ m n ɛ m	l a k r ɪ m aː t j oː n ɛ m
k r ɛ t a m	k r eː t a m
k uː r a m	k uː r a m
d ɪ sː ɔ n aː r ɛ	d ɪ sː ɔ n aː r ɛ
