kʰ o ŋ ¹	kʰ o ŋ ¹
ɖʐ o ⁴	ɖʐ o ³
q a ŋ ¹	q a ŋ ¹
m i ¹	m i ¹
s j e n ¹	s r e n ¹
pʰ e ¹	pʰ e ¹
ɣ o ²	k r o ²
sʰ o ⁴	sʰ o ⁴
tɕ j e n ¹	tɕ e n ¹
¹ ɯ ²	p u ²
ts i ⁴	ts j i ⁴
p j æ ⁴	p r æ ⁴
qʰ u ²	qʰ u ²
n j e n ⁴	n j e ⁴
ts r o ⁴	ts r o ⁴
p j ɛ ¹	p j e ¹
o j æ ¹	pʰ r æ ¹
o j e n ¹	dʑ e n ¹
k w ɛ ¹	k w ɛ ¹
p j ɔ ¹	p r ɔ ¹
n j e n ¹	n j e n ¹
ŋ w e n ¹	ŋ w e n ¹
ŋ w e n ¹	ŋ w e n ¹
ŋ w a ŋ ⁴	ŋ w a ⁴
n o ²	n o ²
d r o ⁴	d r o ⁴
d i ²	dʑ i ²
dʑ i ⁴	d i ⁴
sʰ w a ⁴	sʰ w a ⁴
b ɔ ¹	b ã ¹
b j o ⁴	b j o ⁴
q ɯ ¹	q ɯ ¹
s r o ¹	s r o ¹
s j e n ¹	s j e n ¹
sʰ a ŋ ¹	sʰ a ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
m o ²	m ø ²
d ɛ ⁴	d ɛ ⁴
tɕ r ɯ ¹	tɕ ɯ ¹
p æ n ²	p æ n ²
tʰ r æ n ¹	tʰ æ n ¹
z i ³	z ɯ ³
ts i ⁴	ts j i ⁴
ɖʐ o ⁴	ɖʐ o ⁴
¹ e ¹	n ɛ ¹
tsʲʰ i ¹	tsʰ j i ¹
x e n ¹	x e n ¹
