s a	s a ⁴
x e n ¹	x e n ¹
ʔ w e n ¹	ʔ w e n ¹
kʰ ã ŋ ¹	qʰ o ŋ ¹
m ɯ ²	m ɯ ²
b j o ŋ ¹	p r ɔ ¹
tɕ j æ n ¹	tɕ æ ŋ ¹
ɕ o ŋ ²	tsʰ r e n ²
pʰ æ n ³	pʰ æ n ³
tɕʰ i	tɕʰ i ⁴
q æ ŋ ¹	q æ n ¹
ɕ o ŋ ¹	sʰ r o ŋ ¹
ɖʐ o ³	ɖʐ o ³
qʰ w æ ³	qʰ w æ ³
m u ⁴	m ɔ ⁴
k u ŋ ¹	k o ŋ ¹
p j o ⁴	p j u ⁴
d j ɯ ⁴	t ɯ ⁴
m ø ²	m ø ²
qʰ w a ⁴	qʰ w a ⁴
p r e n ¹	p r e n ¹
p r æ ¹	b æ ¹
x w æ ²	x w a ¹
k æ ⁴	k æ ⁴
ɕ r o ŋ ¹	ɕ o ŋ ¹
ʁ ɯ̃ ⁴	ʁ ɯ ⁴
tʰ a ⁴	tʰ a ⁴
χ ɯ ⁴	χ ɯ ⁴
ʔ o ⁴	ʔ o ⁴
tsʰ j i ³	tsʰ e ³
ŋ o ²	ŋ u ²
ɕ r e ŋ ²	s r e ŋ ²
d r ɯ ³	d r ɯ ³
m ɛ ¹	m ɛ ¹
s j o ŋ ²	ɕ w i ²
s o ŋ ŋ ³	s u ŋ ³
n ɔ ³	n ɔ ³
j ɯ	j ɯ ⁴
tsʰ o ŋ ³	tsʰ o ŋ ³
d r ɯ ³	d r ɯ ³
k a ŋ ¹	k a ŋ ¹
q æ ⁵	q æ ⁵
tɕ r e n ¹	p r e n ¹
pʰ j a ⁴	pʰ r a ⁴
d w a ⁴	d w a ⁴
pʰ ɯ ¹	pʰ ɯ ¹
n o ŋ ¹	n j e ŋ ¹
