g w a ¹¹	h w a ¹¹
b i ¹¹	b i ¹¹
m̥ ɛ ¹¹	m w ɛ ¹¹
l ɛ m ¹¹	l̥ ɛ m ¹¹
kʰ w i ⁵⁵	kʰ w i ⁵⁵
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
k ə ⁰	k ə ⁰
ʔ w i ¹¹	ʔ w i ¹¹
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
d ɔ ŋ ¹¹	d ɔ ŋ ¹¹
s ɨ ¹¹	s w ɨ ɴ ¹¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
n e ŋ ¹¹	n̥ e ŋ ¹¹
ɟ w i ʔ̚ ⁵¹	c w i k̚ ⁵¹
kʰ l ɛ ŋ ⁵⁵	kʰ l ɛ ɴ ⁵⁵
k r ei ¹¹	kʰ r ei ¹¹
ŋ ə ⁰	p ə ⁰
l i m ¹¹	l i n ¹¹
m̥ ə ¹¹	m ə ¹¹
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
tʰ o ¹¹	tʰ o ¹¹
kʰ l ei ⁵⁵	kʰ l ei ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
l ei ⁵⁵	l ei ⁵⁵
n e ⁵⁵	n̥ e ⁵⁵
tʰ ɛ ʔ̚ ⁵¹	tʰ ɛ ʔ̚ ⁵¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
tʰ ei ⁵⁵	tʰ ei ⁵⁵
pʰ r u ⁵⁵	p r u ⁵⁵
tʰ u ⁵⁵	tʰ u ⁵⁵
m̥ ə ŋ ¹¹	m ə ŋ ¹¹
l u m ¹¹	l u ɴ ¹¹
l ou ¹¹	l̥ ou ¹¹
l ei ⁵⁵	l ei ⁵⁵
tʰ a ⁵⁵	tʰ a ⁵⁵
