tʃ a ¹	tʃ u ¹
m o̠ ¹	m o̠ ¹
k ɛ̠ ³	k u ²
dz y ¹	dz y ¹
a ³	a ¹
ˀx y ¹	x y ¹
tʰ a ²	tʰ a ²
ts i ²	ts i ²
g e ²	s y ²
n i̠ ³	n i̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
n i̠ ¹	n i̠ ¹
k u ²	k u ²
t u ²	d u ¹
ˀm e̠ ¹	ˀm j e̠ ¹
z i ²	z i ²
z e̠ ³	z e̠ ³
ts i ³	ts i̠ ³
pʰ i ²	pʰ e ¹
t u ¹	t u ¹
ts a ¹	ts a ¹
dz a ¹	dz a ¹
kʰ ɛ ¹	kʰ ɛ ¹
h e ¹	h e ¹
ˀl i ³	ˀl i ³
p y ²	v y ²
k ɛ ³	k e̠ ³
t ɛ̠ ³	t a ³
l y ¹	l y ¹
k a ŋ ¹	k j i ³
x a ¹	x a ¹
b j ɛ̠ ³	b j a̠ ³
ʃ a ¹	ʃ a ¹
ˀm e̠ ¹	ˀm j e̠ ¹
l y ¹	l y ¹
n y ¹	n y ¹
k j ɛ ²	k j ɛ ²
ɣ a ³	g a ³
n a ³	n a ŋ ³
ɣ ɨ ²	ɣ ɨ ²
s i̠ ¹	s i̠ ¹
p a ¹	p a ¹
n a ¹	n a ¹
l u ²	l u ²
kʰ u ²	kʰ u ²
pʰ e̠ ¹	pʰ e̠ ¹
t o ¹	kʰ o̠ ¹
n̩ ²	n i ²
dʒ i̠ ¹	dʒ i ¹
tsʰ a ŋ ¹	tsʰ a ŋ ¹
tsʰ u ²	tʃʰ i ²
ɣ e̠ ¹	ɣ e̠ ¹
k a ²	k a ŋ ²
kʰ i ²	kʰ ɨ ²
s ɛ ²	s ɛ ²
dz e ²	dz e ²
m a ³	m a ³³
k a ¹	k a ¹
kʰ u ¹	kʰ u ¹
ˀm ɛ ¹	ˀm ɛ ¹
ˀl u ¹	ˀl u ¹
k o ²	k a ŋ ²
ɣ i ¹	ɣ i ¹
kʰ a ²	kʰ a ²
e ²	e ²
m u ¹	m o ²
d i ²	d i ²
x a ²	x a̠ ³
d a ¹	d a ¹
dz i ²	dʒ i ²
tsʰ a ¹	tsʰ a ¹
m a ³	m a ³
n e̠ ³	n e̠ ³
tʃʰ ɨ ²	tsʰ ɿ ²
l e̠ ³	l e̠ ³
s a ¹	s a ¹
tsʰ i ²	tsʰ ɨ ²¹
ʃ a̠ ³	ʃ a̠ ³
ʃ ɛ ²	ɣ u ²
ˀn a ²	ˀn a ²
d e ¹	d i ¹
tʰ e̠ ³	tʰ e̠ ³
n e ¹	n e ¹
ˀl i ²	ˀl i ²
h a ¹	h a ¹
tsʰ e ¹	tsʰ e ¹
tʰ a ²	tʰ a ²
kʰ a ²	kʰ a ²
l a ¹	l a ŋ ¹
p a̠ ³	p a̠ ³
l a ²	l a ²
ts ɿ ²	ts i ²
kʰ i ¹	kʰ ɨ ¹
p u ²	p u ²
j a ³	j a ŋ ²
t a ŋ ¹	t a ŋ ¹
ˀm e̠ ¹	ˀm j e̠ ¹
ˀl a ³	ˀl u ³
dz i ¹	dz i ¹
v a ³	v a ³
ɣ i ¹	ɣ i ¹
ˀm a ²	ˀm a ²
d y ²	d y ²
p ɨ ²	p j ɨ ²
l o̠ ¹	l u̠ ¹
ˀm y ²	ˀm y ²
p a̠ ³	p a̠ ³
dz e ¹	dz e ¹
a ¹	a ¹
a ¹	a ¹
g i ¹	g i ¹
m j a ²	m j a ²
b e̠ ¹	b e̠ ¹
p y ¹	p y ³
ɣ ɨ ¹	ɣ ɨ ¹
ʃ u ¹	ɣ u ²
ɣ i ³	ʒ e ¹
tʃʰ i̠ ²	tʰ i ²
tsʰ y̠ ³	tsʰ y̠ ³
d ɛ ²	d ɛ ²
tʃʰ i̠ ²	tʃʰ u ²
kʰ u ²	kʰ o ²
b y ³	b y ³
g i̠ ¹	tsʰ i̠ ³
ˀl y ³	ˀl y ³
