n ɔ ³	n ɔ ³
s r i ²	s r i ²
m a ⁴	m a ⁴
p o ²	p j o ²
s r e ¹	s r e ŋ ¹
p j e ²	p j ɛ ²
m ɔ ¹	m ɔ ¹
ɖʐ i ⁴	ɖʐ i ⁴
dʑ i ³	d i ³
k o ⁵	k o ⁵
ts r u ŋ ¹	ts u ŋ ¹
b i ⁴	p r i ⁴
s r o ²	s r o ²
ŋ j u ŋ ¹	z r o ŋ ¹
tʰ r o ŋ ¹	tʰ r o ŋ ¹
ɖʐ o ⁵	ɖʐ o ³
g ɔ ¹	g ɔ ¹
ts r e ²	ts r e n ²
k o ⁵	k o ⁵
x w i ²	x w i ²
ʔ w e n ¹	ʔ w e n ¹
tʰ r r æ ⁴	tʰ r æ ⁴
m e ¹	m e ¹
ŋ ɯ ¹	ŋ ɯ ¹
n j e n ⁴	n j e ⁴
m ɛ ¹	m ɛ ¹
ɖʐ w e n ⁵	ɖʐ w e n ⁵
k a ŋ ¹	k a ŋ ¹
m æ ²	m æ ²
s r u ³	s r o ⁵
ɖʐ i ⁴	ɖʐ i ⁴
n j o ŋ ¹	n j o ¹
ɕ r e ²	ɕ w i ²
n j ɛ ⁴	b j ɛ ⁴
m ɯ ⁴	m ɔ ⁴
s r r æ ŋ ²	s r e ŋ ²
pʰ r æ ⁴	pʰ r a ⁴
dʑ r i ²	dʑ i ²
ɖʐ o ⁴	ɖʐ o ⁴
pʰ æ ¹	pʰ a ¹
qʰ u ¹	qʰ u ¹
m ɛ ⁵	m ɛ ⁵
m æ ¹	m æ ¹
b ɯ ¹	b ɯ ¹
j a ⁴	j a ⁴
pʰ e ¹	pʰ e ¹
