w a ⁵⁵	g w a ⁵⁵
k ə ⁵⁵	k ɨ ⁵⁵
d o ¹¹	d o ¹¹
s w a ʔ̚ ⁵¹	s w a ʔ̚ ⁵¹
m ei ¹¹	m̥ ei ¹¹
r ə ʔ̚ ⁵¹	r ə ʔ̚ ⁵¹
k i ⁵⁵	k i ⁵⁵
tʰ ɛ ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
k ə ⁰ ⁰	k ə ⁰
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
pʰ ə ¹¹	pʰ ə ¹¹
k w a n ¹¹	g l a m ¹¹
pʰ l ɨ m ⁵⁵	pʰ r ɨ ɴ ⁵⁵
kʰ l o ¹¹	kʰ l o ¹¹
m̥ a ¹¹	m̥ a ¹¹
k a ⁰	t ə ⁰
m̥ ɛ ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
s a ʔ̚ ⁵¹	s a ʔ̚ ⁵¹
kʰ r ou ⁵⁵	kʰ r ou ⁵⁵
l̥ ei ⁵⁵	l ei ⁵⁵
ʔ ə ŋ ⁵⁵	ʔ ə ŋ ⁵⁵
s w w a ¹¹	s w w a ¹¹
p ə ¹¹	p ɨ ¹¹
cʰ a ʔ̚ ⁵¹	cʰ a ʔ̚ ⁵¹
l o ŋ ¹¹	l̥ o ŋ ¹¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
n e ⁵⁵	n̥ e ⁵⁵
l w i ⁵¹	l̥ w i t̚ ⁵⁵
l ei ⁵⁵	l ei ⁵⁵
g o ¹¹	g o ¹¹
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
k ə ⁰	d ə ŋ ⁵⁵
cʰ a ¹¹	cʰ a ¹¹
pʰ r ɔ ⁵⁵	pʰ r ɔ ⁵⁵
r w i ʔ ⁵¹	r̥ w i ʔ̚ ⁵¹
