tsʰ w æ ŋ ²	tsʰ w a ŋ ²
b r i ŋ ¹	b r i ²
ŋ j e ²	n j i ²
z ɔ ¹	z ɔ ¹
ɣ o ⁴	ɣ u ⁴
b æ ¹	b æ ¹
d r ɯ ¹	d r ɯ ³
m r æ ŋ ¹	m j æ ¹
g ɯ̃ ŋ ³	g ɯ̃ ³
qʰ w æ ¹	qʰ w æ ³
b r i ŋ ¹	p r i ¹
ɣ æ ¹	ɣ æ ¹
b ɔ ¹	b ã ¹
qʰ r o ²	qʰ ɔ ²
q a ⁴	q æ ⁴
p æ ⁴	p æ ⁴
ɣ ɔ ⁴	ɣ ɔ ¹
t ɛ ⁴	t ɛ ⁴
p r e n ¹	p r e n ¹
s j e n ¹	s j e n ¹
dʑ a ⁴	dʑ a ⁴
tsʰ o ŋ ¹	tsʰ o ŋ ¹
n j o ŋ ¹	n j o ¹
ɕ i ²	ɕ w i ²
d w a ¹	d w a ⁴
m i ¹	m i ¹
b i ⁴	p r i ⁴
ɖʐ w e n ⁵	ɖʐ w e n ⁵
b u ²	b ɯ ²
n o ŋ ¹	n o ŋ ¹
g o ¹	g o ¹
k æ ⁴	k æ ⁴
s r o ²	s r o ²
x ɯ ²	x ɯ ³³
p ɛ ⁴	b ɛ ⁴
n j e n ¹	n j e n ¹
k o ŋ ¹	ɣ o ŋ ¹
q ɯ ¹	q ɯ ¹
n e ⁴	n ɛ ¹
ŋ ɯ ²	p u ²
tsʰ j o ³	tsʰ u ³
tsʰ i ⁴	tɕʰ i ⁴
s r e ¹	s r e ŋ ¹
b æ ⁴	b æ ⁴
x w i ²	x w i ²
q o ⁴	q ɔ ⁴
