s kʷ aː l ʊ m	s kʷ aː l ʊ m
k a l w ɪ r	k a l w iː
t aɪ d aː r ʊ m	t eː k t ʊ m
m ɔ r b ʊ m	m ɔ r b ʊ m
kʷ a d r ɪ l aː t ɛ r ʊ m	kʷ a d r ɪ l a t ɛ r ʊ m
p r ɔ t oː k ʊ m l ɛ m aː r j ʊ m	p r oː t ɔ k ɔ lː aː r j ʊ m
d eː ɪ ɛ n ɛ r aː r	d eː g ɛ n ɛ r aː r ɛ
k ɪ n ʊ m	k y ŋ n ʊ m
r eː s aː r k ɪ r ɛ	r ɛ s a r k iː r ɛ
p a k uː r ʊ m	p a g uː r ʊ m
ɪ n aː l aː r ɛ	ɪ n h aː l aː r ɛ
w iː s k j ʊ m	w ɪ s k ʊ m
d eː t ɛ r m ɪ n a r ɛ	d eː t ɛ r m ɪ n aː r ɛ
a n g ɛ l ɪ k ʊ m	a ŋ g ɛ l ɪ k ʊ m
p a l m ʊ m	p a l m ʊ m
m ʊ k ʊ l ɛ m	m uː t ʊ l ʊ m
a n ɔ r m aː l	a n oː r m a l ʊ m
w ɔ m ɛ m r ɛ	w oː m ɛ r ɛ m
s a l uː t aː r ɛ	s a l uː t aː r ɛ m
m uː l t aː	m ʊ l t a m
f ɪ l j a m l ɛ	f iː l j aː l ɛ m
ɪ n t ɛ lː ɛ k t ʊ m	ɪ n t ɛ lː eː k t ʊ m
m a n ʊ m	m a ŋ n ʊ m
a r t ɛ m iː s j aː	a r t ɛ m ɪ s j a m
k ɔ d ɪ k eː	k oː d ɪ k ɛ m
ɔ k uː l aː r ɛ	ɔ k ʊ l aː r ɛ m
s t r aː d ɛ m	s t r aː t a m
m ɛ d ɪ k aː r ɛ	m ɛ d ɪ k aː r ɛ
d ɪ k t aː m ɛ n	d ɪ k t aː m ɛ n
ɛ k s k oː g ɪ t aː t j oː n ɛ m	ɛ k s k oː g ɪ t aː t j oː n ɛ m
p r ɛ m ɛ r ɛ	p r ɛ m ɛ r ɛ
p r oː k s ɪ m ʊ m	p r ɔ k s ɪ m ʊ m
ɛ k s t ɛ n d ɛ r ɛ	ɛ k s t ɛ n d ɛ r ɛ
kʷ a r t ʊ m	kʷ aː r t ʊ m
k a p t ʊ r a m	k a p t uː r a m
d ɛ s k r ʊ b ɛ r ɛ	d eː s k r iː b ɛ r ɛ
r ɛ t aː r d aː r ɛ	r ɛ t a r d aː r ɛ
s t oː p a m	s t ʊ pː a m
k ɪ m b aː l ʊ m	k y m b a l ʊ m
b a s j ʊ m	b aː s j ʊ m
ɔ p uː s k ʊ l ʊ m	ɔ p ʊ s k ʊ l ʊ m
k ɔ m ɛ t ɛ r ɛ	k ɔ mː ɪ tː ɛ r ɛ
ɪ n k ʊ rː ɛ r ɛ	ɪ ŋ k ʊ rː ɛ r ɛ
w ɛ t r ɪ k ɛ m	w iː t ɪ k ɛ m
f ɔ r n ɪ k s ɛ m	f ɔ r n ɪ k ɛ m
a s p ɛ r g eː r ɛ ɛ	a s p ɛ r g ɛ r ɛ
ɛ k s p ɔ r t aː t j oː n ɛ m	ɛ k s p ɔ r t aː t j oː n ɛ m
r ɪ g ɪ d ʊ m	r ɪ g ɪ d ʊ m
m uː t ʊ ʊ m m	m uː t ʊː m
d eː p r ɛ d aː r ɛ	d eː p r aɪ d aː r iː
s ɔ l ɪ d ʊ m	s ɔ l ɪ d ʊ m
r eː s ɪ n a m r ɛ	r ɛ s ɪ ŋ n aː r ɛ
g r aː m aː ɛ	g r aː m ɛ n
l ɪ m aː k j a m	l iː m aː k ɛ m
k a l oː r ɛ	k a l oː r ɛ m
ɛ k s t ɛ n s ɪ w ʊ m	ɛ k s t eː n s iː w ʊ m
k eː l w n t ɛ m	k a l ɛ n t ɛ m
