g ɯ ¹	k ɯ ¹
ts u ²	ts u ²
m ɔ ⁴	m ɯ ⁴
b j a ⁴	b j ɛ ⁴
n j o ŋ ¹	n j o ¹
n ŋ e ²	n j i ⁴
m æ ²	m æ ²
ʁ ɯ ⁴	ʁ ɯ ⁴
tsʰ o ³	tsʰ u ³
m r i ¹	m j i ¹
t a ⁴	d a ⁴
j a ⁴	j a ⁴
s w a n ¹	s w a ŋ ¹
tɕ j e n ¹	tɕ e n ¹
tʰ r o ŋ ¹	tʰ r o ŋ ¹
tʰ r e ²	tʰ j e ⁴
ŋ i ¹	ŋ ɔ ¹
ɕ j e n ¹	s j e n ¹
ts i ŋ ¹	ts r e ŋ ¹
kʰ o ⁴	kʰ o ⁴
s r i ŋ ¹	sʰ r e ŋ ¹
tɕ e n ²	ɖʐ e n ²
sʰ w a ŋ ³	sʰ w a ŋ ³
s u ¹	s r u ¹
b ɯ ¹	b ɯ ¹
p j ɛ n ⁵	p r e n ⁵
kʰ o ³	kʰ r o ³
tsʰ i ⁴	tɕʰ i ⁴
k æ ⁴	k æ ⁴
tʰ u ²	tʰ j u ²
d r ɯ ¹	d r ɯ̃ ¹
ɕ r ɯ ²	sʰ r ɯ ²
tʰ r æ n ¹	tʰ æ n ¹
ts w æ n ²	ʈ w æ n ²
t w a ⁴	d w a ⁴
p j o ²	p j o ²
ɖʐ ŋ o ŋ ¹	z r o ŋ ¹
ɕ j i ²	ɕ w i ²
ɣ ɯ ¹	ɣ ɯ ¹
d r o ŋ ¹	ʈ o ŋ ¹
b p j o ⁴	b j o ⁴
qʰ w i ²	kʰ w ɛ ²
ɣ æ ⁴	ɣ æ ⁴
ɕ i ²	s j i ²
s r o ³	s r o ⁵
d r o ŋ ¹	d r o ŋ ¹
