d o ŋ ¹¹	d o ŋ ¹¹
k a ŋ ⁵⁵	g a ŋ ⁵⁵
cʰ w a ɴ ¹¹	cʰ j a ɴ ¹¹
kʰ ei ¹¹	kʰ ei ¹¹
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
r w a ¹¹	h w a ¹¹
ˀb a ¹¹	ˀb a ¹¹
s w i ¹¹	s w i ¹¹
ɟ ə ŋ ⁵⁵	c ə ŋ ⁵⁵
n i ⁵⁵	n̥ i ⁵⁵
l o ɴ ⁵⁵	l o ⁵⁵
l ou ¹¹	l̥ ou ¹¹
b r e ⁵⁵	b r e ⁵⁵
s r ei ¹¹	s r ei ¹¹
tʰ e ¹¹	tʰ e ¹¹
ɲ̊ ɔ ⁵¹	ɲ̊ au ⁵⁵
cʰ a ɴ ¹¹	cʰ a ɴ ¹¹
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
tʰ o ¹¹	tʰ o ¹¹
d o ¹¹	d o ¹¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
cʰ a ⁵⁵	c a ⁵⁵
l o ŋ ¹¹	l o ŋ ¹¹
ʔ ɔ ɴ ⁵⁵	ʔ ɔ ⁵⁵
d e ɴ ⁵⁵	d e ɴ ⁵⁵
kʰ w i ¹¹	kʰ w i ¹¹
l a ⁵⁵	l a ⁵⁵
j a ¹¹	j ə ⁰
b ɔ ŋ ⁵⁵	b ɔ ŋ ⁵⁵
m ɛ ʔ̚ ⁵¹	m̥ ɛ ʔ̚ ⁵¹
pʰ e ʔ̚ ⁵¹	pʰ e ʔ̚ ⁵¹
n ɨ ŋ ⁵⁵	n ɨ ŋ ⁵⁵
t a ʔ̚ ⁵¹	t a ʔ̚ ⁵¹
ŋ j e ʔ̚ ⁵¹	ŋ j a ʔ̚ ⁵¹
tʰ ə ŋ ¹¹	tʰ ə ŋ ¹¹
k i ¹¹	k i ¹¹
