pʰ r æ ⁴	pʰ r a ⁴
m ɔ ⁴	m ɔ ⁴
ɖʐ u ⁴	ɖʐ u ŋ ⁴
tsʰ w e n ¹	tsʰ w e n ¹
ŋ j u ŋ ¹	z r o ŋ ¹
p j o ¹	pʰ j u ŋ ¹
p o ⁴	p j u ⁴
m e ¹	m e ¹
ŋ ɯ ¹	ŋ ɯ ¹
z ɔ ¹	z ɔ ¹
dz i ¹	dz i ¹
g ɯ̃ ŋ ³	g ɯ̃ ³
x w i ²	x w i ²
p r ɔ ¹	p r ɔ ¹
sʰ w a ⁴	sʰ w a ⁴
b j o ²	b j ɛ ²
m æ ²	m æ ²
b æ ¹	b æ ¹
pʰ æ n ³	pʰ æ n ³
tɕ i ¹	tɕ i ¹
b r e n ¹	p r e n ¹
pʰ æ ¹	pʰ æ ¹
qʰ u ²	qʰ u ²
d r o ŋ ¹	d r o ŋ ¹
s j i ²	s j i ²
qʰ w ɔ ²	kʰ w ɛ ²
n j e n ¹	n j e n ¹
ʈ o ⁴	ʈ o ⁴
ɣ o ⁴	ɣ u ⁴
q ɯ ¹	q ɯ ¹
ts r u ŋ ¹	ts u ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
ɣ u ¹	ʂ u ¹
w o ⁴	ɣ o ⁴
tsʰ o ŋ ⁵	tsʰ o ŋ ³
tsʰ j e ¹	tsʰ j e n ¹
ʈ r o ŋ ¹	ʈ o ŋ ¹
m ɯ ⁴	m ɯ ⁴
ɖʐ i ⁴	ɖʐ i ⁴
ɕ o ŋ ¹	ɕ o ŋ ¹
ts w æ n ²	ʈ w æ n ²
s w a ¹	ɕ w i ²
tsʰ u ¹	tsʰ u ŋ ¹
m ɯ ¹	m ɯ ²
k ɯ ¹	k ɯ ¹
sʰ o ŋ ¹	s o ŋ ¹
