kʰ ei ⁵⁵	kʰ ei ⁵⁵
kʰ e ʔ̚ ⁵¹	kʰ i ʔ̚ ⁵¹
d o ŋ ¹¹	d o ŋ ¹¹
ˀb a ¹¹	ˀb a ¹¹
g o ¹¹	g o ¹¹
ˀd e ʔ̚ ⁵¹	ˀd e ʔ̚ ⁵¹
l a ʔ̚ ⁵¹	l a ʔ̚ ⁵¹
s a ¹¹	s a ¹¹
n ɔ ʔ̚ ⁵¹	n̥ ɔ ʔ̚ ⁵¹
s r ei ¹¹	s r ei ¹¹
ˀd a ¹¹	ˀd ɛ ¹¹
k ə ⁰	k ə ⁰
kʰ ɔ ʔ̚ ⁵¹	kʰ ɔ ʔ̚ ⁵¹
l w i ¹¹	l w i ¹¹
l i m ¹¹	l i n ¹¹
ɟ e ¹¹	c e ¹¹
l u ⁵⁵	l u ⁵⁵
j ou ¹¹	j ou ¹¹
b r a ⁵⁵	b r a ⁵⁵
ˀd ou ¹¹	ˀd ə ŋ ¹¹
b ə r ⁰	b ə ʔ̚ ⁰
m i ɴ ⁵⁵	ˀm i n ⁵⁵
ʔ a ɴ ⁵⁵	ʔ a ɴ ⁵⁵
tʰ e ŋ ⁵⁵	tʰ ɛ ŋ ⁵⁵
tʰ u ɴ ¹¹	tʰ u ɴ ¹¹
ˀb u ⁵⁵	ˀb ə ⁵⁵
b l ei ⁵⁵	b l ei ⁵⁵
pʰ l o ŋ ¹¹	pʰ l o ŋ ¹¹
ɟ a ¹¹	ɟ a ¹¹
w i ⁵⁵	w i ⁵⁵
l i m ¹¹	l̥ ɛ m ¹¹
r ɨ ⁰	p ə ⁰
ˀd ei ¹¹	ˀd ei ¹¹
s r a ⁵⁵	s r a ⁵⁵
ˀd ə ɴ ⁵⁵	ˀd ə ⁵⁵
n ei ⁵⁵	n̥ ei ⁵⁵
