b ɯ ¹	b r i ¹
ɣ w a ⁴	ɣ w a ⁴
p ɯ ²	p ɯ ²
x e n ¹	x e n ¹
q a ⁴	q æ ⁴
ɯ ²	ɯ̃ ²
b u ²	b ɯ ²
p j ø ¹	pʰ j u ŋ ¹
ɕ ɯ ²	ɕ w i ²
qʰ ɯ ¹	qʰ ɯ̃ ¹
n ɛ ¹	n ɛ ¹
n e ²	n j i ⁴
ts o ⁴	ts o ⁴
tɕʰ i ⁴	tsʰ j i ⁴
ts i ⁴	ɖʐ i ⁴
tʰ u ¹	tʰ r u ¹
j a ⁴	j a ⁴
m ɛ ¹	m ɛ ¹
s u ¹	s r u ¹
b ɛ ⁴	b ɛ ⁴
qʰ r ɔ ²	qʰ ɔ ²
s i ²	s i ²
j ɯ ⁴	j ɯ ⁴
n r e n ²	n j i ²
χ ɯ ⁴	χ ɯ ⁴
q w a ⁴	ɣ w a ⁴
s r o ³	s r o ⁵
ɣ ɯ ²	ɣ ɯ ²
qʰ w a ŋ ²	qʰ w a ŋ ²
n r æ ⁴	b j o ²
m e ¹	m e ¹
d o ŋ ²	ɖʐ u ŋ ²
s ɔ ²	s ɔ ²
ɕ ɯ ²	sʰ r ɯ ²
t æ ⁴	t æ ŋ ⁴
m ɯ ŋ ⁴	m ɯ ⁴
b r o ⁴	b j o ⁴
ts r u ²	ts u ²
tsʰ u ³	tsʰ u ³
tsʰ j e n ¹	tsʰ j e n ¹
ɕ o ⁴	ɕ o ⁴
j o ⁴	j ɔ ⁴
ŋ o ŋ ²	ŋ u ²
tɕ a ⁴	dʑ a ⁴
ŋ r o ŋ ⁴	ŋ j o ŋ ⁴
qʰ r u ²	qʰ u ²
