a b s t r ɛ ɛ r ɛ	a b s t r a h ɛ r ɛ
b ɛ n ɛ d ɛ d aː r ʊ m	b ɛ n ɛ d ɪ k t ʊ m
d ɪ s t ɔ r kʷ ɛ r ɛ	d ɪ s t ɔ r kʷ eː r ɛ
eː m ɔ l uː m ɛ n t ʊ m	eː m ɔ l ʊ m ɛ n t ʊ m
ɛ k k ɛ lː ɛ n t j a m	ɛ k s k ɛ lː ɛ n t j a m
t ɔ r t ɔ r ɛ	t ɔ r t oː r ɛ m
t ɔ g a m	t ɔ g a m
r ɛ k ɛ sː ʊ m	r ɛ k ɛ sː ʊ m
p l uː m b ɛ ʊ m	p l ʊ m b ɛu m
s ɛ rː aː r ɛ	s ɛ r ɛ r ɛ
t ɛ m ɛ r ɛ	t ɪ m eː r ɛ
r uː m oː r ɛ	r uː m oː r ɛ m
r ɔ d ɪ ɪ ɪ m	r oː b iː g ɪ n ɛ m
k ɔ l ɔ r aː r ɛ	k ɔ l oː r aː r ɛ
k a l iː d iː t ɛ m	k a l ɪ d ɪ t aː t ɛ m
tʰ j ɛ ɛ m	tʰ iː ʊ m
ɪ ŋ g uː s t ʊ m	ɪ n ɪ uː s t ʊ m
l a n k aː r ɛ	l a ŋ k ɛ aː r ɛ
s ɛ n d aː r eː r ɛ	s ɛ d eː r ɛ
ɛ d iː lː iː d aː d ɛ m	aɪ d iː l ɪ t aː t ɛ m
a b ɔ rː ɪ r ɛ	a b h ɔ rː eː r ɛ
kʷ a d r iː l a t ɛ r ʊ m	kʷ a d r ɪ l a t ɛ r ʊ m
a s aː r ɛ	a sː aː r ɛ
n ɔ p k j j a m	n uː p t j aː s
d ɛ p r ɛ d a t j ʊ n ɛ m	d eː p r aɪ d aː t j oː n ɛ m
s k aː l p ɛ lː ʊ m	s k a l p ɛ lː ʊ m
p r ɔ p uː ŋ n a r ɛ	p r oː p ʊ ŋ n aː r ɛ
ɪ n s uː l t ʊ m	iː n s ʊ l t ʊ m
ɪ n mː iː s k ɪ r s ɛ m	ɪ mː ɪ s k eː r ɛ
a ŋ n aː t ʊ m	a ŋ n aː t ʊ m
k ʊ l ɛ k ʊ j ʊ m	k aʊ l ɪ k ʊ l ʊ m
f a k ɛ t j ʊ m	f a k eː t ʊ m
a m ɪ k a m	a m iː k a m
n ɔ w iː l uː n j ʊ m	n ɔ w ɪ l uː n j ʊ m
m a t uː r aː r ɛ	m aː t uː r aː r ɛ
s ʊ b m ɛ r s j oː n ɛ	s ʊ mː ɛ r s j oː n ɛ m
m a n t iː p j ɛ m	m a ŋ k ɪ p j ʊ m
m a r iː t ʊ m	m a r iː t ʊ m
s a l w aː r ɛ	s a l w aː r ɛ
ɪ n k ɛ t aː r ɛ	ɪ ŋ k ɛ p t aː r ɛ
t ɪ n j a m	t ɪ n ɛ a m
a ɛ r ɔ m a n t j a m	aː ɛ r ɔ m a n t iː a m
p ɛ lː iː k a n ʊ m	p ɛ l ɛ k aː n ʊ m
p a w ɪ l oː n ɛ m	p aː p ɪ l j oː n ɛ m
d ɛ b iː lː iː t aː r ɛ	d eː b ɪ l ɪ t aː r ɛ
k iː n j ɛ n t ʊ s	kʷ iː ŋ g ɛ n t oː s
w a l ɛ r ɛ	w a l eː r ɛ
l a k s ʊ m	l a k s ʊ m
w ɪ s k l ʊ m	w ɪ s k ʊ m
a t r iː b uː ɪ r ɛ	a tː r ɪ b ʊ ɛ r ɛ
p ɔ s t ɛ r ʊ m	p ɔ s t ɛ r ʊ m
ɔ b s t r uː ɛ r ɛ	ɔ b s t r ʊ ɛ r ɛ
s t a t aː	s t a t w a m
a lː ɔ k uː t j oː n ɛ m	a lː ɔ k uː t j oː n ɛ m
oː	ʊ m
p uː d iː k ʊ m	p ʊ d iː k ʊ m
ɪ m aː g ɪ n ɛ	ɪ m aː g ɪ n ɛ m
j ɛ p s ʊ m	g y p s ʊ m
d iː k t a m ɛ n a	d ɪ k t aː m ɛ n
w aː n ʊ m	w aː n ʊ m
a k ʊ w a	a kʷ a m
m ɔ t ʊ m	m ʊ tː ʊ m
a ɛ l ɛ m	a w j a m
k ɔ rː ɔ s j oː n ɛ	k ɔ rː oː s j oː n ɛ m
k ɔ n s uː m ɛ r ɛ	k oː n s uː m ɛ r ɛ
s k ɪ n t ɪ lː aː m	s k ɪ n t ɪ lː a m
f iː d ʊ m	f iː d ʊ m
p r uː d ɛ n t ɛ m	p r uː d ɛ n t ɛ m
k ɔ r ɔ n ɪ d ɛ m	k ɔ r oː n ɪ d ɛ m
ɪ m p ɛ r a t oː r j ʊ m	ɪ m p ɛ r aː t oː r j ʊ m
ɛ k s p ɛ k t a t j ɔ n ɛ	ɛ k sː p ɛ k t aː t j oː n ɛ m
gʷ a r d aː r ɛ	w a r d aː r ɛ
s oː r ɛ ɪ a m	s ɔ r oː r ɛ m
d ɛ b ɛ lː a r ɛ	d eː b ɛ lː aː r ɛ
uː m uː m	h ʊ m ʊ m
ɛ p iː s t ɔ l a m	ɛ p ɪ s t ɔ l a m
ɪ n ɔ b ɪ l ɛ m	ɪ ŋ n oː b ɪ l ɛ m
ɛ k s k ɔ g iː t a t j ʊ n ɛ m	ɛ k s k oː g ɪ t aː t j oː n ɛ m
d ɛ l iː b ɛ r aː r ɛ	d eː l iː b ɛ r aː r ɛ
k ʊ r s ʊ m	k ʊ r s ʊ m
