tʰ i ²	tʰ j e ²
b r o ²	b o ŋ ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
tsʰ i ⁴	tɕʰ i ⁴
sʰ r ɯ ²	sʰ r ɯ ²
ɣ ɯ̃ ²	ɣ ɯ ²
x e n ¹	x e n ¹
m e ¹	m e ¹
j a ⁴	j a ⁴
qʰ u ²	qʰ u ²
p r a ⁴	p r a ⁴
j a ⁴	j a ⁴
sʰ o ⁴	sʰ o ⁴
qʰ w æ ³	qʰ w æ ³
ŋ w a ⁴	ŋ w a ⁴
ɣ o ⁴	ɣ o ⁴
tɕʰ i ¹	tɕʰ i ¹
ʈ r o ⁴	d r o ⁴
ts w ɛ ⁴	ts w ɛ ⁴
ts r e ²	ts r e n ²
ts r i ²	ts u ²
x w i ²	x w i ²
s j i ²	s j i ²
n ɯ ŋ ¹	n j e ŋ ¹
ts r o ²	ts r ɔ ²
kʰ o ¹	qʰ u ¹
d r ɔ ¹	d r ɔ ¹
tsʰ o ³	tsʰ u ³
d r o ¹	d r o ŋ ¹
tʰ r u ²	tʰ u ²
d ɔ ⁵	d ɔ ⁵
n ɛ ⁴	n ɛ ¹
tsʰ ɔ ŋ ¹	tsʰ u ŋ ¹
ŋ o ⁴	ŋ o ³
n j e n ⁴	n j e ⁴
b e ²	b e ²
tsʰ o ŋ ³	tsʰ o ŋ ³
t w e n ¹	t w e n ¹
t æ ⁴	t æ ŋ ⁴
m ɛ ⁴	m i ¹
k a ŋ ¹	k a ŋ ¹
sʰ ɔ ¹	sʰ r ɔ ¹
q a ŋ ¹	q a ŋ ¹
k r u ³	g r o ŋ ³
m ɯ ¹	m ɯ ¹
dz o ŋ ¹	dz o ŋ ¹
n ɔ ³	n ɔ ³
