s e ¹	s r ɯ ²
ts i ²	ts i ²
n i ²	n j i ⁴
tsʰ j u ¹	tsʰ j i ¹
j i ³	j i ³
p r a ⁴	p r a ⁴
d r ɯ ⁵	d r ɯ ³
n o ŋ ¹	n o ŋ ¹
d r ɯ ³	d r ɯ ³
x æ n ¹	χ æ n ¹
sʰ o ŋ ¹	s o ŋ ¹
ɖʐ o ⁴	ɖʐ o ⁴
b r o ⁴	b j o ⁴
m ɯ ⁴	m ɯ ⁴
ɖʐ i ⁴	ɖʐ i ⁴
n ɛ ¹	n ɛ ¹
m ɔ ⁴	m ɔ ⁴
ts r o ⁴	ts r o ⁴
t æ ŋ ⁴	t æ ŋ ⁴
sʰ ɛ ⁴	sʰ ɛ ⁴
m e ¹	m e ¹
b æ ²	b j o ²
tɕ j e n ¹	tɕ e n ¹
q ɛ ¹	q ɛ ¹
q w a ⁴	ɣ w a ⁴
ts j j e n ⁵	ts j e n ⁵
kʰ o ¹	qʰ o ŋ ¹
k ɔ ⁴	k o ⁴
d ɛ ⁴	d r ɛ ⁴
qʰ w æ ¹	qʰ w æ ¹
s ɔ ²	s ɔ ²
qʰ o ŋ ¹	qʰ o ŋ ¹
ɖʐ u ¹	ɖʐ u ŋ ¹
k o ŋ ¹	k o ŋ ¹
tɕ ɯ ¹	tɕ u ¹
q æ ¹	q æ ⁴
s e n ⁵	s e n ⁵
n j e n ⁴	n j e ⁴
s j i ²	s j i ²
ts r i ²	ts r i ²
tɕʰ j æ n ¹	tɕʰ æ ¹
n w e n ¹	ʁ w e n ¹
m æ ⁵	m æ ⁵
tsʰ j e n ⁴	tsʰ j e n ¹
d ɯ ²	dʑ ɯ ²
z e n ¹	z e n ¹
