g a̠ ¹	g ɛ̠ ¹
kʰ o ²	kʰ o ²
g o ¹	g u ¹
a ¹	a ¹
z a ²	z a ²
ˀl a ¹	ˀl a ¹
d u ¹	d a ŋ ¹
kʰ ɨ ³	kʰ ɨ̠ ³
t a ²	t a ²
pʰ e̠ ¹	pʰ e̠ ¹
tʃ u ¹	tʃ ɨ̠ ¹
tʃʰ j a ¹	tʃʰ u ¹
m a ²	m a ²
d u ²	d u ²
b a ²	b a ²
dz e ¹	dz e ¹
k e̠ ¹	k o̠ ³
p a̠ ²	b ɨ ²
ʃ ɛ ¹	ʃ ɛ ¹
z a ²	z a ²
b i ³	b i ³
s i̠ ¹	s i ²
l i ³	ˀl u̠ ¹
ʒ o̠ ³	ʒ o̠ ³
x a̠ ³	x a̠ ³
tsʰ o̠ ¹	tʃʰ o̠ ¹
s ɛ ²	s ɛ ²
s i̠ ¹	s i̠ ¹
kʰ o̠ ³	kʰ o̠ ³
b y ¹	b y ¹
d ɛ ²	d ɛ ²
n i̠ ¹	n i̠ ¹
tsʰ y ¹	tsʰ a m ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
m o ²	m o ²
m y ¹	m y ¹
z a ²	z a ²
a ¹	a ²
ʃ a ¹	ʃ a ¹
kʰ i ¹	kʰ i ¹
ɣ a ³	g a ³
n i ²	n i ²
s e ¹	s o̠ ³
a ¹	a ¹
ˀl u ¹	ˀl u ¹
tsʰ a ¹	tsʰ a ¹
ˀv ɛ̠ ¹	ˀv ɛ̠ ¹
ˀn i ¹	n i̠ ¹
dz i̠ ¹	dz ɿ ³
d y ¹	d y ¹
d a ¹	d a ¹
ts a ³	ts a ³
tsʰ ɛ ¹	tsʰ ɛ ¹
g i ¹	g ɨ ¹
b y ²	b y ²
ɣ i ¹	ɣ i ¹
ˀn a ²	ˀn a ²
dz e ²	dz e ²
l a ²	l a ²
ɣ e̠ ¹	ɣ e̠ ¹
n ɛ ¹	ɲ e ¹
v a ³³	v a ³
ɲ a ŋ ¹	n u ²
kʰ o̠ ³	kʰ o̠ ³
b e̠ ³	b e̠ ³
ˀn o ²	ˀɲ y ²
tʃʰ i̠ ³	tʃʰ i̠ ³
a ¹	a ¹
tʰ a ²	tʰ a ²
ˀm e̠ ¹	ˀm j e̠ ¹
ˀn i ³	ˀn i ³
kʰ y ¹	kʰ y ¹
dʒ a ¹	k o̠ ³
k e ¹	k ɛ ³
pʰ ɨ ¹	pʰ ɨ ¹
ɲ j a̠ ²	ɲ a ²
s i̠ ²	dz i ²
x e̠ ¹	ˀx y ¹
m ɛ ²	m ɛ ²
m i ¹	m i ¹
ʒ o̠ ³	ʒ o̠ ³
d e ¹	d e ¹
tʰ u ¹	tʰ u ¹
m a ³	m a ³
pʰ ɛ ²	pʰ ɛ ²
k a ¹	k a̠ ³
n a ¹	n a ¹
p o̠ ¹	p o̠ ¹
p ɨ ²	p j ɨ ²
p ɛ ²	p e ³
n̩ ²	n i ²
dʒ ɛ ²	dʒ ɛ ²
kʰ u ²	kʰ u ²
v e ³	ˀv ɛ ²
p a ŋ ¹	p a ŋ ¹
kʰ ɨ ²	kʰ ɨ̠ ³
t ɛ̠ ³	t a ³
a ²	a ²
b a ³	b a ŋ ³
a ¹	a ¹
a ¹	a ¹
s j y ¹	s y ¹
ˀm ɛ ¹	ˀm ɛ ¹
s y ²	s y ²
tʃ y ³	ts y ³
k j ɛ ²	k j e ²
n e̠ ³	ˀn e̠ ³
s e̠ ³	s e̠ ³
ˀn a̠ ³	n a ŋ ³
pʰ o ²	pʰ o ²
k y ³	k j o̠ ³
v i̠ ³	v i̠ ³
m i ¹	ˀm i ¹
g i ¹	x i ³
tsʰ i ¹	tsʰ y ¹
z a ²	z a ²
ɣ i ¹	ʒ e ¹
m̩ ²	m̩ ²
n a ¹	n a ¹
tʃʰ o ³	tsʰ y̠ ¹
m u ²	m ɨ ²
tsʰ u ²	g ɨ ²
ˀn y ¹	ˀn y ¹
m ɛ ²	m ɛ ²
i ²	i ²
