a ¹	a ¹
ɣ i ¹	ɣ ɛ ¹
kʰ y ¹	kʰ j y ¹
ɛ ²	ɛ ²
t y ¹	t y ¹
tʃʰ o̠ ¹	tʃʰ o̠ ¹
g i ²	g u ²
kʰ a ²	k u ³
a ²	a ²
ˀn a ¹	ˀn a ¹
a ²	a ²
s i ¹	s e ¹
kʰ i ¹	kʰ ɨ ¹
ˀn i ³	ˀn i ³
p y ³	p y ³
ˀm j e̠ ¹	ˀm j e̠ ¹
tʃ a ŋ ¹	tʃ a ŋ ¹
p a̠ ³	p a̠ ³
s a ²	s a ²
g a ŋ ¹	g a ŋ ¹
d i ¹	d u ¹
ˀm j i ¹	ˀm i ¹
kʰ j i̠ ³	tsʰ i̠ ³
p e ¹	p e ¹
n i̠ ¹	n i̠ ¹
s e̠ ³	s e̠ ³
k e ²	k j ɛ ²
kʰ i ²	kʰ i ²
a ²	a ²
t u ²	t u ²
tsʰ e ²	tʃʰ e ²
tsʰ i̠ ¹	tsʰ i̠ ¹
a ¹	a ¹
pʰ u ¹	pʰ u ³
h y̠ ²	h y̠ ³
l o̠ ³	ˀl o̠ ³
ʃ i ³	s e ³
p u ²	p u ²
n i ¹	n i ¹
a ¹	a ¹
z ɛ ¹	z ɛ ¹
b i ²	b j o ²
kʰ a ²	kʰ a ²
n ²	n u ²
ˀn i ¹	ˀn y ¹
k o̠ ¹	k o̠ ³
g o̠ ³	g j o̠ ¹
m a ³	m a ³
b i ³	b i ³
ˀn e ²	n e ²
kʰ ɛ ³	kʰ y̠ ¹
k o ³	k o ¹
p ɨ ²	p j ɨ ²
ˀl y ²	ˀl y ²
x a ¹	x a ¹
p a̠ ³	p a̠ ³
h e̠ ²	h e̠ ³
kʰ a ³	g a ³
k ɛ ¹	k ɛ ¹
m o ²	m o ²
x a̠ ³	x a̠ ³
ˀv a ¹	ˀv a ¹
pʰ i̠ ³	pʰ i̠ ³
dz i ²	dz i ²
p o̠ ¹	p o̠ ¹
i ²	i ²
m ɛ ²	m ɛ ²
k a ³	k a ¹
kʰ i ¹	kʰ i ¹
d y ¹	d a ŋ ¹
g u ¹	g u ³
dz u ²	v y ²
pʰ a ²	pʰ j a ŋ ²
z a ²	z a ²
tʰ a ²	tʰ a ²
pʰ e̠ ¹	pʰ e̠ ¹
a ¹	a ¹
k o̠ ³	k o̠ ³
n i ²	ˀn e̠ ³
ʃ i ¹	ʃ i̠ ¹
h a ¹	h a ¹
h ɛ̠ ¹	h ɛ̠ ¹
ˀv a ¹	ˀv a ¹
m i ¹	m i ¹
kʰ ɛ ²	kʰ ɛ ²
g o̠ ³	g o̠ ³
m a ²	m a ²
g a ¹	g j a ¹
n i ²	n̩ ²
b ɛ ¹	b ɛ ²
t o̠ ³	t o̠ ³
m a ¹	m a ¹
n a ³	ɲ a̠ ¹
z i ³	z i ³
s i ²	s e ²
ˀl a ŋ ³	ˀl a ŋ ³
k j e ²	k j ɛ ²
s a ²	s a ²
ˀn i ¹	ˀn i ¹
ɣ u ²	ɣ u ²
k a ¹	k a ¹
x a̠ ³	x a̠ ³
t e̠ ¹	t i̠ ¹
ts e ²	ts e ²
tsʰ e ²	tʃʰ e ¹
t i ¹	t i ¹
ˀm ɛ ¹	ˀm ɛ̠ ¹
ɣ a ŋ ²	ɣ a ŋ ²
kʰ a ²	kʰ a ²
dʒ ɛ ²	dʒ ɛ ²
ˀn i̠ ¹	ɲ a ²
dz y ¹	ˀn y ¹
a ¹	a ¹
ɣ a ²	z a ²
k j u ³	k u ³³
dʒ i ¹	dz i̠ ¹
tʰ a ŋ ²	tʰ o ²
l a ²	l a ²
ɣ ɨ ¹	ɣ ɨ ¹
z a ²	ʒ o̠ ³
ˀl u ¹	ˀl u ¹
ɣ ɛ ¹	ɣ ɛ ¹
ɣ i ¹	ɣ i ¹
n u̠ ¹	n u̠ ¹
