s ɛ k ɛ r n ɛ r ɛ	s eː k ɛ r n ɛ r ɛ
f ɪ n ɛ s t r a m	f ɛ n ɛ s t r a m
p a pː aː r ɛ	p a pː aː r ɛ
a d ʊ n aː r ɛ	a d uː n aː r ɛ
f r ɪ ɪ g ɪ d aː t ɛ m	f r iː g ɪ d ɪ t aː t ɛ m
ɛ r ɛ d a r ɛ	h eː r eː d ɪ t aː r ɛ
t ɔ r p ɛ d ʊ m	t ɔ r p eː d ɪ n ɛ m
a b ɪ l ɪ t aː t ɛ m	h a b ɪ l ɪ t aː t ɛ m
l ɪ ɛ t ʊ m	l aɪ t ʊ m
r ɪ p a m	r iː p a m
a p ɛ k l a m	a p ɪ k ʊ l a m
d ɛ p ɛ n d ɛ r ɛ	d eː p ɛ n d eː r ɛ
s uː s k ɪ t aː r ɛ	s ʊ s k ɪ t aː r ɛ
ɪ ŋ g ʊ s t ʊ m	ɪ n ɪ uː s t ʊ m
m a mː ɛ lː a m	m a m ɪ lː a m
t ɛ n t aː r ɛ	t ɛ n t aː r ɛ
p ʊ l w ɪ n aː r ɛ	p ʊ l w iː n a r
ɪ n s t r ʊ m ɛ n ɛ m t aː l	iː n s t r uː m ɛ n t aː l ɛ m
r ɔ t aː r ɛ	r ɔ t aː r ɛ
p oː n t oː n ɛ m	p oː t j oː n ɛ m
s k aː l p ɛ lː ʊ m	s k a l p ɛ lː ʊ m
z aː n k aː	z a ŋ kʰ a m
l aʊ r ʊ m k ɛ r aː s ʊ m	l aʊ r ɔ k ɛ r a s ʊ m
d ɪ s t r ɪ k t ʊ m	d ɪ s t r ɪ k t ʊ m
m ɔ r t aː r j ʊ m	m ɔ r t w aː r j ʊ m
k ɔ n d ɪ t j oː n ɛ	k ɔ n d ɪ k j oː n ɛ m
k a m ɪ n ʊ m	k a m iː n ʊ m
s ʊ s p ɪ r ʊ m	s ʊ s p ɪ r j ʊ m
k r ɪ m ɪ n a m t j oː n ɛ m	k r iː m ɪ n aː t j oː n ɛ m
a fː ɪ r m aː r ɛ	a fː ɪ r m aː r ɛ
b ɛ n ɛ f aː k r ɛ	b ɛ n ɛ f a k ɛ r ɛ
w ɛ n d ɛ m j aː r ɛ	w iː n d eː m j aː r ɛ
s p ɔ l a m r ɛ	s p ɔ l j aː r ɛ
n ɔ m ɪ n aː t j oː n ɛ m	n oː m ɪ n aː t j oː n ɛ m
g r aː w a m r ɛ	g r a w aː r ɛ
f uː lː ɪ g ɪ n ɛ	f uː l iː g ɪ n ɛ m
ɔ w ɪ l a m	ɔ w ɪ k ʊ l a m
a d kː w iː r ɪ r ɛ	a kː w iː r ɛ r ɛ
g ʊ l a m	g ʊ l a m
s ʊ mː ɪ t aː t ɛ m	s ʊ mː ɪ t aː t ɛ m
r ɛ l ɛ w aː r ɛ	r ɛ l ɛ w aː r ɛ
g a lː ʊ m	g a lː ʊ m
a d w ɔ k a m t j oː n ɛ m	a d w ɔ k aː t j oː n ɛ m
k ɔ m p ɔ r t aː r ɛ m	k ɔ m p ɔ r t aː r ɛ
m eː s a m	m eː s a m
ɛ k s ɪ t ʊ m	ɛ k s ɪ t ʊ m
ɔ n ɔ r aː r j ʊ m	h ɔ n oː r aː r j ʊ m
m a n t ɪ p m j ʊ m	m a ŋ k ɪ p j ʊ m
t uː r g ɪ d ʊ m	t ʊ r g ɪ d ʊ m
k ɪ l ʊ m	k ɪ l j ʊ m
r ʊ t aː r ɛ	r ʊ k t aː r ɛ
t ɛ k s t ɪ l	t ɛ k s t ɪ l ɛ
a m ɪ k a m	a m iː k a m
ɛ r ɔ d ɛ r ɛ	eː r oː d ɛ r ɛ
p r ɛ d j aː l ɛ	p r aɪ d j aː l ɛ m
k l ɛ r ɪ k ʊ m	k l eː r ɪ k ʊ m
p r oː b ʊ m	p r ɔ b ʊ m
l ɪ t ɛ	l iː t ɛ m
l ɔ ŋ g ɪ n kʷ ɪ t aː t ɛ m	l ɔ ŋ g ɪ ŋ kʷ ɪ t aː t ɛ m
t ɛ k m a m	tʰ eː k a m
t r aː t aː t ʊ m	t r a k t aː t ʊ m
d ɛ p r ɛ m d aː r ɛ	d eː p r aɪ d aː r iː
m a nː j aː r	m a n w aː r j ʊ m
ɪ n d ɛ f ɪ n ɪ t ʊ m	ɪ n d eː f iː n iː t ʊ m
t r a n s m uː t aː t j oː n ɛ m	t r aː n s m uː t aː t j oː n ɛ m
ɛ l uː d ɛ r ɛ	eː l uː d ɛ r ɛ
a k aː n d ɛ r ɛ	a kː ɛ n d ɛ r ɛ
m a k l ʊ m s ʊ m	m a k ʊ l oː s ʊ m
l a r w aː	l aː r w a m
ɪ g l ɛ s ɛ	a ŋ g l eː n s ɛ m
a b ɪ l ɛ	h a b ɪ l ɛ m
t r ɪ f ʊ l ʊ m	t r ɪ f ɔ l j ʊ m
d ʊ w eː r ɛ	d eː b eː r ɛ
p r ɛ w aː l eː r ɛ	p r aɪ w a l eː r ɛ
a d aː m a n t ɛ m	a d a m a n t ɛ m
s ɔ l ɪ d ʊ m	s ɔ l ɪ d ʊ m
k ɛ r ʊ l ɛ ʊ m	k aɪ r ʊ l ɛu m
k ɔ n f ɛ d ɛ r aː t j oː n ɛ m	k oː n f ɔ ɪ d ɛ r aː t j oː n ɛ m
s t r aː d a m	s t r aː t a m
l ɪ n ɛ aː r ɛ	l iː n ɛ aː r ɛ
l uː b r ɪ k aː r ɛ	l uː b r ɪ k aː r ɛ
f ɪ n ɪ	f iː n ɛ m
z ɪ d aː n j aː	z iː zː a n j a
d ɪ g ɪ t aː r ɛ	d ɪ g ɪ t aː r ɛ
ɪ n k ɔ m ɔ d aː r ɛ	ɪ ŋ k ɔ mː ɔ d aː r ɛ
k a r n oː s ʊ m	k a r n oː s ʊ m
f r ɛ kʷ ɛ n t ɛ m	f r ɛ kʷ ɛ n t ɛ m
a r ɛ aː l ɛ	aː r ɛ a l ɛ m
l ɪ n ɛ aː m ɛ n t ʊ m	l iː n ɛ aː m ɛ n t ʊ m
s ʊ s p ɛ n d ɛ r ɛ	s ʊ s p ɛ n d ɛ r ɛ
k ɔ n k ɪ n ɪ t aː t ɛ m	k ɔ ŋ k ɪ nː ɪ t aː t ɛ m
a r m ɪ g ɛ m r ʊ m	a r m ɪ g ɛ r ʊ m
uː s uː r aː r j ʊ m	uː s uː r aː r j ʊ m
a g ɪ r ɛ	a g ɛ r ɛ
s ɔ p ʊ m r ɛ	s ɔ p oː r ɛ m
s ɪ m j a m	s iː m j a m
m ɔ n t aː n j oː s ʊ m	m ɔ n t aː n j oː s ʊ m
t ɔ r p oː r ɛ	t ɔ r p oː r ɛ m
a l aː b aː s t r ʊ m	a l a b a s t r ʊ m
t r a n s uː b s t a n t j aː r ɛ	t r aː n s ʊ b s t a n t j aː r ɛ
s ɪ t uː l a m	s ɪ t ʊ l a m
r ɛ t r ɔ k ɛ d ɛ r ɛ m	r ɛ t r oː k eː d ɛ r ɛ
k a l ɛ f a m t ɛ r ɛ	k a l ɛ f a k ɛ r ɛ
d ɛ n ɔ m ɪ n aː r ɛ	d eː n oː m ɪ n aː r ɛ
w ɛ t uː s t aː	w ɛ t ʊ s t aː t ɛ m
s k r ɪ b a m	s k r iː b a m
f ɛ s t ʊ m	f eː s t ʊ m
a k aː	a k j a m
s a l s a m	s a l s a m
s t ɛ l aː r	s t eː lː aː r ɛ m
ɔ b l ɪ t ɛ r aː r ɛ	ɔ b l ɪ tː ɛ r aː r ɛ
d ɛ t ɛ k t aː r m m	d eː t ɛ g ɛ r ɛ
b l aː n d ɪ t j a m	b l a n d ɪ t j a m
kʷ ɛ r ɪ m ɔ n j a m	kʷ ɛ r ɪ m oː n j a m
ɪ n d uː r aː r ɛ	ɪ n d uː r aː r ɛ
k a w ɪ lː aː r ɛ	k a w ɪ lː aː r iː
f a aː	f aː g ɛ a m
a gː r ɛ g aː r ɛ	a gː r ɛ g aː r ɛ
ɛ k s t ɛ n s ɪ w ʊ m	ɛ k s t eː n s iː w ʊ m
ɪ m w ɛ t ɛ r aː r ɛ	ɪ n w ɛ t ɛ r aː r ɛ
w ʊ ʊ m	b uː b oː n ɛ m
g a n ɪ r ɛ	g a nː iː r ɛ
l oː m b ʊ m	l ʊ m b ʊ m
t aː t ɛ m	t a t ɛ m
ɪ n w ɛ r t ɪ r ɛ	ɪ n w ɛ r t ɛ r ɛ
f l ɛ k t ɛ r ɛ	f l ɛ k t ɛ r ɛ
ɛ b uː r n ɛ ʊ m	ɛ b ʊ r n ɛu m
r ɛ k ɔ rː ɛ r ɛ	r ɛ k ʊ rː ɛ r ɛ
a sː ɛ r ɪ r ɛ	a sː ɛ r ɛ r ɛ
r ɪ w ɔ l w ɛ r ɛ	r ɛ w ɔ l w ɛ r ɛ
p ɔ n d ɛ r oː s ʊ m	p ɔ n d ɛ r oː s ʊ m
d ɛ m ɔ m s t r aː r ɛ m	d eː m oː n s t r aː r ɛ
f r ɛ m ɪ r ɛ	f r ɛ m ɛ r ɛ
p a r t ʊ m	p a r d ʊ m
w ɛ r g ɪ n ɛ	w ɪ r g ɪ n ɛ m
p a r w ʊ m	p a r w ʊ m
p eː r k ɔ rː ɛ r ɛ	p ɛ r k ʊ rː ɛ r ɛ
ɛ m ɪ k r a m n j a m	h eː m ɪ k r aː n j a m
