n̥ ei ⁵⁵	n ei ⁵⁵
pʰ a ¹¹	pʰ a ¹¹
p ə ¹¹	p ɨ ¹¹
b ə ʔ̚ ⁰	b ə ʔ̚ ⁰
tʰ ɔ ⁵⁵	tʰ ɔ ŋ ⁵⁵
n̥ w ɨ m ⁵⁵	n ɨ m ⁵⁵
kʰ w au ⁵⁵	kʰ w au ⁵⁵
pʰ l ɨ ⁵⁵	pʰ r ɨ ɴ ⁵⁵
l i ⁵⁵	l ei ⁵⁵
m̥ ɛ ʔ̚ ⁵¹	m ɛ ʔ̚ ⁵¹
ɲ̊ ə ⁰	ɲ̊ a ¹¹
cʰ a ⁵⁵	c a ⁵⁵
c e ¹¹	c e ¹¹
s ɨ ɴ ¹¹	s w ɨ n ¹¹
ˀb a ŋ ⁵⁵	ˀb a ŋ ⁵⁵
s ɨ ¹¹	s w ɨ ɴ ¹¹
tʰ a ŋ ⁰	tʰ a ŋ ⁵⁵
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
p ə ʔ̚ ⁵¹	p ə ʔ̚ ⁰
kʰ u ⁰	kʰ u ¹¹
tʰ w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
cʰ a ʔ̚ ⁵¹	cʰ a ʔ̚ ⁵¹
d ə ⁰	t ə ʔ̚ ⁰
cʰ a ŋ ⁵⁵	cʰ a ŋ ⁵⁵
r ə ⁵⁵	t r e ⁵⁵
k i ¹¹	k i ¹¹
ʔ ɛ ɴ ¹¹	ʔ ɛ ɴ ¹¹
p j a ¹¹	p j a ¹¹
kʰ ei ⁵⁵	kʰ ei ⁵⁵
tʰ w ɛ ⁵⁵	tʰ w ɛ ⁵⁵
tʰ ɴ o ʔ̚ ⁵¹	tʰ r o ʔ̚ ⁵¹
pʰ ɔ ⁵⁵	pʰ r ɔ ⁵⁵
ˀd ei ⁵⁵	ˀd ei ⁵⁵
j ɔ ʔ̚ ⁵¹	ɲ̊ ɔ ʔ̚ ⁵¹
tʰ u ʔ̚ ⁵¹	tʰ u ʔ̚ ⁵¹
tʰ a ŋ ¹¹	tʰ a ŋ ¹¹
