kʰ y ²	kʰ j o ²
g y ¹	g j o ¹
h e ³	h e̠ ³
h u ¹	h u ¹
b y̠ ³	b y̠ ³
m i ¹	m i ¹
kʰ a ²	kʰ a ²
b i ³	b i ³
ts a ³	ts a ³
ʒ a ²	s u ¹
ˀn a ²	ˀn a ²
kʰ ɨ ²	kʰ a ²
kʰ o ²	kʰ o ²
i y ²	v y ²
m u ²	m j a ²
t a ŋ ¹	t a ŋ ¹
k a ²	dz a ¹
h e̠ ³	h e̠ ³
n i ¹	ˀn i ¹
tʃ e̠ ³	ts e̠ ³
t a ²	t a ²
b y ³	b y ³
t e̠ ¹	t i̠ ¹
tʰ i ³	t i̠ ³
dz i ³	dz i ³
a ¹	a ¹
ts i ³	ts i̠ ³
ˀl a ¹	l a ŋ ¹
u o̠ ³	ˀl o̠ ¹
dʒ i ¹	dʒ i ¹
p ɛ ³	p ɛ ³
k o̠ ³	k o̠ ¹
tsʰ u ¹	tsʰ u ¹
b i ²	b o ²
ˀn e ³	ˀn i ³
b ɨ ¹	b ɨ̠ ¹
pʰ e̠ ¹	pʰ e̠ ¹
k j ɨ ²	k j o ²
ʃ a ¹	ʃ a ¹
ˀm ɛ ¹	ˀm ɛ ¹
dz ɛ̠ ¹	dʒ e̠ ¹
a ²	a ²
a ¹	a ¹
pʰ ɨ ²	pʰ ɨ ²
dz e ¹	dz e ¹
p a̠ ²	b ɨ ²
n y ¹	ˀn y ¹
tʰ i ³	tʰ u ³
h a ¹	h a ¹
g u ²	g a ŋ ³
ts o̠ ³	ts o̠ ¹
d i ¹	d i ¹
n y ¹	ˀn y ¹
k ɛ̠ ¹	k ɛ ³
b i ²	pʰ u ¹
s i̠ ¹	s i̠ ¹
tʃ a̠ ³	tʃ a̠ ³
pʰ i ²	pʰ e ¹
ɣ a ³	ɣ a ³
b y ³	b y ³
o ²	e ²
pʰ ɛ ¹	pʰ ɛ ³
m a ¹	m o ²
z e ²	z a ²
b u ¹	pʰ u ²
z e̠ ³	z e̠ ³
x i̠ ³	x ɨ̠ ³
pʰ e ¹	pʰ e ¹
m ɛ ²	m e ²
kʰ o̠ ²	kʰ o ²
k o̠ ³	k o̠ ³
ˀl y ³	ˀl y ³
t a ³	t a̠ ³
pʰ e̠ ¹	pʰ e̠ ¹
p y ²	p y ²
ˀn i ³	ˀn i ³
h e̠ ³	h e̠ ³
m a ³	m a ³
p ɛ ²	p e ³
ʃ y ²	s y ²
g o̠ ³	g o̠ ³
d e̠ ¹	d e̠ ¹
s i̠ ¹	s i̠ ¹
tʰ a ²	tʰ a ²
a ¹	a ¹
ˀn i ¹	ˀn i ¹
k o̠ ²	k u ²
p a̠ ³	p a̠ ³
n i ¹	ˀn i ¹
m u ²	m j u ²
s a ²	s a ²
v ɛ ¹	v ɛ ¹
n i ²	n̩ ²
k ɛ ³	k ɛ ³
ɣ u ²	ɣ u ²
b ɛ̠ ³	b j ɛ̠ ¹
b a ²	b a ²
x a̠ ³	x a̠ ³
g i ¹	g i ¹
d a ŋ ¹	d a ŋ ¹
b e̠ ¹	b e̠ ¹
b o ¹	b o ¹
t o̠ ³	t o̠ ³
l a ¹	l a ³
t u ¹	t u ¹
b a ²	b a ²
k e ³	k j i ³
tsʰ a ŋ ¹	tsʰ a ŋ ¹
s i ³	s i ³
g i ²	g i ²
p a̠ ³	p a̠ ³
ɣ i̠ ³	ɣ i̠ ³
m ɛ ²	m ɛ ²
pʰ a ¹	pʰ j a ¹
m o ¹	m u ¹
l y ¹	ˀl y ¹
l i ¹	ˀl u ¹
l u ¹	l u ¹
a ¹	a ¹
d u ³	d u ¹
a ¹	a ¹
d a ¹	d a ¹
m ²	m u ²
a ¹	a ¹
