g ɯ ¹	g ɯ ¹
qʰ w æ ¹	qʰ w æ ¹
ɖʐ i ⁴	ɖʐ i ⁴
k u ²	k u ²
q o ŋ ¹	q o ŋ ¹
pʰ e ⁴	pʰ a ¹
b ɯ ¹	b ɯ ¹
s a ⁴	s a ⁴
x e n ¹	x e n ¹
s r ɯ ²	sʰ r ɯ ²
t w e n ¹	t w e n ¹
ʈ r e ⁴	d r ɛ ⁴
k r o ŋ ¹	ɣ o ŋ ¹
m ɔ ⁴	m ɯ ⁴
s a ŋ ³	s u ŋ ³
j o ²	n j o ²
ʈ w e ⁴	ts w ɛ ⁴
tɕ i ¹	tɕ i ¹
j a ⁴	j a ⁴
k ɯ ¹	k ɯ ¹
p r a ŋ ⁵	b a ŋ ⁴
s i ²	s i ²
ts o ⁵	ts o ⁵
p ɯ ²	p ɯ ²
n r ɯ n ²	n j i ²
b r i ²	b r i ²
j e n ¹	j e n ¹
m æ ¹	m æ ¹
n j e n ¹	n j e n ¹
x e n ¹	x e n ¹
q o ⁴	q ɔ ⁴
ɣ ɯ ³	ɣ ɯ ³
b e ²	b e ²
ts i ²	ts i ²
k o ŋ ¹	k o ŋ ¹
t i ¹	tʲ ɯ ¹
g u ¹	g u ¹
s w a ŋ ¹	s w a ŋ ²¹
l ɔ ¹	l ɔ ¹
tsʰ j e n ¹	tsʰ j e n ¹
tɕ i ⁴	ts j i ⁴
ʈ o ŋ ²	ʈ s u ŋ ²
ɕ j æ n ¹	s j æ n ¹
tɕ i ³	d i ³
m e ¹	m e ¹
m ɯ ⁴	m ɯ ⁴
