pʰ ɨ ²	pʰ ɨ ²
dz e ¹	dz e ¹
tʃʰ i ²	tʰ i ²
tʰ a ²	tʰ a ²
b ɛ ²	b ɛ ¹
k a ŋ ³	k a̠ ³
b ɛ ¹	b ɛ ¹
d ɛ ²	d ɛ ²
ˀm ɛ ¹	ˀm ɛ ¹
a ²	a ²
d y ¹	d y ¹
ʃ i ³	ʃ i̠ ¹
k ɛ ²	k j e ²
m a ³	m a ³
ts y ³	ts y ³
m a ³	m a ³
b ɛ ³	b ɛ ¹
kʰ o̠ ³	kʰ o̠ ³
a ¹	a ¹
n ɛ ²	n ɛ ²
l a ¹	l a ³
dz i ²	dz e ²
v i̠ ³	v i̠ ³
k u ¹	k o̠ ³
a ³	a ²
g y ¹	g y ¹
pʰ ɛ ¹	pʰ ɛ ¹
m y ¹	m y ¹
v e̠ ³	v e̠ ³
ɣ i ¹	ɣ i ¹
x e ¹	x e ¹
z a ²	ʒ o̠ ³
n y ¹	n e̠ ³
s ɛ ²	s ɛ ²
pʰ a ²	pʰ a ²
l o̠ ³	ˀl o̠ ³
n a ³	ɲ a̠ ¹
m a ŋ ²	m a ŋ ²
ˀl i ²	ˀl i ²
tʃ a̠ ³	tʃ a̠ ³
p a̠ ³	p a̠ ³
ˀm j ɛ ¹	ˀm ɛ ¹
ʃ ɛ ¹	ʃ ɛ ¹
m a ŋ ²	m a ŋ ²
t ɛ ¹	t ɛ ¹
s y ¹	ʒ a ¹
m i̠ ¹	m i̠ ¹
m u ¹	m i ¹
ɣ i̠ ³	ɣ i̠ ³
ʃ ɨ ²	ʃ ɨ ²
z i ²	z i ²
n e̠ ³	n e̠ ³
d i ²	d i ²
ts i̠ ³	ts i̠ ³
p a̠ ³	p a̠ ³
m i ²	m ɨ ²
t e ²	tʃʰ u ²
l ɛ ¹	l ɛ ¹
a ²	a ²
h a ¹	h a ¹
p a ¹	p a ¹
m ɨ ¹	m ɨ ¹
x i ³	x ɨ̠ ³
n ɛ ¹	ɲ e ¹
l a ²	l a ²
m a ³	m a ³
d e̠ ¹	d e̠ ¹
l y ¹	l y ¹
s a ¹	s a ¹
d y ¹	d a ŋ ¹
m ɨ̠ ³	m ɨ̠ ³
g o ¹	g u ¹
a ¹	a ¹
ɣ i ¹	ɣ i ¹
p a̠ ³	p a̠ ³
a ²	a ²
h a ²	ɣ o ²
n e̠ ²	ˀn e̠ ³
m i ²	m o ²
t ɛ ³	t e̠ ³
kʰ y ¹	kʰ y ¹
z i̠ ¹	z i̠ ³
ŋ o ¹	ŋ o ¹
v a ³	v a ³
ˀŋ i ²	ŋ i ²
ˀn ɛ ¹	n ɛ̠
pʰ ɛ ²	pʰ e ²
t o̠ ³	t o̠ ³
p a ¹	p e ¹
m a ³	m a ³
e ²	e ²
pʰ o ²	pʰ o ²
kʰ i ¹	kʰ i ¹
ts e ¹	ts e ¹
kʰ o ³	kʰ j o ³
a ¹	a ¹
kʰ ɨ ¹	kʰ i ¹
g a ³	g a ³
a ²	a ¹
ʃ i ¹	ʃ i̠ ¹
ʃ ɛ ¹	ʃ ɛ ¹
p u ²	p u ²
tsʰ e ²	tʃʰ e ²
tsʰ e ¹	ts e ¹
i ²	ɨ̠ ³
t a ŋ ¹	t a ŋ ¹
ts i ¹	tʃ e ¹
m ɛ ²	m ɛ ²
kʰ ɨ ³	kʰ ɨ̠ ³
k j e̠ ¹	k u ²
b e̠ ¹	b e̠ ¹
pʰ y̠ ¹	pʰ u ²
k a ¹	x a ŋ ¹
tʰ y ¹	tʰ y ¹
tsʰ a ¹	tsʰ a ¹
l a ²	l a ²
g j a̠ ¹	g ɛ̠ ¹
m a ¹	m o ²
ɲ e ¹	n e ¹
s y ²	ʃ y ²
s a̠ ³	ʃ a̠ ³
tsʰ a ¹	tsʰ a ¹
k o ¹	k j o ¹
m j a ŋ ¹	m j a ŋ ¹
