ˀn o ²	ˀɲ y ²
m a ³	m a ³
dʒ a ²	dʒ ɛ ²
b ɛ̠ ¹	b ɛ̠ ¹
tʃʰ e ²	tʃʰ e ²
d a ŋ ¹	d a ŋ ¹
m o̠ ³	m j o̠ ³
x i ²	x ɨ ²
kʰ u ¹	kʰ u ¹
m o̠ ¹	m o̠ ¹
t i ²	t i ²
s ɛ ²	s ɛ ²
ˀm j e̠ ¹	ˀm j e̠ ¹
z i ²	z i ²
p a̠ ³	p a̠ ³
h a ¹	h a ¹
ˀl i ²	ˀl i ²
d ɛ ²	d ɛ ²
v ɛ̠ ³	v ɛ̠ ³
n a ³	n a ŋ ³
t i ¹	t ɛ ¹
ɣ a ¹	s e ¹
l a ²	l a ²
n a ¹	ŋ a ¹
dz e ¹	dz e ¹
pʰ u ¹	pʰ u ³
kʰ a ²	kʰ a ²
pʰ ɛ ¹	pʰ ɛ ³
b o ²	b o ²
kʰ ɛ ³	kʰ ɛ̠ ³
kʰ a ¹	kʰ j y ¹
tsʰ e ³	tʃ e̠ ³
ˀl u ³	ˀl u ³
dz i ²	dʒ i ²
ts e ²	ts e ²
ʃ i ¹	ʃ i̠ ¹
p e ²	p e ³
z e̠ ³	z e̠ ³
m i̠ ¹	m i̠ ¹
a ¹	a ¹
ɣ o ²	z a ²
a ²	a ²
dz i ³	dz i ²
t ɛ̠ ³	t a ³
pʰ o ²	pʰ u ²
pʰ o ²	pʰ o ²
s ɛ ²	s ɛ ²
a ¹	a ¹
b ɨ ¹	b ɨ̠ ¹
x e ¹	x e̠ ³
s i ²	s e ²
tʃʰ i ¹	tʃʰ e ¹
ˀl a ²	l a ²
ʃ a ¹	g j a ¹
tʃʰ ɨ ¹	tʃʰ ɨ ¹
ɣ i ¹	ɣ i ¹
g u ¹	g y ¹
d o̠ ¹	d o̠ ¹
k u ¹	k u ¹
ˀŋ i ²	ŋ i ²
ˀl y ¹	ˀl y ¹
s y ¹	ʒ a ¹
s ɛ ²	s ɛ ²
ʃ a ³	ʃ a̠ ³
g a ²	g ɨ ¹
d u ²	d u ²
pʰ e ²	pʰ e ²
x i ²	ʒ i̠ ³
m o ²	m o ²
n e̠ ³	n e̠ ³
pʰ a ¹	pʰ j a ¹
p e	b y ²
s i ¹	s e ¹
a ¹	a ¹
ʃ i ¹	ʃ i̠ ¹
g a ¹	g j a ¹
m a ³	m a ³³
tsʰ e ¹	tsʰ e ¹
tʰ a ³	tʰ a ³
ˀm a ²	ˀm a ²
s ɛ ²	s ɛ ²
ʒ u ¹	ʒ o̠ ¹
dz i̠ ³	dz i ³
dz i ²	dʒ e ¹
g u ¹	g a ŋ ³
b o̠ ¹	b o̠ ¹
k e̠ ¹	k u ²
u ¹	ɨ̠ ¹
l a ¹	l a ¹
h a ¹	h ɛ̠ ¹
g i ¹	g i ¹
n a ¹	n a ¹
ˀl u ³	l u ³
h e ¹	h e ¹
kʰ i ¹	kʰ i ¹
ʃ y̠ ²	s i ¹
ɣ i ¹	ɣ i ¹
ɲ j a̠ ²	ɲ a ²
b y ³	b y̠ ³
k a ¹	k a ¹
ˀm j ɛ ¹	ˀm ɛ ¹
ŋ o ¹	ŋ o ¹
kʰ u ²	kʰ o ²
z i ³	z i ³
ˀl i ²	ˀl i ²
t y ²	t y ²
l a ¹	l a ¹
ˀn a ¹	ˀn a ¹
tʰ a ŋ ²	tʰ o ²
tsʰ y ¹	tsʰ y ¹
ts i ¹	ts i ¹
tʃ e̠ ³	ts e̠ ³
ɣ ɛ ¹	ɣ ɛ ¹
s y ¹	s y ¹
kʰ y ¹	kʰ y ¹
tʰ o ²	tʰ a ²
ɣ ²	n̩ ²
d e̠ ¹	d e̠ ¹
v a ²	v a ²
b a ²	b j a ²
ʃ o̠ ¹	ʃ o̠ ¹
n̩ ²	n u ²
m o ¹	m u ¹
m j a ¹	m j a ³
