ˀl i ¹	l i ¹
a ¹	a ¹
ɣ y ²	v y ²
n̩ ²	n u ²
k a ¹	z ɛ ¹
t i ²	t i ²
b a ¹	tʃ a ¹
s y ²	s y ²
kʰ ɛ̠ ³	kʰ ɛ̠ ³
a ²	a ²
kʰ a ŋ ²	kʰ a ŋ ²
t u ¹	t u ¹
a ²	a ¹
h a ŋ ¹	h y̠ ³
tsʰ a ŋ ¹	tsʰ a ŋ ¹
x ɛ ²	x ɛ ²
x i ¹	x e ¹
m a ²	m a ²
ts e ¹	ts e ¹
ɲ a ŋ ²	n a ²
dz i ²	dʒ e ¹
g a ŋ ¹	g a ŋ ³
pʰ ɛ ²	pʰ ɛ ²
f u ³	pʰ u ²
ts e ¹	ts e ¹
ˀl a ¹	ˀl a ¹
a ¹	a ¹
p a ŋ ¹	p a ŋ ¹
t e̠ ¹	t e̠ ¹
tʃʰ ɛ ¹	tʃʰ ɛ ¹
d a ¹	d a ¹
g u ¹	g j e̠ ¹
l ɛ ¹	l ɛ ¹
tʰ u ¹	tʰ u ¹
tʃʰ i̠ ³	tʃʰ i̠ ³
m i ¹	m i ¹
tsʰ i ¹	tsʰ y ¹
b o ³	b o ³
ˀm e̠ ¹	ˀm j e̠ ¹
d i ¹	d i ¹
dʒ a ²	dz e ²
h e̠ ³	h e̠ ³
ɣ i ¹	ɣ i ¹
pʰ j a ¹	pʰ a ¹
tsʰ a ²	tsʰ a ²
tʰ ɛ ³	tʰ ɛ ³
v e̠ ³	v e̠ ³
x a̠ ³	x a̠ ³
kʰ ɨ ³	kʰ ɨ̠ ³
dz e ¹	dz e ¹
s i̠ ¹	s i ²
h e̠ ³	h e̠ ³
tʰ i ³	t i̠ ³
t u ¹	t u ¹
a ¹	a ¹
l a ²	l a ²
z e̠ ³	z e̠ ³
m u ¹	m ɨ ²
i ²	i ²
s ɛ ²	s ɛ ²
l i ³	ˀl u̠ ¹
kʰ u ³	kʰ a ŋ ²
k j ɛ ²	k j e ²
s a ²	s a ²
pʰ e ²	pʰ e ²
ˀl a ŋ ³	ˀl a ŋ ³
ˀn i ³	ˀn i ³
m a ²	m a ²
n y ¹	n y ¹
ʒ o̠ ³	ʒ o̠ ³
t a ³	t a ³
m u ¹	ˀm u ¹
pʰ u ¹	pʰ u ¹
tsʰ y ¹	tsʰ y ¹
l e̠ ³	l e̠ ³
g u ³	g a̠ ³
n u ²	n u ²
p ɨ ²	p j ɨ ²
tʰ i ²	dz a ŋ ²
ˀn i ³	ˀn i ³
v a ³	v a ³
pʰ a ²	pʰ a ²
ʃ ɛ ¹	ʃ ɛ ¹
t a ¹	t j ɛ ³³
ʃ ɛ ¹	ʃ ɛ ¹
ʃ a ¹	ʃ a ¹
ʒ o ¹	ʒ u ¹
v e ²	v i ²
tʰ y ²	tʰ y ²
d o̠ ¹	d o̠ ¹
dz a ²	dz a ²
tʰ a ²	tʰ a ²
ˀl u ³	l u ³
ts o̠ ³	ʒ i̠ ³
ʃ ɛ ¹	ʃ ɛ ¹
ˀn i ¹	n i̠ ¹
ʒ o̠ ³	ʒ o̠ ³
p a̠ ³	p a̠ ³
kʰ ɨ ²	kʰ ɨ ²
l i ³	ˀl i̠ ³
ʃ a ¹	ʃ a ¹
pʰ e̠ ¹	pʰ e̠ ¹
k e ³	p e̠ ³
tsʰ i ²	tʃʰ i ²
a ³	a ²
a ¹	a ¹
i ²	i ²
tʰ u ¹	tʰ e̠ ¹
kʰ o̠ ³	kʰ o̠ ³
ɣ ɨ ²	ɣ ɨ ²
ʃ u ³	s i̠ ¹
kʰ o ¹	kʰ o ¹
l a ¹	l a ¹
pʰ ɛ ¹	pʰ ɛ ³
l o ²	l y ²
n j a̠ ³	ɲ a̠ ³
b i ¹	b e ³
ˀn e̠ ¹	ˀn e̠ ¹
p ɛ̠ ¹	p u ¹
tʰ a ²	tʰ a ²
m ²	m u ²
h a ²	h ɛ ²
p a̠ ³	p a̠ ³
n j e ¹	ɲ e ¹
p ɛ ¹	p ɛ ¹
