ˀb ɨ ⁵⁵	ˀb ə ⁵⁵
b l a ¹¹	b l a ¹¹
cʰ ou ¹¹	cʰ r ou ¹¹
tʰ w w ɨ ɴ ⁵⁵	tʰ w ɨ ɴ ⁵⁵
b ə ŋ ⁵⁵	b ə ŋ ⁵⁵
k ⁵⁵ ə n ⁵⁵ ⁵⁵	ʔ w a ɴ ⁵⁵
ˀd w ɛ ¹¹	ˀd w ɛ ¹¹
ʔ̚ w i ¹¹	ʔ w i ¹¹
ʔ ɔ ¹¹	ʔ ɔ ¹¹
cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ⁵⁵
l u ŋ ¹¹	l u ɴ ¹¹
tʰ ə ŋ ⁰	tʰ a ŋ ⁵⁵
m e ¹¹	m̥ e ¹¹
kʰ a ɴ ⁵⁵	kʰ a ɴ ⁵⁵
ˀd ei ¹¹	ˀd ei ¹¹
cʰ r w u t ⁵¹	kʰ r w i t ⁵¹
n a ¹¹	n̥ a ¹¹
tʰ au ⁵⁵	tʰ au ⁵⁵
tʰ a ⁵⁵	tʰ a ⁵⁵
m l ɔ ⁵⁵	m l ɔ ɴ ⁵⁵
g o ¹¹	g o ¹¹
s ə ⁰	s ə ⁰
p l o ŋ ¹¹	p l o ŋ ¹¹
p r ɔ ʔ̚ ⁵¹	p r ɔ ʔ̚ ⁵¹
j ɛ ʔ̚ ⁵¹	j ɛ ʔ ⁵¹
p l e ʔ̚ ⁵¹	b l e ʔ ⁵¹
tʰ a m ⁵⁵	tʰ a m ⁵⁵
ʔ ɛ ɴ ¹¹	ʔ ɛ ɴ ¹¹
pʰ e ⁵⁵	pʰ e ⁵⁵
b i ¹¹	b i ¹¹
c ə ŋ ⁵⁵	c ə ŋ ⁵⁵
ʔ a ⁵⁵	ʔ a ⁵⁵
k l a ⁵⁵	k l a ⁵⁵
ˀb o ʔ̚ ⁵¹	ˀb o ʔ̚ ⁵¹
s ou ¹¹	s ou ¹¹
l ə ŋ ¹¹	l̥ a ŋ ¹¹
