d ɛ t ɛ r j ɔ r a t j oː n ɛ m	d eː t ɛ r j oː r aː t j oː n ɛ m
s ɔ m nː ɪ f ɛ r ʊ m	s ɔ m n ɪ f ɛ r ʊ m
d ɛ k r ɛ t aː l ɛ	d eː k r eː t aː l ɛ m
s a k t j oː n ɛ m	s aː ŋ k t j oː n ɛ m
ɔ p r ɪ m ɛ r ɛ	ɔ pː r ɪ m ɛ r ɛ
n ɛ s ɪ	n ɛ s k iː r ɛ
a kː a d ɛ m j a m	a k a d eː m iː a m
r ɛ t r a k t j oː n ɛ m	r ɛ t r a k t j oː n ɛ m
kʷ a l ɪ f ɪ k aː r ɛ	kʷ aː l ɪ f ɪ k aː r ɛ
t ɛ r s ʊ m	t ɛ r s ʊ m
f l aː g r aː r ɛ	f l a g r aː r ɛ
b l aː t a	b l a tː a m
r aː p t ʊ m	r a p t ʊ m
p r ɔ d ɪ g ʊ m s ʊ m	p r oː d ɪ g j oː s ʊ m
p a m k aː r ɛ	p aː k aː r ɛ
k ɛ l ɛ b r aː t j ʊ m n ɛ m	k ɛ l ɛ b r aː t j oː n ɛ m
k ɔ r j aː k ɛ ʊ m	k ɔ r j a k ɛu m
t ʊ r p ɪ t ʊ d ɪ n ɛ	t ʊ r p ɪ t uː d ɪ n ɛ m
j uː r a m m ɛ n t ʊ m	j uː r aː m ɛ n t ʊ m
k ɔ n t ɛ n d ɛ r ɛ	k ɔ n t ɛ n d ɛ r ɛ
d ɪ w ʊ l g a t j oː n ɛ m	d iː w ʊ l g aː t j oː n ɛ m
p r ɛ ɔ w ɔ k a t ɪ w ʊ m	p r oː w ɔ k aː t iː w ʊ m
aː m b ɪ t ʊ m	a m b iː t ʊ m
s k a l aː r ɛ	s k aː l aː r ɛ m
a d ʊ l aː r ɛ	a d uː l aː r iː
m ʊ r ɪ k ɛ m	m uː r ɪ k ɛ m
a k k ɛ d ɛ r ɛ	a kː eː d ɛ r ɛ
w ɔ g aː r ɛ	w ɔ k aː r ɛ
s ɪ t j ʊ m	s ɪ t ʊ m
s eː r a m	s eː r ʊ m
ɪ r m aː n d aː d ɛ m	g ɛ r m aː n ɪ t aː t ɛ m
b l a t ɛ r aː r ɛ	b l a t ɛ r aː r ɛ
p ɛ r p ɛ t r a m r ɛ	p ɛ r p ɛ t r aː r ɛ
ɪ m nː ʊ m	h y m n ʊ m
s ʊ l k aː r ɛ	s ʊ l k aː r ɛ
k ɔ n d ɛ m nː a t j oː n ɛ m	k ɔ n d ɛ m n aː t j oː n ɛ m
uː n ɪ k ʊ m	uː n ɪ k ʊ m
m ɛ m s ɛ r ɛ	m ɪ s k eː r ɛ
m a t aː s a m	m a t a k s a m
t r ɪ n ɪ t aː t ɛ m	t r iː n ɪ t aː t ɛ m
ɔ ɛ s p ɛ m t ɛ m	h ɔ s p ɪ t ɛ m
j aː s p ɪ d ɛ m	j a s p ɪ d ɛ m
a b s k ɔ n d ɛ r ɛ	a b s k ɔ n d ɛ r ɛ
k aː n d ɛ l a	k a n d eː l a m
ɪ n k ɔ l ʊ m ɛ m	ɪ ŋ k ɔ l ʊ m ɛ m
f ɪ r ɛ	f ɪ ɛ r iː
p ʊ l w ɪ n aː r ɛ	p ʊ l w iː n a r
a k ɛ t aː b ʊ l ʊ m	a k eː t aː b ʊ l ʊ m
ɔ s p ɛ m d aː r ɛ	h ɔ s p ɪ t aː r iː
d ɛ k ɛ d ɛ r ɛ	d eː k eː d ɛ r ɛ
s p ɛ l ʊ n k a m	s p eː l ʊ ŋ k a m
ɛ m ɛ t ɛ r ɛ	eː m ɪ tː ɛ r ɛ
a rː ɔ g aː r ɛ	a rː ɔ g aː r ɛ
ɪ n f ɪ r m a m r ɛ	iː n f ɪ r m aː r ɛ
s aː n aː b ɪ l ɛ	s aː n aː b ɪ l ɛ m
p aː t r ɛ m	p a t r ɛ m
l aː k t a m r ɛ	l a k t aː r ɛ
f ɛ s t ɪ n aː r ɛ	f ɛ s t iː n aː r ɛ
p a l uː d ɛ m	p a l uː d ɛ m
k l a r ɪ t aː t ɛ m	k l aː r ɪ t aː t ɛ m
t ɛ k s t ʊ r a m	t ɛ k s t uː r a m
k r ɛ s t aː r ɛ	k r ʊ s t aː r ɛ
a lː ʊ ŋ g aː r ɛ	eː l ɔ ŋ g aː r ɛ
d ɛ n ʊ n k ɛ m t j a t ɛ m n	d eː n ʊ n t j aː t j oː n ɛ m
s ʊ m t ʊ m	s uː m p t ʊ m
p j ɛ r n a	p ɛ r n a m
f aː m a m	f aː m a m
f j ɛ r ʊ m	f ɛ r ʊ m
k a s t r aː t ʊ m	k a s t r aː t ʊ m
ɪ n t ɛ k r ʊ m	ɪ n t ɛ g r ʊ m
ɪ n k ɛ n d j ʊ m	ɪ ŋ k ɛ n d j ʊ m
k ɪ r k ʊ l aː r ɛ	k ɪ r k ʊ l aː r ɛ m
k ɛ r w ʊ s j a m	k ɛ r w ɛ s j a m
r ɛ kː a t aː r ɛ	r ɛ k a p t j aː r ɛ
d ɛ b ɪ l ɪ t aː r ɛ	d eː b ɪ l ɪ t aː r ɛ
p ɛ l ɪ m b oː lː aː r ɛ	p ɛ r a m b ʊ l aː r ɛ
k ɔ n t ʊ m aː k ɛ	k ɔ n t ʊ m aː k ɛ m
ɪ n s ɛ m n aː r ɛ	iː n s ɪ ŋ n aː r ɛ
n aː s ʊ m	n aː s ʊ m
k r ɪ m ɪ n oː s ʊ m	k r iː m ɪ n oː s ʊ m
z a n d aː l ʊ m	z ɪ n z a l a m
f ɪ n a m	f aː g ɪ n ʊ m
n ʊ d aː	n oː d aː r ɛ
d ɪ m a n aː r ɛ	d iː m aː n aː r ɛ
a kʷ ɪ f ɪ l ʊ m	a kʷ ɪ f ɔ l j ʊ m
s p ɛ k ʊ j ʊ m	s p ɛ k l ʊ m
r uː g ɪ r ɛ	r uː g iː r ɛ
k r ɪ t ɛ r j ʊ m	k r ɪ t ɛ r ɪ ɔ n
