qʰ ɯ ¹	qʰ ɯ̃ ¹
p r a	pʰ a ¹
tʰ r r æ ⁴	tʰ r æ ⁴
ts e ŋ ¹	ts r e ŋ ¹
s j i ²	s j i ²
pʰ j a ⁴	pʰ r a ⁴
tɕ i ¹	tɕ i ¹
p j ɔ ⁴	p j o ⁴
s j i ⁴	s j i ⁴
ɕ a ⁴	ɕ a ⁴
s r r o ŋ ¹	sʰ r o ŋ ¹
n o ²	n o ŋ ³
b o ŋ ⁴	b j o ⁴
ɣ ɔ ¹	ɣ ɔ ¹
m ɔ ⁴	m ɯ ⁴
qʰ w a ⁴	qʰ w a ⁴
k ɯ	k ɯ ¹
s a	s a ⁴
ɣ ɔ ¹	ɣ ɔ ¹
dz o ⁴	dz o ⁴
ts i ²	ts i ²
ɖʐ u ŋ ¹	ɖʐ o ¹
m æ ⁵	m æ ⁵
ʈ w æ n ²	ʈ w æ n ²
ɖʐ u ŋ ³	ɖʐ o ³
dʑ a ⁴	dʑ a ⁴
t r i ¹	tʲ ɯ ¹
k o ⁴	k o ⁴
p ɯ ³	p u ³
s w o ŋ ⁴	s w a ⁴
ŋ w a ⁴	ŋ w a ⁴
tɕ æ n ¹	tɕ æ ŋ ¹
n o ¹	n o ²
pʰ j a ¹	pʰ r æ ¹
ʔ w e n ¹	ʔ w e n ¹
q ɯ ¹	ɣ ɯ ¹
m ɛ ²	m ɛ ²
s r i ŋ ¹	s r e ŋ ¹
s o ²	s u ŋ ²
dʑ j e ¹	dʑ e n ¹
d u ¹	d r o ŋ ¹
n j e n ¹	n j e n ¹
s r u ³	s r o ⁵
j ɯ ¹	j ɯ ¹
ɣ ɔ ³	g r o ŋ ³
z ɯ ³	z ɯ ³
s r r o ŋ ¹	s o ŋ ¹
